Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Funding_Start,title_keywords,patents,companies,companies_count,company_position,Name,
"Reinhardt, Dieter P",McGill University,Quebec,Project Grant,201809PJT,"Clinical Investigation - B: Arthritis, Bone, Skin and Cartilage",Extracellular matrix mediated regulation of microRNAs in health and disease,"$696,150 ",$0 ,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,2019/04/01,"extracellular matrix, microRNAs, regulation",0,zN/A,0,zN/A,"Reinhardt, Dieter P",
"Reinhardt, Dieter P",McGill University,Quebec,Project Grant,202203PJT,Cell Biology - Molecular/Fundamental,Regulation of adipose tissue and cell function by fibrillin-1,"$933,300 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2022/10/01,"adipose tissue, fibrillin-1, cell function",0,zN/A,0,zN/A,"Reinhardt, Dieter P",
"Reinke, Aaron",University of Toronto,Ontario,Project Grant,201803PJT,Microbiology & Infectious Diseases,Identification of host and pathogen factors mediating infection by microsporidia,"$742,050 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2018/10/01,"host, pathogen, microsporidia",0,zN/A,0,zN/A,"Reinke, Aaron",
"Reinke, Aaron",University of Toronto,Ontario,Project Grant,202104PJT,Genomics: Systems and computational biology,Genome-wide identification of genetic variants that influence susceptibility to infectious disease,"$944,776 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2021/10/01,"genome, genetic variants, infectious disease",0,zN/A,0,zN/A,"Reinke, Aaron",
"Reinke, Aaron",University of Toronto,Ontario,Project Grant,202309PJT,Microbiology & Infectious Diseases,Chemical modulation of microsporidia host cell invasion,"$1,040,400 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2024/04/01,"chemical, microsporidia, invasion",0,zN/A,0,zN/A,"Reinke, Aaron",
"Reithmeier, Reinhart A",University of Toronto,Ontario,Operating Grant,200909MOP,Cell Physiology,"Structure, function and trafficking of bicarbonate transport membrane proteins","$882,195 ",$0 ,5 yrs 0 mth ,Genetics,2010/04/01,"bicarbonate, transport, membrane",0,zN/A,0,zN/A,"Reithmeier, Reinhart A",
"Rej, Soham",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Project Grant,202010PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Mindfulness-Based Cognitive Therapy (MBCT) vs. Health Enhancement Program (HEP) Active Control for the Treatment of Late-Life Depression: A Randomized Controlled Trial,"$600,526 ",$0 ,4 yrs 6 mths ,"Neurosciences, Mental Health and Addiction",2021/03/01,"Mindfulness, Cognitive, Depression",0,zN/A,0,zN/A,"Rej, Soham",
"Remington, Gary",Centre for Addiction and Mental Health (Toronto),Ontario,Pfizer Operating Grant in Disease Prevention and Management,201011XDM,Pfizer Operating Grant in Disease Prevention and Management,Patterns of Antipsychotic Nonadherence: Impact on Treatment Outcome,"$92,539 ",$0 ,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",4/1/2011,"Antipsychotic, Nonadherence, Outcome",0,zN/A,0,zN/A,"Remington, Gary",
"Remington, Gary",Centre for Addiction and Mental Health (Toronto),Ontario,Operating Grant,201309MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,"Clozapine Levels, Clinical Response, and Side Effects","$442,650 ",$0 ,4 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2014/04/01,"Clozapine, Levels, Side Effects",0,zN/A,0,zN/A,"Remington, Gary",
"Remington, Gary",Centre for Addiction and Mental Health (Toronto),Ontario,Project Grant,201903PJT,Behavioural Sciences - B-2,"Re-examining Maintenance Antipsychotic Treatment in Schizophrenia: ""Extended"" Antipsychotic Dosing","$856,800 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2019/10/01,"Antipsychotic, Schizophrenia, Dosing",0,zN/A,0,zN/A,"Remington, Gary",
"Renaud, Jean-Marc E",University of Ottawa,Ontario,Operating Grant,201103MOP,Movement & Exercise,Development of better and more effective treatments for patients suffering of hyperkalemic periodic paralysis (HyperKPP),"$534,532 ",$0 ,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,2011/10/01,"hyperkalemic, periodic paralysis, treatment",0,zN/A,0,zN/A,"Renaud, Jean-Marc E",
"Renaud, Leo P",Ottawa Hospital Research Institute,Ontario,Operating Grant,200903MOP,Systems & Circuits Neurosciences - A,Regulating Excitability in Spinal Sympathetic Preganglionic Neurons: focus on nitric oxide and electrotonic coupling,"$718,615 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2009/10/01,"excitability, nitric oxide, electrotonic coupling",0,zN/A,0,zN/A,"Renaud, Leo P",
"Renaud, Leo P",Ottawa Hospital Research Institute,Ontario,Operating Grant,201003MOP,Systems & Circuits Neurosciences - A,Converging circadian and arousal signaling in thalamic paraventricular nucleus,"$798,294 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2010/10/01,"circadian, arousal, thalamic",0,zN/A,0,zN/A,"Renaud, Leo P",
"Renaud, Stephen J",Western University (Ontario),Ontario,Operating Grant: ECI grants in MRC&Y Health - Circulatory / Respiratory Health,201705MY3,"Operating Grant: New Investigator Grants in Maternal, Reproductive, Child & Youth Health",Immune regulation of placental blood flow and fetal health.,"$75,000 ",$0 ,3 yrs 0 mth ,"Human Development, Child and Youth Health",10/1/2017,"immune, placental blood flow, fetal health",0,zN/A,0,zN/A,"Renaud, Stephen J",
"Renaud, Stephen J",Western University (Ontario),Ontario,Project Grant,202109PJT,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health 2",Control of placental development and pregnancy health by uterine immune cells and osteopontin,"$646,425 ",$0 ,5 yrs 0 mth ,"Human Development, Child and Youth Health",2022/04/01,"placental, immune cells, osteopontin",0,zN/A,0,zN/A,"Renaud, Stephen J",
"Rennick, Janet E",Research Institute of the McGill University Health Centre,Quebec,Operating Grant,201203MOP,Social & Developmental Aspects of Children's & Youth's Health,Children's Psychological and Behavioral Responses  Following Pediatric Intensive Care Unit Hospitalization,"$845,099 ",$0 ,5 yrs 0 mth ,"Human Development, Child and Youth Health",2012/10/01,"Children, Psychological, Behavioral",0,zN/A,0,zN/A,"Rennick, Janet E",
"Rennick, Janet E",Research Institute of the McGill University Health Centre,Quebec,Project Grant,201803PJT,Social & Developmental Aspects of Children's & Youth's Health,When Expertise Collides: Using Experience-Based Co-Design to Enhance Care Experiences for Children with Medical Complexity in the Pediatric Intensive Care Unit,"$462,824 ",$0 ,4 yrs 0 mth ,"Human Development, Child and Youth Health",2018/10/01,"Experience, Co-Design, Pediatric Intensive Care",0,zN/A,0,zN/A,"Rennick, Janet E",
"Retnakaran, Ravi R",Sinai Health System (Toronto),Ontario,Catalyst Grant : Maternal Health: From Pre-Conception to the Empty Nest,201009MHC,Maternal Health Initiative,Vitamin D and the Early Pathophysiology of Type 2 Diabetes in Women with a History of Gestational Diabetes,"$98,483 ",$0 ,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",4/1/2011,"Vitamin D, Pathophysiology, Diabetes",0,zN/A,0,zN/A,"Retnakaran, Ravi R",
"Retnakaran, Ravi R",Sinai Health System (Toronto),Ontario,Operating Grant,201103MOP,"Public, Community & Population Health 2","A Pre-conception Cohort to Study Gestational Diabetes Mellitus: Pre-gravid Determinants, Early Pregnancy Bio-markers and Postpartum Cardio-metabolic Risk Factor Profile","$804,195 ",$0 ,5 yrs 0 mth ,Population and Public Health,2011/10/01,"gestational diabetes, biomarkers, cardio-metabolic",0,zN/A,0,zN/A,"Retnakaran, Ravi R",
"Retnakaran, Ravi R",Sinai Health System (Toronto),Ontario,Operating Grant,201203MOP,"Diabetes, Obesity, Lipid & Lipoprotein Disorders","Postpartum Progression to Type 2 Diabetes in Women with Recent Glucose Intolerance in Pregnancy: Pathophysiology, Biomarkers, and Clinical Implications","$685,470 ",$0 ,5 yrs 0 mth ,Population and Public Health,2012/10/01,"Postpartum, Glucose Intolerance, Biomarkers",1,zN/A,0,zN/A,"Retnakaran, Ravi R",
"Retnakaran, Ravi R",Sinai Health System (Toronto),Ontario,Operating Grant,201403MOP,"Clinical Investigation - C: Digestive, Endocrine and Excretory Systems",Exenatide and Insulin Glargine Combination Therapy for the Preservation of Pancreatic Beta-cell Function in Early Type 2 Diabetes: A Randomized Controlled Trial,"$366,920 ",$0 ,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2014/10/01,"Exenatide, Insulin, Beta-cell",0,zN/A,0,zN/A,"Retnakaran, Ravi R",
"Retnakaran, Ravi R",Sinai Health System (Toronto),Ontario,Project Grant,201709PJT,"Clinical Investigation - C: Digestive, Endocrine and Excretory Systems",Progression to Type 2 Diabetes in the 1st Decade after Glucose Intolerance in Pregnancy: Pathophysiology and Clinical Implications,"$910,350 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2018/04/01,"Type 2 Diabetes, Glucose Intolerance, Pregnancy",0,zN/A,0,zN/A,"Retnakaran, Ravi R",
"Retnakaran, Ravi R",Sinai Health System (Toronto),Ontario,Project Grant,202104PJT,Social & Developmental Aspects of Children's & Youth's Health,The Paternal Origins of Health and Disease (POHaD) Paradigm: Evaluating its Role in Childhood Adiposity and Metabolic Function,"$634,950 ",$0 ,5 yrs 0 mth ,"Human Development, Child and Youth Health",2021/10/01,"Paternal, Adiposity, Metabolic",0,zN/A,0,zN/A,"Retnakaran, Ravi R",
"Retnakaran, Ravi R",Sinai Health System (Toronto),Ontario,Project Grant,202203PJT,"Public, Community & Population Health",Collaborative Care Initiated Prior to Conception by Public Health Nurses for the Prevention of Gestational Diabetes Mellitus in Canadian Women,"$345,000 ",$0 ,6 yrs 0 mth ,Population and Public Health,2022/10/01,"collaborative care, gestational diabetes, public health",0,zN/A,0,zN/A,"Retnakaran, Ravi R",
"Retnakaran, Ravi R",Sinai Health System (Toronto),Ontario,Project Grant,202403PJT,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health 2",The Evolution of Diabetes Risk in Canadian Women following Glucose Intolerance in Pregnancy,"$761,176 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2024/10/01,"Diabetes, Glucose, Pregnancy",0,zN/A,0,zN/A,"Retnakaran, Ravi R",
"Reudelhuber, Timothy L",Institut de recherches cliniques de Montreal,Quebec,Operating Grant,201003MOP,Cardiovascular System - B: Heart and Circulation,Identification of the prorenin processing enzyme,"$364,478 ",$0 ,3 yrs 0 mth ,Circulatory and Respiratory Health,2010/10/01,"prorenin, enzyme, processing",0,zN/A,0,zN/A,"Reudelhuber, Timothy L",
"Reyes Lamothe, Rodrigo",McGill University,Quebec,Operating Grant,201503MOP,Biochemistry & Molecular Biology - B,Shining light on the architecture and dynamics of the eukaryotic replisome,"$671,219 ",$0 ,5 yrs 0 mth ,Cancer Research,2015/10/01,"replisome, eukaryotic, architecture",0,zN/A,0,zN/A,"Reyes Lamothe, Rodrigo",
"Reyes Lamothe, Rodrigo",McGill University,Quebec,Project Grant,201809PJT,Biochemistry & Molecular Biology - B,Mechanisms and implications of fast turnover in the DNA replication machinery of bacteria,"$765,000 ",$0 ,5 yrs 0 mth ,Genetics,2019/04/01,"DNA replication, bacteria, turnover",0,zN/A,0,zN/A,"Reyes Lamothe, Rodrigo",
"Reyes Lamothe, Rodrigo",McGill University,Quebec,Project Grant,202104PJT,Biochemistry & Molecular Biology - B,Elucidating the response to DNA damage at the replication fork,"$761,176 ",$0 ,5 yrs 0 mth ,Genetics,2021/10/01,"DNA damage, replication fork, response",0,zN/A,0,zN/A,"Reyes Lamothe, Rodrigo",
"Reynolds, Lisa A",University of Victoria (British Columbia),British Columbia,Project Grant,201709PJT,Microbiology & Infectious Diseases 2,The cellular and molecular basis of susceptibility to enteric bacterial infection,"$459,000 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2018/04/01,"cellular, molecular, bacterial infection",0,zN/A,0,zN/A,"Reynolds, Lisa A",
"Reynolds, Lisa A",University of Victoria (British Columbia),British Columbia,Project Grant,202203PJT,Microbiology & Infectious Diseases,Disruption to bile acid homeostasis during helminth infection and the downstream effects on proximal small intestinal immunity,"$761,176 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2022/10/01,"bile acid, helminth, intestinal immunity",0,zN/A,0,zN/A,"Reynolds, Lisa A",
"Rhee, Ho Sung",University of Toronto,Ontario,Project Grant,202203PJT,Biochemistry & Molecular Biology - B,Dissecting distal enhancers contributing to neural gene expression programs,"$822,376 ",$0 ,5 yrs 0 mth ,Genetics,2022/10/01,"distal enhancers, neural gene expression, gene regulation",0,zN/A,0,zN/A,"Rhee, Ho Sung",
"Rho, Jong M",University of Calgary,Alberta,Operating Grant,201109MOP,"Nutrition, Food & Health",Modulation of Brain-Specific ATP-Sensitive Potassium Channels by Physiological Stereoisomers of the Primary Ketone Body Beta-Hydroxybutyrate,"$567,498 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2012/04/01,"ATP-sensitive potassium channels, Beta-Hydroxybutyrate, Stereoisomers",0,zN/A,0,zN/A,"Rho, Jong M",
"Rho, Jong M",University of Calgary,Alberta,Project Grant,201809PJT,Pharmacology & Toxicology,Effects of Cannabidiol on Cellular and Mitochondrial Metabolism: Implications for the Epileptic Brain,"$998,325 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2019/04/01,"Cannabidiol, Mitochondrial, Epileptic",0,zN/A,0,zN/A,"Rho, Jong M",
"Riabowol, Karl T",University of Calgary,Alberta,"Catalyst Grant - CEEHRC Epigenetics, Environment & Health",201111CAP,"Catalyst Grant: CEEHRC Epigenetics, Environment and Health",Single Chain Antibodies to Probe the Molecular Basis of Epigenetics In Living Cells.,"$97,470 ",$0 ,1 yr 0 mth ,Aging,3/1/2012,"Single Chain, Antibodies, Epigenetics",0,zN/A,0,zN/A,"Riabowol, Karl T",
"Riabowol, Karl T",University of Calgary,Alberta,Operating Grant,201309MOP,Biological and Clinical Aspects of Aging,How does ING1a regulate cell senescence?,"$829,036 ",$0 ,5 yrs 0 mth ,Aging,2014/04/01,"ING1a, cell senescence",0,zN/A,0,zN/A,"Riabowol, Karl T",
"Riabowol, Karl T",University of Calgary,Alberta,Project Grant,202104PJT,Biological and Clinical Aspects of Aging,ING1a mechanisms of cell senescence,"$898,876 ",$0 ,5 yrs 0 mth ,Aging,2021/10/01,"ING1a, cell senescence",0,zN/A,0,zN/A,"Riabowol, Karl T",
"Riabowol, Karl T",University of Calgary,Alberta,Project Grant,202210PJT,Biological and Clinical Aspects of Aging,Stem Cell Function in Biological Aging,"$100,000 ",$0 ,1 yr 0 mth ,Aging,2023/03/01,"Stem cells, aging, biology",0,zN/A,0,zN/A,"Riabowol, Karl T",
"Riabowol, Karl T",University of Calgary,Alberta,Project Grant,202303PJT,Biological and Clinical Aspects of Aging,Stem Cell Function in Biological Aging,"$1,227,826 ",$0 ,5 yrs 0 mth ,Aging,2023/10/01,"Stem cells, aging, biology",0,zN/A,0,zN/A,"Riabowol, Karl T",
"Ribeiro-Da-Silva, Alfredo",McGill University,Quebec,Operating Grant,201009MOP,Systems & Circuits Neurosciences - A,Synaptic organisation of dorsal horn modulatory circuits,"$820,760 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2011/04/01,"synaptic, dorsal horn, circuits",0,zN/A,0,zN/A,"Ribeiro-Da-Silva, Alfredo",
"Ribeiro-Da-Silva, Alfredo",McGill University,Quebec,Operating Grant,201403MOP,Pharmacology & Toxicology,Manipulation of endogenous neurotrophic factor levels as a novel treatment for arthritis,"$724,366 ",$0 ,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,2014/10/01,"neurotrophic factor, arthritis, manipulation",0,zN/A,0,zN/A,"Ribeiro-Da-Silva, Alfredo",
"Ribeiro-Da-Silva, Alfredo",McGill University,Quebec,Project Grant,201904PJT,Molecular & Cellular Neurosciences - B,Inhibitory synaptic pruning as a substrate of neuropathic pain,"$100,000 ",$0 ,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",2019/10/01,"synaptic pruning, neuropathic pain, inhibitory",0,zN/A,0,zN/A,"Ribeiro-Da-Silva, Alfredo",
"Ribeiro-Da-Silva, Alfredo",McGill University,Quebec,Project Grant,202010PJT,Pharmacology & Toxicology,A neuropathic-like component in arthritis pain: characterization and therapeutic possibilities,"$879,750 ",$0 ,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,2021/03/01,"neuropathic, arthritis, pain",0,zN/A,0,zN/A,"Ribeiro-Da-Silva, Alfredo",
"Ribeiro-Da-Silva, Alfredo",McGill University,Quebec,Project Grant,202309PJT,"Behavioural Sciences - C: Behavioural Studies, Neuroscience and Cognition",Targeting inhibitory synaptic pruning for treatment of Neuropathic Pain,"$952,425 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2024/04/01,"inhibitory synaptic pruning, neuropathic pain",0,zN/A,0,zN/A,"Ribeiro-Da-Silva, Alfredo",
"Richard-Denis, Andreane",CIUSSS du Nord-de-l'Ile-de Montreal - Hepital Sacre Coeur,Quebec,Project Grant,202303PJT,Clinical Investigation - B 2,Using a point-of-care electrophysiological method to study the impact of neuro-sacral function on recovery after acute spinal cord injury,"$428,400 ",$0 ,4 yrs 0 mth ,Musculoskeletal Health and Arthritis,2023/10/01,"electrophysiological, neuro-sacral, spinal cord",0,zN/A,0,zN/A,"Richard-Denis, Andreane",
"Richard, Caroline",University of Alberta,Alberta,Project Grant,201803PJT,"Nutrition, Food & Health",Establishing the importance of diet and insulin resistance in modulating immune function in obesity,"$765,000 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2018/10/01,"diet, insulin resistance, immune function",0,zN/A,0,zN/A,"Richard, Caroline",
"Richard, Caroline",University of Alberta,Alberta,Project Grant,202309PJT,"Nutrition, Food & Health",An investigation of potassium sources on bioavailability and homeostasis for adults living with advanced kidney disease,"$918,000 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2024/04/01,"potassium, bioavailability, kidney disease",0,zN/A,0,zN/A,"Richard, Caroline",
"Richard, Darren E",Universite Laval,Quebec,Operating Grant,200909MOP,Cardiovascular System - C: Vascular System,The importance hypoxia-inducible factor-1 (HIF-1)in vessel physiology and pathology.,"$595,780 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2010/04/01,"hypoxia, HIF-1, vessel",0,zN/A,0,zN/A,"Richard, Darren E",
"Richard, Dave",Universite Laval,Quebec,Operating Grant,201303MOP,Microbiology & Infectious Diseases,Exploring the role of phosphoinositides in the trafficking of proteins to the apical complex in the malaria parasite Plasmodium falciparum.,"$736,126 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2013/10/01,"phosphoinositides, protein trafficking, Plasmodium falciparum",0,zN/A,0,zN/A,"Richard, Dave",
"Richard, Dave",Universite Laval,Quebec,Project Grant,201809PJT,Microbiology & Infectious Diseases,Exploring the role of phosphoinositides in the trafficking of proteins to the apical complex in the malaria parasite Plasmodium falciparum.,"$772,650 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2019/04/01,"phosphoinositides, protein trafficking, Plasmodium falciparum",0,zN/A,0,zN/A,"Richard, Dave",
"Richard, Dave",Universite Laval,Quebec,Project Grant,202403PJT,Microbiology & Infectious Diseases,Exploring the role of phosphoinositides in the trafficking of proteins to the apical complex in the malaria parasite Plasmodium falciparum.,"$1,059,526 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2024/10/01,"phosphoinositides, protein trafficking, Plasmodium falciparum",0,zN/A,0,zN/A,"Richard, Dave",
"Richard, Denis",Universite Laval,Quebec,Operating Grant,201109MOP,"Diabetes, Obesity, Lipid & Lipoprotein Disorders",Brain melanocortin-4 receptor and sympathetically-mediated brown adipocyte thermogenesis,"$580,729 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2012/04/01,"melanocortin-4, brown adipocyte, thermogenesis",0,zN/A,0,zN/A,"Richard, Denis",
"Richard, Denis",Universite Laval,Quebec,Operating Grant,201503MOP,"Diabetes, Obesity, Lipid & Lipoprotein Disorders",The role of DEPTOR in Energy Balance Regulation,"$505,311 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2015/10/01,"DEPTOR, Energy Balance, Regulation",0,zN/A,0,zN/A,"Richard, Denis",
"Richard, Patrick O",Universite de Sherbrooke,Quebec,Project Grant,201903PJT,"Clinical Investigation - C: Digestive, Endocrine and Excretory Systems",Surveillance of Complex Renal Cysts: The SOCRATIC study,"$696,150 ",$0 ,9 yrs 0 mth ,Cancer Research,2019/10/01,"Renal Cysts, Surveillance, SOCRATIC",0,zN/A,0,zN/A,"Richard, Patrick O",
"Richard, Stephane",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Operating Grant,201203MOP,Molecular & Cellular Biology of Cancer,The role of the Sam68 RNA binding protein in normal and diseased cells.,"$558,000 ",$0 ,5 yrs 0 mth ,Cancer Research,2012/10/01,"Sam68, RNA binding, protein",0,zN/A,0,zN/A,"Richard, Stephane",
"Richard, Stephane",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Operating Grant: Emerging COVID-19 Research Gaps and Priorities - Variants,202104GA1,Operating Grant: Emerging COVID-19 Research Gaps and Priorities - Variants,Errant epitopes from arginine methylated SARS-CoV-2 proteins predisposing to autoimmune diseases.,"$309,250 ",$0 ,1 yr 0 mth ,Infection and Immunity,6/1/2021,"epitopes, arginine methylation, SARS-CoV-2",0,zN/A,0,zN/A,"Richard, Stephane",
"Richard, Stephane",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Operating Grant: Emerging COVID-19 Research Gaps and Priorities - Variants,202104GA1,Operating Grant: Emerging COVID-19 Research Gaps and Priorities - Variants,Errant epitopes from arginine methylated SARS-CoV-2 proteins predisposing to autoimmune diseases.,"$309,250 ",$0 ,1 yr 0 mth ,Infection and Immunity,5/1/2022,"epitopes, arginine methylation, SARS-CoV-2",0,zN/A,0,zN/A,"Richard, Stephane",
"Richard, Stephane",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Project Grant,202309PJT,Molecular & Cellular Biology of Cancer,Arginine methylation of the RNA helicase DDX5 in the regulation of RNA/DNA hybrids during the DNA damage response.,"$1,291,972 ",$0 ,5 yrs 0 mth ,Cancer Research,2024/04/01,"arginine methylation, RNA helicase, DNA damage",0,zN/A,0,zN/A,"Richard, Stephane",
"Richards, Brent",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Operating Grant,200809MOP,"Public, Community and Population Health - B",Genetic Epidemiology of Osteoporotic Fractures; From Susceptibility Genes to Susceptible Populations,"$273,698 ",$0 ,2 yrs 0 mth ,Aging,2009/04/01,"Genetic, Epidemiology, Osteoporotic Fractures",0,zN/A,0,zN/A,"Richards, Brent",
"Richards, Brent",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Operating Grant,201109MOP,Genetics,Pinpointing Causal Variants for Osteoporosis,"$816,608 ",$0 ,4 yrs 0 mth ,Genetics,2012/04/01,"causal variants, osteoporosis",0,zN/A,0,zN/A,"Richards, Brent",
"Richards, Brent",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Project Grant,201809PJT,Genetics,Genetically Identified and Validated Biomarkers for Osteoporosis,"$983,026 ",$0 ,3 yrs 0 mth ,Genetics,2019/04/01,"Genetics, Biomarkers, Osteoporosis",1,zN/A,0,zN/A,"Richards, Brent",
"Richards, Carl D",McMaster University,Ontario,Operating Grant,200909MOP,Respiratory System,Mediation of allergic airway inflammation and pathology by Oncostatin M,"$755,800 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2010/04/01,"allergic airway, inflammation, Oncostatin M",0,zN/A,0,zN/A,"Richards, Carl D",
"Richards, Carl D",McMaster University,Ontario,Project Grant,202209PJT,Respiratory System,Control of Mucosal Barrier Dysfunction in Severe Lung Inflammation,"$791,775 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2023/04/01,"Mucosal barrier, Lung inflammation, Dysfunction",0,zN/A,0,zN/A,"Richards, Carl D",
"Richardson, Christopher D",IWK Health Centre (Halifax),Nova Scotia,Operating Grant,201103MOP,Virology & Viral Pathogenesis,Characterization of PVRL4 (Nectin 4) - A Newly Identified Epithelial Receptor for Measles Virus,"$669,360 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2011/10/01,"PVRL4, Nectin 4, Measles Virus",1,zN/A,0,zN/A,"Richardson, Christopher D",
"Richardson, Christopher D",IWK Health Centre (Halifax),Nova Scotia,Operating Grant,201503MOP,Virology & Viral Pathogenesis,Role of PVRL4 (Nectin-4) receptor in measles virus infections and oncolytic therapy,"$696,380 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2015/10/01,"PVRL4, Nectin-4, measles virus",0,zN/A,0,zN/A,"Richardson, Christopher D",
"Richer, Lawrence P",University of Alberta,Alberta,Catalyst Grant: Post Market Drug Safety and Effectiveness,201110DSA,Catalyst Grant: Post Market Drug Safety and Effectiveness,Efficacy of combination therapy with intravenous ketorolac and metoclopramide for pediatric migraine therapy in the Emergency Department - a randomized placebo controlled trial.,"$99,961 ",$0 ,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",4/1/2012,"ketorolac, metoclopramide, migraine",0,zN/A,0,zN/A,"Richer, Lawrence P",
"Richman, Joy M",University of British Columbia,British Columbia,Operating Grant,200810MOP,Dental Sciences,The function of TBX22 in orofacial clefting,"$100,000 ",$0 ,1 yr 0 mth ,Genetics,2009/03/01,"TBX22, orofacial, clefting",0,zN/A,0,zN/A,"Richman, Joy M",
"Richman, Joy M",University of British Columbia,British Columbia,Operating Grant,200909MOP,Developmental Biology,Molecular controls of jaw identity and limb patterning,"$907,529 ",$0 ,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,2010/04/01,"molecular, jaw, limb",0,zN/A,0,zN/A,"Richman, Joy M",
"Richman, Joy M",University of British Columbia,British Columbia,Operating Grant,201203MOP,Developmental Biology,Biological mechanisms contributing to increased risk of facial clefting,"$639,005 ",$0 ,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,2012/10/01,"biological mechanisms, facial clefting",0,zN/A,0,zN/A,"Richman, Joy M",
"Richman, Joy M",University of British Columbia,British Columbia,Project Grant,201903PJT,Cell Biology - Disease,Discovery of novel WNT signaling mechanisms from the study of human genetic disease in two animal models,"$819,506 ",$0 ,5 yrs 0 mth ,Genetics,2019/10/01,"WNT, signaling, genetic disease",0,zN/A,0,zN/A,"Richman, Joy M",
"Richter, Martin",Universite de Sherbrooke,Quebec,Operating Grant,200909MOP,Virology & Viral Pathogenesis,"Modulation of inflammation, cytokine responses and oxidative stress during severe influenza infection by targeting PPAR and Nrf2.","$403,721 ",$0 ,3 yrs 0 mth ,Infection and Immunity,2010/04/01,"inflammation, cytokine, Nrf2",0,zN/A,0,zN/A,"Richter, Martin",
"Riddell, Meghan",University of Alberta,Alberta,"Operating Grant: ECI grants in Maternal, Reproductive, Child & Youth Health",201905MRC,"Operating Grant: New Investigator Grants in Maternal, Reproductive, Child & Youth Health",Placental Par Polarity Complex in the Pathogenesis of Preeclampsia,"$105,000 ",$0 ,3 yrs 0 mth ,"Human Development, Child and Youth Health",11/1/2019,"Placental, Polarity, Preeclampsia",1,zN/A,0,zN/A,"Riddell, Meghan",
