Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External_Funding,External_Funding_Partner,Term_Years_Months,title_keywords,Primary_Institute,Research_Categories,Funding_Start,Funding_End,patents
"Shin, Jumi",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Minimalist Hybrid Proteins:  A Novel Platform for Cancer Drug Discovery,"$378,000",$0,,,3 yrs 0 mth ,"Hybrid proteins, cancer, drug discovery",Unable to allocate,NONE OF THE ABOVE; NOT CLASSIFIED,2010-04-01,2013-03-31,0
"Collins, Donald L",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Computational and statistical tools for image-guided neurosurgery of brain tumours,"$314,099",$0,,,3 yrs 0 mth ,"computational, image-guided, neurosurgery",Unable to allocate,NONE OF THE ABOVE; NOT CLASSIFIED,2010-04-01,2013-03-31,0
"Khan, Kamran",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,"Protecting Canadian Health, Security, and Prosperity through the Novel Integration of Global Epidemic Surveillance and Risk Modelling Technologies","$161,227",$0,,,2 yrs 0 mth ,"Epidemic surveillance, Risk modelling, Health security",Infection and Immunity,INFECTIOUS AND PARASITIC; POPULATION HEALTH; HEALTH RESEARCH,2013-04-01,2015-03-31,0
"Dumont, Guy A",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Closed-Loop Control of Anesthesia,"$309,194",$0,,,3 yrs 0 mth ,"Closed-Loop, Control, Anesthesia",,,2008-10-01,2011-09-30,3
"Meunier, Michel",Polytechnique Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Improving the reliability of cytology diagnosis with immunoplasmonic multiplex labeling.,"$301,500",$0,,,3 yrs 0 mth ,"cytology, immunoplasmonic, multiplex labeling",Cancer Research,MULTIDISCIPLINARY; CANCER; IMAGING,2018-04-01,2021-03-31,0
"Pillai Riddell, Rebecca Rita E","York University (Toronto, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,Rebooting Infant Pain Assessment: Using Machine Learning to Exponentially Improve Neonatal Intensive Care Unit Practice.,"$856,779","$85,000",,,3 yrs 0 mth ,"Machine Learning, Neonatal, Pain Assessment","Human Development, Child and Youth Health",NONE OF THE ABOVE; HEALTH RESEARCH,2019-04-01,2022-03-31,0
"Tang, Shuo",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Handheld Multiphoton Imaging Device for Detecting Oral Cancer,"$294,250",$0,,,3 yrs 0 mth ,"Multiphoton, Imaging, Oral Cancer",Cancer Research,MULTIDISCIPLINARY; DENTAL DISEASE (INCL. ORAL BIOLOGY); IMAGING; CANCER,2017-04-01,2020-03-31,0
"Klein, Doug",University of Alberta,Alberta,Catalyst Grant: eHealth Innovations - Aging,201310CEA,e-Health Innovation Partnership Program (eHIPP),Promoting Health of Older Adults through CHANGE technology,"$92,112",$0,,,1 yr 0 mth ,"Older adults, CHANGE, health",Aging,HEALTH CARE DELIVERY; AGING; METABOLISM/DIABETES,2014-03-01,2015-02-28,0
"Herzog, Walter",University of Calgary,Alberta,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Muscle rehabilitation of cerebral palsy patients recieving botulinum toxin type-A (Botox) treatments,"$281,362",$0,,,3 yrs 0 mth ,"muscle, cerebral palsy, botulinum toxin",,,2011-04-01,2014-03-31,0
"Brezden-Masley, Christine",Unity Health Toronto,Toronto,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,200903IRO,Industry Partnered Collaborative Research,Assessment of Cardiotoxicity by Cardiac MRI in Early Stage Breast Cancer Patients Receiving Adjuvant Trastuzumab: A Prospective Observational Pilot Study,"$37,500",$0,,,3 yrs 0 mth ,"Cardiac MRI, Cardiotoxicity, Breast Cancer",Cancer Research,"BREAST CANCER THERAPY; STROKE, HEART FAILURE; CANCER; CARDIOVASCULAR",2009-10-01,2012-09-30,0
"Philpott, Dana J",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,Synthetic biology approaches to design living medicines to improve intestinal and metabolic health.,"$450,330",$0,,,3 yrs 0 mth ,"synthetic biology, living medicines, metabolic health","Nutrition, Metabolism and Diabetes",GASTRO-INTESTINAL DISEASE; METABOLISM AND NUTRITION; GASTROINTESTINAL (LIVER); HEALTH RESEARCH,2020-04-01,2023-03-31,1
"Ward, Brian J",Research Institute of the McGill University Health Centre,Quebec,Operating Grant: Industry-partnered Collaborative Research - Other Partner,200909ISO,Industry Partnered Collaborative Research,The next generation of vaccines: characterization of virus-like particle (VLP) vaccines made in plants.,"$300,000",$0,,,2 yrs 0 mth ,"virus-like particle, vaccines, plants",Infection and Immunity,INFECTIOUS AND PARASITIC; VIRAL; IMMUNOLOGY-TRANSPLANTATION; VIROLOGY,2010-04-01,2012-03-31,1
"Antel, Jack P",McGill University,Quebec,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,201009IRO,Industry Partnered Collaborative Research,Effects of S1P receptor directed pharmaceutical agents on central nervous system myelination,"$178,125",$0,,,3 yrs 0 mth ,"S1P receptor, myelination, pharmaceutical agents","Neurosciences, Mental Health and Addiction",MULTIPLE SCLEROSIS; NERVOUS SYSTEM; IMMUNOLOGY-TRANSPLANTATION,2011-04-01,2014-03-31,0
"Finlay, Warren H",University of Alberta,Alberta,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,Realistic lung deposition models and measurements (REALiSM^2),"$272,274",$0,,,3 yrs 0 mth ,"lung, deposition, models",,,2012-04-01,2015-03-31,4
"Kingston, Dawn A",University of Alberta,Alberta,Catalyst Grant: eHealth Innovations,201210CEH,e-Health Innovation Partnership Program (eHIPP),Mental Health E-Screening in Pregnant and Postpartum Women,"$99,902",$0,,,1 yr 0 mth ,"Mental Health, E-Screening, Pregnant Women",Health Services and Policy Research,PERINATAL; HEALTH SERVICES RESEARCH; MENTAL HEALTH,2013-03-01,2014-02-28,0
"Schmidt, Tannin A",University of Calgary,Alberta,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,Biointerface science:  proteoglycan 4 (PRG4) with and without hyaluronic acid as a novel ocular surface boundary lubricant & contact lens coating,"$184,000",$0,,,3 yrs 0 mth ,"proteoglycan, hyaluronic acid, ocular surface",,,2012-04-01,2015-03-31,9
"Mazer, Bruce D",Research Institute of the McGill University Health Centre,Quebec,Operating Grant: Industry-partnered Collaborative Research - Other Partner,201103ISO,Industry Partnered Collaborative Research,Molecular mechanism for immunoprotection and Treg induction by polyspecific immunoglobulins (IVIg),"$165,000",$0,,,3 yrs 0 mth ,"immunoprotection, Treg, immunoglobulins",Circulatory and Respiratory Health,ASTHMA; MULTIPLE DISEASE RELEVANCE; IMMUNOLOGY-TRANSPLANTATION; DRUG RESEARCH,2011-10-01,2014-09-30,0
"Nadeau, Jay Louise",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Self-illuminating nanoparticles for melanoma therapy,"$200,625",$0,,,3 yrs 0 mth ,"self-illuminating, nanoparticles, melanoma",Unable to allocate,NONE OF THE ABOVE; NOT CLASSIFIED,2010-04-01,2013-03-31,0
"Kermode, Allison R","Simon Fraser University (Burnaby, B.C.)",British Columbia,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Formulation and efficacy of a corn-derived phenylalanine ammonia-lyase for the treatment of phenylketonuria (PKU) and hyperphenylalaninemias,"$282,360",$0,,,3 yrs 0 mth ,"phenylalanine ammonia-lyase, phenylketonuria, hyperphenylalaninemias",Unable to allocate,NONE OF THE ABOVE; NOT CLASSIFIED,2010-04-01,2013-03-31,0
"Morshead, Cindi M",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,Engineering healing: Combinatorial strategies to promote repair of the stroke injured brain,"$551,700",$0,,,3 yrs 0 mth ,"brain, repair, stroke","Neurosciences, Mental Health and Addiction","INJURY, REGENERATION; STROKE, HEART FAILURE; NERVOUS SYSTEM; CELL BIOLOGY",2020-04-01,2023-03-31,0
"Dutz, Jan P",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Transcutaneous microsphere vaccine technology,"$300,000",$0,,,3 yrs 0 mth ,"Transcutaneous, microsphere, vaccine",Musculoskeletal Health and Arthritis,MULTIPLE DISEASE RELEVANCE; INFECTIOUS AND PARASITIC; IMMUNOLOGY-TRANSPLANTATION; DRUG RESEARCH,2013-04-01,2016-03-31,0
"Kreindler, David","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Toronto,Catalyst Grant: eHealth Innovations,201210CEH,e-Health Innovation Partnership Program (eHIPP),Mental Health Telemetry for Self-Management in Major Depression,"$96,207",$0,,,1 yr 0 mth ,"Mental Health, Telemetry, Depression","Neurosciences, Mental Health and Addiction",HEALTH PROMOTION; MENTAL HEALTH,2013-03-01,2014-02-28,0
