Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External_Funding,External_Funding_Partner,Term_Years_Months,title_keywords,Primary_Institute,Research_Categories,Funding_Start,Funding_End,patents
"Kandel, Rita A",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Biological Finger Joint Replacement,"$299,503",$0,,,3 yrs 0 mth ,"biological, finger joint, replacement",Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; MUSCLE, BONE, OR JOINT",2018-04-01,2021-03-31,0
"Razak, Fahad",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,Using artificial intelligence to identify and predict delirium among hospitalized medical patients,"$426,104","$17,500",,,3 yrs 0 mth ,"artificial intelligence, delirium, hospitalized patients",Health Services and Policy Research,MENTAL AND BEHAVIOURAL DISEASES; GERIATRICS; HEALTH SERVICES RESEARCH,2019-04-01,2022-03-31,0
"Ghahary, Aziz",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,Therapeutic Use of Micro-Sponge Embedded Nutritional Liquid Scaffold for Treatment of Non-Healing Wounds,"$381,244","$15,000",,,3 yrs 0 mth ,"Micro-Sponge, Nutritional Liquid, Wounds",Musculoskeletal Health and Arthritis,SKIN AND SUBCUTANEOUS TISSUS; SPINAL CORD DISEASE; HEALTH RESEARCH; AGING,2019-04-01,2022-03-31,0
"Fittipaldi, Nahuel V",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,Refining processes to maximize the provision of donor human milk rich in nutrients and bioactive components: An integrated multidisciplinary approach at a human milk bank serving critically-ill neonates.,"$246,233","$10,900",,,3 yrs 0 mth ,"donor human milk, bioactive components, neonates","Human Development, Child and Youth Health",MULTIDISCIPLINARY; NUTRITION; BACTERIOLOGY,2019-04-01,2022-03-31,0
"Gates, Byron D","Simon Fraser University (Burnaby, B.C.)",British Columbia,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Simultaneous chemotherapy and radiation treatment in solid tumours: A new platform to promote synergy and therapeutic efficacy with radiation triggered drug release,"$283,503",$0,,,3 yrs 0 mth ,"chemotherapy, radiation, drug release",Cancer Research,CANCER THERAPY GENERAL; MULTIDISCIPLINARY; CANCER; HEALTH RESEARCH,2014-04-01,2017-03-31,0
"Dumont, Guy A",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Closed-Loop Control of Anesthesia,"$309,194",$0,,,3 yrs 0 mth ,"Closed-Loop, Control, Anesthesia",Circulatory and Respiratory Health,MULTIDISCIPLINARY; NONE OF THE ABOVE; HEALTH RESEARCH; NOT CLASSIFIED,2013-04-01,2016-03-31,2
"Markle-Reid, Maureen Frances",McMaster University,Ontario,Catalyst Grant: eHealth Innovations - Aging,201310CEA,e-Health Innovation Partnership Program (eHIPP),Strengthening Community-Based Stroke Care: A Mixed-Methods Study to Evaluate a Mobile Health Solution,"$92,241",$0,,,1 yr 0 mth ,"Stroke, Mobile Health, Community",Health Services and Policy Research,HEALTH SERVICES RESEARCH; AGING,2014-03-01,2015-02-28,0
"Haibe-Kains, Benjamin",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Precision medicine in breast cancer: from the computer to the clinic,"$375,350",$0,,,3 yrs 0 mth ,"precision medicine, breast cancer, computer",Cancer Research,"CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",2016-04-01,2019-03-31,1
"Eng, Janice J",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,Instrumented i-GRASP for the assessment and treatment of upper extremity function after neurological injury,"$268,658",$0,,,3 yrs 0 mth ,"i-GRASP, assessment, neurological injury","Neurosciences, Mental Health and Addiction","STROKE, HEART FAILURE; NERVOUS SYSTEM; AGING",2020-04-01,2023-03-31,0
"Adeli, Khosrow",Hospital for Sick Children (Toronto),Ontario,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,201103IRO,Industry Partnered Collaborative Research,CALIPER: A Canadian Initiative to Close the Critical Gaps in Pediatric Reference Intervals,"$66,667",$0,,,1 yr 0 mth ,"pediatric, reference intervals, gaps","Human Development, Child and Youth Health",HEALTH CARE DELIVERY; HEALTH SERVICES RESEARCH; HEALTH RESEARCH; POPULATION HEALTH,2011-10-01,2012-09-30,0
"Jolly, Sanjit S",McMaster University,Ontario,Operating Grant: Industry-partnered Collaborative Research,201109IPR,Industry Partnered Collaborative Research,A randomized trial of ThrOmbectomy vs. PCI Alone for STEMI (TOTAL trial),"$796,316",$0,,,3 yrs 6 mths ,"Thrombectomy, PCI, STEMI",Circulatory and Respiratory Health,CORONARY CIRCULATION (INCL. INSUFFICIENCY); CARDIOVASCULAR,2012-04-01,2015-09-30,0
"Meunier, Michel",Polytechnique Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Selective laser-mediated gene therapy for ocular diseases,"$369,433","$4,750",,,3 yrs 0 mth ,"laser, gene, ocular","Neurosciences, Mental Health and Addiction",DISEASES AFFECTING SPEECH/VISION/HEARING; MULTIDISCIPLINARY; VISION; CELL BIOLOGY,2018-04-01,2021-03-31,1
"Wang, Yuzhuo",University of British Columbia,British Columbia,Operating Grant: Industry-partnered Collaborative Research,201509IPR,Industry Partnered Collaborative Research,Application of antibody internalization domain to improve the efficacy and safety of Antibody Drug Conjugates,"$625,000",$0,,,5 yrs 0 mth ,"antibody, internalization, conjugates",Cancer Research,PROSTATE AND BLADDER CANCER; CANCER,2016-04-01,2021-03-31,0
"Cete, Daniel",Universite Laval,Quebec,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,Optical guidance during neurosurgery for deep brain stimulation electrode implantation in the treatment of Parkinson's disease,"$336,750",$0,,,3 yrs 0 mth ,"optical guidance, neurosurgery, deep brain stimulation",,,2012-11-01,2015-03-31,0
"Simmons, Craig A",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Engineering Pulmonary Valve Tissue for Pediatric Patients with Tetralogy of Fallot,"$386,873",$0,,,3 yrs 0 mth ,"Pulmonary Valve, Tissue Engineering, Pediatric",Circulatory and Respiratory Health,CARDIOLOGY; CARDIOVASCULAR; CELL BIOLOGY,2017-04-01,2020-03-31,0
"Lubell, William D",Universite de Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Treatment of Age Related Macular Degeneration with CD36 Receptor Modulators,"$541,155",$0,,,3 yrs 0 mth ,"Macular Degeneration, CD36, Receptor",Aging,AGING; DISEASES AFFECTING SPEECH/VISION/HEARING; VISION,2014-04-01,2017-03-31,3
"Juncker, David",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Rapid detection of MRSA and identification of strain using an autonomous microfluidic chip with bacteriophages,"$173,500",$0,,,3 yrs 0 mth ,"MRSA, microfluidic, bacteriophages",,,2011-04-01,2014-03-31,1
"Mckeown, Martin J",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,"Confidential Automatic Monitoring, Examination, and Recognition of disease Activity (CAMERA): Application to Parkinson and Alzheimer Diseases","$517,818","$61,140",,,3 yrs 0 mth ,"Automatic, Monitoring, Disease","Neurosciences, Mental Health and Addiction",PARKINSON'S DISEASE; ALZHEIMER'S DISEASE; NERVOUS SYSTEM; ETHICS,2019-04-01,2022-03-31,0
"Nguan, Christopher",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Development of an Ultrasound based Elastography System for Renal Transplantation,"$194,000",$0,,,3 yrs 0 mth ,"Ultrasound, Elastography, Renal",Infection and Immunity,"GENITO/URINARY SYSTEM; RENAL FUNCTION, NEPHROLOGY, UROLOGY; IMAGING",2014-04-01,2017-03-31,0
"Ellis, Christopher G",Western University (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Noninvasive Functional Biomarker for Early Detection and Continuous Monitoring of Microvascular Dysfunction,"$319,446",$0,,,3 yrs 0 mth ,"Biomarker, Microvascular, Monitoring",Circulatory and Respiratory Health,BLOOD; DIABETES MELLITUS; CARDIOVASCULAR; IMMUNOLOGY-TRANSPLANTATION,2015-04-01,2018-03-31,0
"Coffin, Carla S",University of Calgary,Alberta,Operating Grant: Industry-partnered Collaborative Research,201509IPR,Industry Partnered Collaborative Research,Pathogenesis of Hepatitis B Virus Infection in Non-Alcoholic Fatty Liver Disease,"$228,746",$0,,,3 yrs 0 mth ,"Hepatitis B, Virus Infection, Fatty Liver",Infection and Immunity,LIVER DISEASE; OBESITY; GASTROINTESTINAL (LIVER); HEALTH RESEARCH,2016-04-01,2019-03-31,0
"Fine, Alan",Dalhousie University (Nova Scotia),Nova Scotia,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Lensless microscopy for rapid portable hematology diagnostics at the point of care,"$431,955",$0,,,3 yrs 0 mth ,"lensless,microscopy,hematology",Cancer Research,BLOOD; LEUKAEMIAS; IMAGING,2015-04-01,2018-03-31,1
"Tangri, Navdeep",University of Manitoba,Manitoba,Catalyst Grant: eHealth Innovations,201310CEH,e-Health Innovation Partnership Program (eHIPP),A population based surveillance system for detection of high risk CKD,"$92,153",$0,,,1 yr 0 mth ,"surveillance, CKD, detection","Nutrition, Metabolism and Diabetes","HEALTH SERVICES RESEARCH; HEALTH CARE DELIVERY; RENAL FUNCTION, NEPHROLOGY, UROLOGY",2014-03-01,2015-02-28,5
"Boulanger, Pierre B",University of Alberta,Alberta,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Multiview Ultrasound Fusion for Cardiac and Non-cardiac Imaging,"$244,296",$0,,,3 yrs 0 mth ,"Ultrasound, Fusion, Imaging",Circulatory and Respiratory Health,"CARDIOLOGY; STROKE, HEART FAILURE; IMAGING; CARDIOVASCULAR",2016-04-01,2019-03-31,1
"Petel, Oren",Carleton University (Ottawa),Ontario,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,The development of a next-generation polymeric headform surrogate for concussion and helmet evaluation,"$298,928",$0,,,3 yrs 0 mth ,"polymeric, headform, concussion","Neurosciences, Mental Health and Addiction","INJURY, REGENERATION; MULTIDISCIPLINARY; NERVOUS SYSTEM; MUSCLE, BONE, OR JOINT",2017-04-01,2020-03-31,1
"Allingham, John S","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Development of antibody-drug conjugates that use actin-targeting warheads,"$248,750",$0,,,3 yrs 0 mth ,"antibody, drug conjugates, actin",Cancer Research,CANCER THERAPY GENERAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; CANCER,2017-04-01,2020-03-31,1
"Lillicrap, David P","Queen's University (Kingston, Ontario)",Ontario,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,201103IRO,Industry Partnered Collaborative Research,Evaluation of innovative therapeutic strategies for hemophilia A in a unique hemophilic dog colony.,"$360,000",$0,,,3 yrs 0 mth ,"hemophilia A, therapeutic strategies, dog colony",Circulatory and Respiratory Health,BLOOD; CLOTTING DEFECTS/THROMBOSIS; GENETICS,2014-10-01,2017-06-30,0
"Nguyen, Dang K",Universite de Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,A multimodal seizure detection artificial intelligence-based smart wear,"$435,407","$45,186",,,3 yrs 0 mth ,"seizure detection, artificial intelligence, smart wear","Neurosciences, Mental Health and Addiction",,2019-04-01,2022-03-31,0
"Hatzopoulou, Marianne",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Exploring the Development of Biologically-Weighted Multi-Pollutant Exposure Surfaces for the Evaluation of Air Pollution Health Effects,"$301,589",$0,,,3 yrs 0 mth ,"Biologically-Weighted, Multi-Pollutant, Exposure",Population and Public Health,ENVIRONMENTAL INFLUENCES ON HEALTH; EPIDEMIOLOGY; CARDIOVASCULAR,2015-07-01,2018-06-30,0
"Sinton, David A",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,"Sperm Olympics: Selecting 1 in 100,000 for Intracytoplasmic Sperm Injection","$272,390",$0,,,3 yrs 0 mth ,"Sperm, Intracytoplasmic, Injection","Human Development, Child and Youth Health","INFERTILITY MALE; PREGNANCY/BIRTH; REPRODUCTION/PREGNANCY; RENAL FUNCTION, NEPHROLOGY, UROLOGY",2017-04-01,2020-03-31,1
"Mandelis, Andreas",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Development of a high-resolution photothermal coherence tomography clinical device for detection and 3-D mapping of early dental caries,"$358,647",$0,,,3 yrs 0 mth ,"photothermal, coherence tomography, dental caries",Musculoskeletal Health and Arthritis,DENTAL DISEASE (INCL. ORAL BIOLOGY); MULTIDISCIPLINARY; DENTAL SCIENCE - Oral Biology; IMAGING,2017-04-01,2020-03-31,1
"Waldman, Stephen D","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,Patient-specific cartilage implants: development and surgical implantation,"$239,229",$0,,,3 yrs 0 mth ,"cartilage, implants, surgical",,,2012-04-01,2015-03-31,0
"Hafeli, Urs O",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,Second generation liver tumour radioembolization with biodegradable monosized Re-188 micrspheres,"$284,364",$0,,,3 yrs 0 mth ,"liver, radioembolization, Re-188 microspheres",,,2012-04-01,2015-03-31,0
"Frampton, John P",Dalhousie University (Nova Scotia),Nova Scotia,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,Development of a near-care diagnostic test for Lyme disease,"$460,441","$31,265",,,3 yrs 0 mth ,"diagnostic test, Lyme disease",Infection and Immunity,"INFECTIOUS AND PARASITIC; MULTIPLE DISEASE RELEVANCE; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; NOT CLASSIFIED",2020-04-01,2023-03-31,0
"Wald, Ron",Unity Health Toronto,Toronto,Operating Grant: Industry-partnered Collaborative Research,201409IPR,Industry Partnered Collaborative Research,STandard versus Accelerated initiation of Renal Replacement Therapy in Acute Kidney Injury (STARRT-AKI),"$220,995",$0,,,4 yrs 0 mth ,"Renal Replacement Therapy, Acute Kidney Injury, STARRT-AKI","Nutrition, Metabolism and Diabetes","MULTIDISCIPLINARY; RENAL FUNCTION, NEPHROLOGY, UROLOGY",2015-04-01,2019-03-31,0
"Schreiner, L. John","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Gel dosimetry for brachytherapy dose delivery validation,"$157,870",$0,,,3 yrs 0 mth ,"Gel dosimetry, brachytherapy, dose validation",Cancer Research,CANCER THERAPY GENERAL; NONE OF THE ABOVE; CANCER; IMAGING,2017-04-01,2020-03-31,0
"Johnsrude, Ingrid S","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Quantitative functional magnetic resonance imaging for the management of brain injuries,"$400,007",$0,,,3 yrs 0 mth ,"functional magnetic resonance imaging, brain injuries","Neurosciences, Mental Health and Addiction",CNS ORGANIC; ILL-DEFINED CONDITIONS; IMAGING; HEALTH SERVICES RESEARCH,2014-04-01,2017-03-31,0
"Parshuram, Christopher S",Hospital for Sick Children (Toronto),Ontario,Catalyst Grant: eHealth Innovations,201310CEH,e-Health Innovation Partnership Program (eHIPP),RESPECT: a tool to improve patient care quality and safety & facilitate team learning,"$90,821","$1,384",,,1 yr 0 mth ,"patient care, safety, team learning",Health Services and Policy Research,HEALTH SERVICES RESEARCH; POPULATION HEALTH,2014-03-01,2015-02-28,0
"Stradiotto, Mark",Dalhousie University (Nova Scotia),Nova Scotia,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,An interdisciplinary approach towards the development of a disease-stabilizing treatment for Alzheimer's disease,"$242,000",$0,,,3 yrs 0 mth ,"Alzheimer's, disease, stabilization",,,2012-04-01,2015-03-31,0
"Tsang, Teresa S",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,INformation FUSion for Echocardiography (INFUSE): A Novel Platform for Automatic Analysis of Echocardiography Data at Any Point-Of-Care,"$327,819",$0,,,3 yrs 0 mth ,"Information, Fusion, Echocardiography",Circulatory and Respiratory Health,CARDIOLOGY; HEALTH SERVICES RESEARCH; CARDIOVASCULAR; IMAGING,2016-04-01,2019-03-31,0
"Barzda, Virginijus",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Nonlinear Optical Imaging for Digital Pathology,"$508,406",$0,,,3 yrs 0 mth ,"Nonlinear Optical, Imaging, Pathology",Cancer Research,MULTIDISCIPLINARY; QUALITATIVE METHODS; IMAGING; CANCER,2014-04-01,2017-03-31,1
"Cummins, Carolyn L",University of Toronto,Ontario,Operating Grant: Industry-partnered Collaborative Research,201309IPR,Industry Partnered Collaborative Research,Defining the structural basis for LXR beta antagonism,"$126,664",$0,,,2 yrs 0 mth ,"LXR, beta, antagonism","Nutrition, Metabolism and Diabetes",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DIABETES MELLITUS; DRUG RESEARCH; ENDOCRINOLOGY,2014-04-01,2016-03-31,0
"Brunette, Isabelle",Universite de Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Biosynthetic alternatives to human donor corneal transplantation,"$321,657",$0,,,3 yrs 0 mth ,"biosynthetic, corneal, transplantation","Neurosciences, Mental Health and Addiction",AGING; VISION,2017-04-01,2020-03-31,1
"Leblond, Frederic",Polytechnique Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Optical guidance for safe and effective brain tumor biopsy,"$211,407",$0,,,3 yrs 0 mth ,"Optical guidance, brain tumor, biopsy",Cancer Research,BRAIN TUMORS (INCL. RETINAL TUMORS); IMAGING; CANCER,2014-04-01,2017-03-31,4
"Hansen, Carl L",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,The development of single cell microfluidic technologies for analysis of microRNA expression and epigenetic state with application to hematopoietic stem cells,"$758,367",$0,,,3 yrs 0 mth ,"microfluidic, microRNA, epigenetic",,,2013-04-01,2015-01-01,1
"Adamson, Robert B",Dalhousie University (Nova Scotia),Nova Scotia,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Optical coherence tomography of the middle ear,"$337,717",$0,,,3 yrs 0 mth ,"Optical coherence tomography, middle ear",Aging,DEAFNESS; MULTIPLE DISEASE RELEVANCE; IMAGING; HEARING,2017-04-01,2020-03-31,4
"Buschmann, Michael D",Polytechnique Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Chitosan-siRNA nanoparticles for gene silencing in Atherosclerosis and Cancer,"$339,912",$0,,,3 yrs 0 mth ,"Chitosan, siRNA, nanoparticles",Cancer Research,BREAST CANCER THERAPY; ATHEROSCLEROSIS; CANCER; CARDIOVASCULAR,2013-04-01,2016-03-31,4
"Fichtinger, Gabor","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Perk Tutor: Ultrasound-guided Needle Placement Training Platform,"$336,940",$0,,,3 yrs 0 mth ,"ultrasound, needle, training",Musculoskeletal Health and Arthritis,MUSCULO SKELETAL; HEALTH RESEARCH; IMAGING,2013-04-01,2016-03-31,9
"Boddy, Christopher N",University of Ottawa,Ontario,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,Development of small molecule viral sensitizers to boost vaccine manufacturing,"$394,580",$0,,,3 yrs 0 mth ,"small molecule, viral, vaccine",,,2012-04-01,2015-03-31,1
"Grandbois, Michel",Universite de Sherbrooke,Quebec,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Label-free Monitoring of Cellular Signals by Surface Plasmon Resonance,"$202,090",$0,,,3 yrs 0 mth ,"Surface Plasmon Resonance, Cellular Signals, Label-free",Unable to allocate,NONE OF THE ABOVE; NOT CLASSIFIED,2010-04-01,2013-03-31,0
"Bolduc, Franeois",University of Alberta,Alberta,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,Development of an Artificial Intelligence Chatbot supporting coaching and optimal service for individuals with Neurodevelopmental disabilities and their families,"$967,734",$0,,,3 yrs 0 mth ,"Artificial Intelligence, Chatbot, Neurodevelopmental","Human Development, Child and Youth Health",AUTISM; MENTAL DISABILITY; MENTAL HEALTH; PSYCHOSOCIAL/HEALTH BEHAVIOURAL RES.,2019-04-01,2022-03-31,0
"Anglin, Carolyn",University of Calgary,Alberta,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Development and Clinical Efficacies of an Innovative Quantitative Intraoperative C-arm System,"$234,775",$0,,,3 yrs 0 mth ,"C-arm, Intraoperative, Quantitative",Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; MULTIDISCIPLINARY; IMAGING; MUSCLE, BONE, OR JOINT",2014-04-01,2017-03-31,0
"Lesage, Frederic",Polytechnique Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Integrated time-domain micro-optode to facilitate long-term clinical fNIRS,"$249,000",$0,,,3 yrs 0 mth ,"micro-optode, fNIRS, time-domain","Neurosciences, Mental Health and Addiction",EPILEPSY; HEALTH CARE DELIVERY; IMAGING; NERVOUS SYSTEM,2018-04-01,2021-03-31,0
"Pare, Guillaume",McMaster University,Ontario,Operating Grant: Industry-partnered Collaborative Research,201209IPR,Industry Partnered Collaborative Research,"Integration of clinical, biomarker, and genetic data for prediction of adverse outcomes in diabetes.","$999,330",$0,,,4 yrs 0 mth ,"clinical, biomarker, genetics","Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; METABOLISM/DIABETES; GENETICS,2013-04-01,2017-03-31,3
"Towler, Mark R",Toronto Metropolitan University,Toronto,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Synthesis of Bioactive Augments for use in Revision Knee Joint Replacement,"$250,861",$0,,,3 yrs 0 mth ,"Bioactive, Knee Joint, Replacement",Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; OSTEOPOROSIS; MUSCLE, BONE, OR JOINT",2016-04-01,2019-03-31,1
"Shoichet, Molly S",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Brain Cancer Treatment: innovations in delivery of stable siRNAs and chemotherapeutics,"$504,350",$0,,,3 yrs 0 mth ,"siRNAs, chemotherapeutics, brain cancer",Cancer Research,BRAIN TUMORS (INCL. RETINAL TUMORS); BRAIN TUMORS THERAPY; CANCER; NERVOUS SYSTEM,2015-04-01,2018-03-31,0
"Biddiss, Elaine A",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Design and evaluation of an interactive computer play platform to motivate participation in home-based therapies for young people with cerebral palsy: Let's Play!,"$248,885",$0,,,3 yrs 0 mth ,"interactive, computer, therapies","Human Development, Child and Youth Health",MULTIDISCIPLINARY; MULTIPLE DISEASE RELEVANCE; HEALTH RESEARCH,2015-04-01,2018-03-31,0
"Laussen, Peter C",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,Utilizing high resolution physiological data and artificial intelligence to develop a pediatric cardiac arrest prediction tool for integration into bedside clinical practice,"$596,830","$28,120",,,3 yrs 0 mth ,"physiological data, artificial intelligence, cardiac arrest",Population and Public Health,HEALTH CARE DELIVERY; HEALTH SERVICES RESEARCH; BIOPHYSICS; HEALTH RESEARCH,2019-04-01,2022-03-31,0
"Jain, Arsh K",London Health Sciences Centre Res. Inc. (Ont.),Ontario,Operating Grant: Industry-partnered Collaborative Research - Other Partner,201103ISO,Industry Partnered Collaborative Research,Randomized Controlled Trial of Bimodal Solution for Peritoneal Dialysis: 24-Hour Ultra-Filtration Efficiency Using Bimodal PD Solutions During the Long Dwell,"$24,591","$1,303",,,1 yr 0 mth ,"Peritoneal Dialysis, Ultra-Filtration, Bimodal Solutions","Nutrition, Metabolism and Diabetes","DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; GENITO/URINARY SYSTEM; HEALTH RESEARCH; RENAL FUNCTION, NEPHROLOGY, UROLOGY",2011-10-01,2012-09-30,0
"De Koninck, Yves",Universite Laval,Quebec,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,"Large-scale, high-resolution light-sheet microscope for whole brain connectomics","$326,994",$0,,,3 yrs 0 mth ,"light-sheet,microscope,connectomics","Neurosciences, Mental Health and Addiction",MULTIPLE DISEASE RELEVANCE; MENTAL AND BEHAVIOURAL DISEASES,2015-04-01,2018-03-31,0
"Dumont, Guy A",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Closed-Loop Control of Anesthesia,"$309,194",$0,,,3 yrs 0 mth ,"Closed-Loop, Control, Anesthesia",,,2008-10-01,2011-09-30,3
"Hatzopoulou, Marianne",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,Reconciling the promotion of active transportation and personal exposure to traffic-related air pollution in Canadian urban areas,"$225,623",$0,,,3 yrs 0 mth ,"active transportation, air pollution, traffic",,,2012-04-01,2015-03-31,0
"Harvey, Edward J",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,IMPLANTABLE MICRO-DEVICE to MONITOR MUSCLE COMPARTMENT PRESSURE in TRAUMA VICTIMS,"$180,569",$0,,,3 yrs 0 mth ,"implantable, micro-device, pressure",Musculoskeletal Health and Arthritis,"HEALTH CARE DELIVERY; MUSCULO SKELETAL; HEALTH RESEARCH; MUSCLE, BONE, OR JOINT",2014-04-01,2017-03-31,2
