Project_Title,Name,Institution_Paid,Location,Program_Name,Competition_CD,PRC_Name,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,title_keywords,patents
A defined cyclic peptide epitope specific to Abeta oligomers:   Active and passive vaccination in mouse models of Alzheimer's disease,"Cashman, Neil R",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201209PP2,Proof of Principle,300000,0,1 yr 0 mth ,Aging,ALZHEIMER'S DISEASE; AGING; NERVOUS SYSTEM,4/1/2013,2014-03-31,"cyclic peptide, Abeta oligomers, vaccination",17
Evaluation of novel flavonoids in models of hematological cancer,"Chan, Tak Hang",McGill University,Quebec,Proof of Principle Program - Phase II,201109PP2,Proof of Principle,300000,0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; DRUG RESEARCH; CANCER,4/1/2012,2013-03-31,"flavonoids, hematological cancer, models",4
Innovative device to reduce myocardial infarct size and no-reflow : Proof of concepts in humans,"Charron, Thierry",CIUSSS du Nord-de-l'Ile-de Montreal - Hepital Sacre Coeur,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,159300,0,1 yr 0 mth ,Circulatory and Respiratory Health,MYOCARDIAL INFARCTION; CARDIOLOGY; CARDIOVASCULAR,4/1/2014,2015-03-31,"myocardial infarct, no-reflow, device",2
Rotor Mapping in Human Atrial Fibrillation,"Chauhan, Vijay S",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,149015,10634,1 yr 0 mth ,Circulatory and Respiratory Health,ARRHYTHMIAS; CARDIOLOGY; CARDIOVASCULAR; HEALTH RESEARCH,4/1/2015,2016-03-31,"Rotor, Mapping, Atrial Fibrillation",1
IL-1  Allosteramers to treat diabetes and its complications,"Chemtob, Sylvain","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Proof of Principle Program - Phase II,201003PP2,Proof of Principle,300000,0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; METABOLISM/DIABETES; VISION,10/1/2010,2011-09-30,"IL-1, Allosteramers, diabetes",1
A novel through-the-scope exchangeable double balloon catheter to guide endoscopic bypass:  a practice-changing technology in the management of malignant gastric outlet obstruction,"Chen, Yen-I",Research Institute of the McGill University Health Centre,Quebec,Project Grant,202309PJT,Commercialization,451350,0,2 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",null,3/1/2024,2025-02-28,"double balloon, endoscopic, gastric outlet obstruction",0
First-in-Class Small-molecule Inhibitors Selectively Targeting the DNA-binding Domain of Human Androgen Receptor and Its Splice Variants for the Treatment of Resistant Prostate Cancer,"Cherkasov, Artem",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,150030,0,1 yr 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; CANCER THERAPY GENERAL; CANCER; DRUG RESEARCH,10/1/2014,2015-09-30,"small-molecule, androgen receptor, prostate cancer",2
Development of endorectal MR elastography for prostate cancer detection,"Chopra, Rajiv","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,153344,0,1 yr 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER; IMAGING; CANCER,4/1/2011,2012-03-31,"MR elastography, prostate cancer, detection",0
Evaluation of MRI-controlled interstitial ultrasound therapy for the treatment of cerebral neoplasms,"Chopra, Rajiv","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase II,201102PP2,Proof of Principle,147500,0,1 yr 0 mth ,Cancer Research,BRAIN TUMORS THERAPY; IMAGING; CANCER,10/1/2011,2012-09-30,"MRI, ultrasound, neoplasms",0
Synergistic topical combinations for chronic pain aimed at treating microvascular dysfunction.,"Coderre, Terence J",McGill University,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,160000,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",MULTIPLE DISEASE RELEVANCE; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; NERVOUS SYSTEM,10/1/2012,2013-09-30,"topical, microvascular, pain",0
