Project_Title,Name,Institution_Paid,Location,Program_Name,Competition_CD,PRC_Name,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,title_keywords,patents
Novel Polymer Based Glucose-sparing Peritoneal Dialysis Solutions for End-stage Renal Disease,"Kizhakkedathu, Jayachandran N",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,160000,0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes","RENAL FUNCTION, NEPHROLOGY, UROLOGY",10/1/2012,2013-09-30,"Polymer, Glucose-sparing, Dialysis",2
Preclinical Development of a Glucose-Free Peritoneal Dialysis Solution,"Kizhakkedathu, Jayachandran N",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201402PP2,Proof of Principle,289799,5000,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes","RENAL FUNCTION, NEPHROLOGY, UROLOGY",10/1/2014,2015-09-30,"Glucose-Free, Peritoneal Dialysis, Solution",9
Novel Infection Resistant Coating in an Era of Drug Resistant Bacteria for the Treatment and Prevention of Medical Device Infection,"Kizhakkedathu, Jayachandran N",University of British Columbia,British Columbia,Project Grant,202010PJT,Commercialization,520199,0,3 yrs 0 mth ,Infection and Immunity,"Commercialization-Intellectual Property; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Immunology and Infection-Antimicrobial Drug Resistance, Drug Discovery and Therapeutics (including vaccines)",4/1/2021,2024-03-31,"Infection, Coating, Bacteria",3
Localized immuno-cloaking organ engineering approach to prevent transplant rejection without immunosuppressants,"Kizhakkedathu, Jayachandran N",University of British Columbia,British Columbia,Project Grant,202209PJT,Commercialization,803250,0,3 yrs 0 mth ,Infection and Immunity,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Immunology and Infection-Transplantation, Immune Tolerance and Tumor Immunology; Commercialization-Intellectual Property",4/1/2023,2026-03-31,"immuno-cloaking, organ engineering, transplant rejection",0
Peptide therapeutics for preventing retinal ganglion cell apoptosis,"Koeberle, Paulo D",University of Toronto,Ontario,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,149949,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",GLAUCOMA; DISEASES AFFECTING SPEECH/VISION/HEARING,4/1/2015,2016-03-31,"peptide, retinal ganglion cell, apoptosis",1
In vivo efficacy studies on KP-218 as a potential MS therapeutic agent,"Kotra, Lakshmi P",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,160000,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",MULTIPLE SCLEROSIS; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS,10/1/2014,2015-09-30,"in vivo, MS, therapeutic",4
Novel methods and compounds for increasing red blood cell survival,"Kouassi, Edouard",CIUSSS Est-de-l'Ile-de- Montreal-Maisonneuve Rosemont,Quebec,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,160000,0,1 yr 0 mth ,Circulatory and Respiratory Health,BLOOD; ANAEMIAS; DRUG RESEARCH,10/1/2010,2011-09-30,"red blood cell, survival, compounds",0
Anti-parathyroid hormone-related protein (PTHrP) monoclonal antibodies against metastatic cancer,"Kremer, Richard B",Research Institute of the McGill University Health Centre,Quebec,Project Grant,202209PJT,Commercialization,665550,0,3 yrs 0 mth ,Cancer Research,"Commercialization-Technology Transfer; Musculoskeletal Health-Bone, Skin and Cartilage Sciences; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",4/1/2023,2026-03-31,"parathyroid hormone, monoclonal antibodies, metastatic cancer",1
Protective Effects of Potato Polyphenol-Rich Extracts Against Lung Damage Caused by Air Pollutants,"Kubow, Stanley",McGill University,Quebec,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,150525,0,1 yr 0 mth ,Circulatory and Respiratory Health,ENVIRONMENTAL INFLUENCES ON HEALTH; RESPIRATION; NUTRITION,4/1/2012,2013-03-31,"potato polyphenols, lung damage, air pollutants",1
Development of new class of antiviral drugs for influenza A virus infections,"Kumar, Rakesh",University of Alberta,Alberta,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,156590,0,1 yr 0 mth ,Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; INFECTIOUS AND PARASITIC; HEALTH RESEARCH; DRUG RESEARCH,4/1/2013,2014-03-31,"antiviral, influenza, virus",4
Development of novel chemotherapeutics for tuberculosis,"Kumar, Rakesh",University of Alberta,Alberta,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,159850,0,1 yr 0 mth ,Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; INFECTIOUS AND PARASITIC; DRUG RESEARCH; BACTERIOLOGY,4/1/2014,2015-03-31,"chemotherapeutics, tuberculosis",7
A wearable technology approach to managing challenging behaviours in children with autism spectrum disorder (ASD),"Kushki, Azadeh",Holland Bloorview Kids Rehabilitation Hospital (Toronto),Ontario,Project Grant,202003PJT,Commercialization,485774,0,3 yrs 0 mth ,"Human Development, Child and Youth Health",Commercialization-Technology Transfer,10/1/2020,2023-09-30,"wearable, autism, behaviors",0
CTAP III for detection of early lung cancer and monitoring treatment outcome,"Lam, Stephen",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,LUNG CANCER; CANCER,10/1/2010,2011-09-30,"CTAP, lung cancer, detection",0
Lipid Nanoparticle-Mediated Delivery of CRISPR/Cas9 Gene Editing for Neurological Disorders.,"Leavitt, Blair R",University of British Columbia,British Columbia,Operating Grant - PA: Genetics (Bridge Funding: Research Priorities),202109OGB,Commercialization,100000,0,1 yr 0 mth ,Genetics,"Commercialization-Industry Research & Development; Neurosciences-Neurological disorders; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",3/1/2022,2023-02-28,"Lipid Nanoparticle, CRISPR, Gene Editing",3
Lipid Nanoparticle-Mediated Delivery of CRISPR/Cas9 Gene Editing for Neurological Disorders.,"Leavitt, Blair R",University of British Columbia,British Columbia,Project Grant,202203PJT,Commercialization,761176,0,5 yr 0 mth ,Genetics,"Commercialization-Industry Research & Development; Neurosciences-Neurological disorders; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",10/1/2022,2027-09-30,"Lipid Nanoparticle, CRISPR, Gene Editing",3
The ARiBo technology for isolation of ribonucleoprotein complexes,"Legault, Pascale",Universite de Montreal,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,145412,13349,1 yr 0 mth ,Genetics,"CANCER THERAPY GENERAL; MULTIPLE DISEASE RELEVANCE; BIOCHEMISTRY; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",10/1/2012,2013-09-30,"ARiBo, ribonucleoprotein, complexes",0
Commercialization of a diagnostic test for endometriosis,"Leonardi, Mathew",McMaster University,Ontario,Project Grant,202309PJT,Commercialization,634949,0,3 yrs 0 mth ,Gender and Health,"Sex-and-Gender Health-Sex-and-Gender-Based Analysis - Clinical, Health Systems and Population Health Research",4/1/2024,2027-03-31,"diagnostic test, endometriosis",1
A new therapeutic agent for the treatment and prevention of endoleaks after endovascular aneurysm repair,"Lerouge, Sophie",ecole de technologie superieure (Montreal),Quebec,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,155000,0,1 yr 0 mth ,Circulatory and Respiratory Health,ATHEROSCLEROSIS; CARDIOVASCULAR,10/1/2010,2011-09-30,"therapeutic agent, endoleaks, aneurysm repair",3
Injectable thermosensitive hydrogel as delivery vehicle of lymphocytes for cancer immunotherapy,"Lerouge, Sophie",ecole de technologie superieure (Montreal),Quebec,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,141000,0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; CANCER,4/1/2016,2017-03-31,"injectable, hydrogel, lymphocytes",0
"Benchmark Cellax, a proprietary nanoparticle formulation for docetaxel, against Taxotere to treat metastatic castration resistant prostate cancer","Li, Shyh-Dar","Ontario Institute for Cancer Research (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; PROSTATE AND BLADDER CANCER THERAPY; DRUG RESEARCH; CANCER,10/1/2012,2013-09-30,"nanoparticle, docetaxel, prostate cancer",3
Heat-triggered Chemotherapy to Treat Refractory Breast Cancer at the Chest Wall,"Li, Shyh-Dar","Ontario Institute for Cancer Research (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,DRUG RESEARCH; CANCER,10/1/2013,2014-09-30,"Heat, Chemotherapy, Breast Cancer",1
Validation and commercialization of an innovative analgesic for chronic pain,"Li, Shyh-Dar",University of British Columbia,British Columbia,Project Grant,201909PJT,Commercialization,524026,0,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction","Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",4/1/2020,2023-03-31,"analgesic, chronic pain",1
Pre-clinical pharmacokinetic and efficacy assays with an efficient 17beta-hydroxysteroid dehydrogenase type 7 inhibitor for breast cancer therapy,"Lin, Sheng-Xiang",Universite Laval,Quebec,Project Grant - PA: Breast Cancer Research,202309PLL,Commercialization,100000,0,1 yr 0 mth ,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Digestive, Endocrine and Excretory Systems-Endocrinology",3/1/2024,2025-02-28,"pharmacokinetic, 17beta-hydroxysteroid dehydrogenase, breast cancer",0
Therapeutics targeting receptor-receptor interactions for Addiction,"Liu, Fang",Centre for Addiction and Mental Health (Toronto),Ontario,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,150000,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",DRUG RESEARCH; MENTAL HEALTH,4/1/2010,2011-03-31,"receptor, interactions, addiction",10
Development of peptide therapeutics via nasal delivery for major depression disorder,"Liu, Fang",Centre for Addiction and Mental Health (Toronto),Ontario,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,150000,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",DEPRESSION; MENTAL AND BEHAVIOURAL DISEASES; MENTAL HEALTH; DRUG RESEARCH,4/1/2012,2013-03-31,"peptide, nasal delivery, depression",3
Development and commercialisation of a novel treatment for multiple sclerosis,"Liu, Fang",Centre for Addiction and Mental Health (Toronto),Ontario,Proof of Principle Program - Phase II,201509PP2,Proof of Principle,299101,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",MULTIPLE SCLEROSIS; MENTAL AND BEHAVIOURAL DISEASES; DRUG RESEARCH; NERVOUS SYSTEM,4/1/2016,2017-03-31,"multiple sclerosis, treatment",8
Targeting UROD As A Novel Anti-Cancer Therapeutic Strategy,"Liu, Fei-Fei",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,150000,0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; CANCER,4/1/2010,2011-03-31,"UROD, Anti-Cancer, Therapeutic",1
The effects of a novel hydrogel coating on commercial antimicrobial dressings.,"Logsetty, Sarvesh",University of Manitoba,Manitoba,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,157633,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,SKIN AND SUBCUTANEOUS TISSUS; INFECTIOUS AND PARASITIC; BIOCHEMISTRY; DRUG RESEARCH,4/1/2015,2016-03-31,"hydrogel, antimicrobial, dressings",3
"Treating Age-Related Macular Degeneration by Mitigating Inflammation, Oxidative Stress, and Lipid Accumulation through CD36 Modulation","Lubell, William D",Universite de Montreal,Quebec,Project Grant,202209PJT,Commercialization,833851,0,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction","Commercialization-Industry Research & Development; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery; Aging-Geriatric Medicine and Health Sciences",4/1/2023,2026-03-31,"Age-Related Macular Degeneration, Inflammation, CD36",0
Interleukin-1 Receptor Modulating Therapy for Treating Macular Degeneration,"Lubell, William D",Universite de Montreal,Quebec,Project Grant,202303PJT,Commercialization,516376,0,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction","Commercialization-Industry Research & Development; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery; Aging-Geriatric Medicine and Health Sciences",10/1/2023,2026-09-30,"Interleukin-1, Receptor, Macular Degeneration",0
Pre-commercial Development of Microfluidic Technology for Deformability based Separation of Circulating Tumor Cells,"Ma, Hongshen",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER; BLOOD; CANCER,10/1/2015,2016-09-30,"microfluidic, deformability, tumor cells",0
Non-contact screening technology to expedite cell line development for antibody production,"Ma, Hongshen",University of British Columbia,British Columbia,Project Grant,201909PJT,Commercialization,524026,0,3 yrs 0 mth ,Cancer Research,"Commercialization-Intellectual Property; Commercialization-Technology Transfer; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",4/1/2020,2023-03-31,"non-contact, screening, antibody",0
A platform enabling personalized medicine through the detection of cells with specific genetic characterization,"Macaulay, Calum E",University of British Columbia,British Columbia,"Proof of Principle - PA: Cancer Early Detection, Imaging/Trans Therapeutics",200904PCA,Proof of Principle,149825,0,1 yr 0 mth ,Cancer Research,"CANCER THERAPY GENERAL; MULTIDISCIPLINARY; CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",7/1/2009,2010-06-30,"personalized medicine, genetic characterization, cell detection",0
Optically-Guided Biopsy for Improved Diagnosis of Peripheral Pulmonary Nodules,"Macaulay, Calum E",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,146470,0,1 yr 0 mth ,Cancer Research,LUNG CANCER; NEOPLASMS; CANCER; HEALTH RESEARCH,10/1/2015,2016-09-30,"Optically-Guided, Biopsy, Pulmonary",1
Evaluation of a Novel Chlamydia Vaccine Based on Type III Secretion Proteins,"Mahony, James B",McMaster University,Ontario,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,159000,0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; INFERTILITY FEMALE; HEALTH RESEARCH; BACTERIOLOGY,10/1/2014,2015-09-30,"Chlamydia, Vaccine, Secretion Proteins",1
Treating Parkinson's Disease with Drugs that Increase Lysosomal B-Glucocerebrosidase Activity,"Mahuran, Don J",Hospital for Sick Children (Toronto),Ontario,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,157606,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",PARKINSON'S DISEASE; MENTAL AND BEHAVIOURAL DISEASES; NERVOUS SYSTEM; BIOCHEMISTRY,4/1/2012,2013-03-31,"Parkinson's, Lysosomal, B-Glucocerebrosidase",2
Riboswitch ligand inhibitors for MRSA and staphylococci / Ligands de riboregulateurs agissant comme antibiotiques contre le SARM et les staphylocoques,"Malouin, Franeois",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,157350,0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC,4/1/2013,2014-03-31,"riboswitch, ligands, antibiotics",0
"Swallowing Air-Pulse Therapy (SWAPT): Design Specification, Testing, Regulatory Approval, and Pre-launch Market Analysis","Martin, Ruth E",Western University (Ontario),Ontario,Proof of Principle Program - Phase II,200904PP2,Proof of Principle,250000,0,1 yr 0 mth ,Aging,"STROKE, HEART FAILURE; MUSCULO SKELETAL; AGING; DENTAL SCIENCE - Oral Biology",7/1/2009,2010-06-30,"Air-Pulse, Swallowing, Therapy",7
POROUS COMPRESSION SCREW for FRACTURE FIXATION,"Martineau, Paul A",Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,155375,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; HEALTH CARE DELIVERY; HEALTH RESEARCH; MUSCLE, BONE, OR JOINT",4/1/2011,2012-03-31,"porous, compression, screw",2
PROMISE: A Proactive Molecular-Based Classification Tool to Improve Endometrial Cancer Management,"Mcalpine, Jessica N",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; CANCER,4/1/2016,2017-03-31,"Molecular, Classification, Endometrial Cancer",1
CD34 as a therapeutic target for allergic asthma,"McNagny, Kelly M",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,160000,0,1 yr 0 mth ,Infection and Immunity,ASTHMA; RESPIRATION; IMMUNOLOGY-TRANSPLANTATION,10/1/2010,2011-09-30,"CD34, allergic asthma, therapeutic",0
Minimally Invasive Curved Intramedullary Fixation (MICIF) for pelvic bone fractures,"Meek, Robert N",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201302PP2,Proof of Principle,300000,0,1 yr 0 mth ,Health Services and Policy Research,"NONE OF THE ABOVE; MUSCLE, BONE, OR JOINT; HEALTH RESEARCH",10/1/2013,2014-09-30,"Intramedullary, Fixation, Pelvic",4
Targeting the degradation of the cyclin-dependent kinase inhibitor p21 as a novel approach to cancer therapy,"Meloche, Sylvain",Universite de Montreal,Quebec,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; DRUG RESEARCH; CANCER,4/1/2011,2012-03-31,"cyclin-dependent kinase, p21, cancer",1
Development and validation of a multiplex blood-based assay for the early detection of ovarian cancer.,"Mes-Masson, Anne-Marie",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,GENITO/URINARY SYSTEM; NEOPLASMS; CANCER; HEALTH RESEARCH,10/1/2010,2011-09-30,"multiplex, blood-based, ovarian cancer",0
Hypoxia-activated DNA repair inhibitors to improve cancer therapy,"Minchinton, Andrew I",University of British Columbia,British Columbia,Project Grant,201903PJT,Commercialization,573750,0,3 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,10/1/2019,2022-09-30,"hypoxia, DNA repair, inhibitors",2
Development of clinical candidate hypoxia-activated DNA-PK inhibitors,"Minchinton, Andrew I",University of British Columbia,British Columbia,Project Grant,202309PJT,Commercialization,979200,0,4 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,4/1/2024,2028-03-31,"hypoxia, DNA-PK, inhibitors",0
A novel dopamine D2 receptor allosteric modulator: Development and commercialization of a safer more effective generation of antipsychotic drugs,"Mishra, Ram K",McMaster University,Ontario,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,146850,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",SCHIZOPHRENIA; PARKINSON'S DISEASE; MENTAL HEALTH; BIOCHEMISTRY,10/1/2011,2012-09-30,"dopamine D2 receptor, allosteric modulator, antipsychotic",2
Methods of Diagnosing Idiopathic Scoliosis and related Spinal Disorders,"Moreau, Alain","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Proof of Principle Program - Phase II,200904PP2,Proof of Principle,250000,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; MOLECULAR BIOLOGY",7/1/2009,2010-06-30,"Diagnosing, Scoliosis, Spinal Disorders",13
Methods of Diagnosing Primary Osteoarthritis,"Moreau, Alain","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,160000,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; CELL BIOLOGY",4/1/2011,2012-03-31,"diagnosing, osteoarthritis, primary",3
Preclinical Validation of a Disease-Modifying Osteoarthritis Drug,"Moreau, Alain","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,160000,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; MUSCLE, BONE, OR JOINT; DRUG RESEARCH",4/1/2015,2016-03-31,"Osteoarthritis, Drug, Validation",0
Clinical development of oncolytic BHV-1 for cancer therapy,"Mossman, Karen L",McMaster University,Ontario,Project Grant,202104PJT,Commercialization,504900,0,3 yrs 0 mth ,Cancer Research,Commercialization-Intellectual Property; Commercialization-Industry Research & Development; Cancer-Cancer Drug Development and Therapeutics,10/1/2021,2024-09-30,"oncolytic, BHV-1, cancer",0
Using a Liquid Biopsy to Optimize Metastatic Breast Cancer Treatment,"Mueller, Christopher R","Queen's University (Kingston, Ontario)",Ontario,Project Grant,202209PJT,Commercialization,891226,0,3 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis; Cancer-Clinical Oncology; Commercialization-Industry Research & Development,4/1/2023,2026-03-31,"Liquid biopsy, metastatic breast cancer",1
Novel Mapping Methodology for Identifying Arrhythmia Circuit.,"Nanthakumar, Kumaraswamy",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,158375,0,1 yr 0 mth ,Circulatory and Respiratory Health,CARDIOLOGY; ARRHYTHMIAS; CARDIOVASCULAR,4/1/2014,2015-03-31,"Mapping, Arrhythmia, Circuit",9
Injectable dense collagen-silk fibroin derived polypeptide hydrogels for bone regenerative therapy,"Nazhat, Showan N",McGill University,Quebec,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,156393,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; DENTAL DISEASE (INCL. ORAL BIOLOGY); MUSCLE, BONE, OR JOINT; AGING",4/1/2013,2014-03-31,"collagen, fibroin, hydrogels",4
Bridging the Gap Between Mass Spectrometric Profiling and Practical Diagnostic Tests for Commercialization: Case of Chagas Disease,"Ndao, Momar",Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,150000,0,1 yr 0 mth ,Infection and Immunity,"INFECTIOUS AND PARASITIC; PARASITIC; HEALTH RESEARCH; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",1/1/2009,2009-12-31,"Mass spectrometry, diagnostics, Chagas disease",1
Validation of the CUX1 Expression Signature as an RT-PCR-Based Prognostic Tool,"Nepveu, Alain",McGill University,Quebec,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,159950,0,1 yr 0 mth ,Cancer Research,BREAST CANCER; NEOPLASMS; CANCER; MOLECULAR BIOLOGY,4/1/2011,2012-03-31,"CUX1, RT-PCR, Prognostic",1
Integrated discovery studies and commercialization for a preterm birth diagnostic and a therapeutic,"Olson, David M",University of Alberta,Alberta,Project Grant,202003PJT,Commercialization,558450,0,3 yrs 0 mth ,"Human Development, Child and Youth Health",Commercialization-Industry Research & Development; Reproduction and Development-Fertility and Maternal Health,10/1/2020,2023-09-30,"preterm birth, diagnostic, therapeutic",5
Bioreactor-based large scale production of a Tim-3 pathway inhibitor as a novel immunotherapy against HIV-1 and other chronic viral infections,"Ostrowski, Mario A",University of Toronto,Ontario,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,150000,0,1 yr 0 mth ,Infection and Immunity,AIDS; INFECTIOUS AND PARASITIC; IMMUNOLOGY-TRANSPLANTATION; VIROLOGY,1/1/2009,2009-12-31,"Bioreactor, Tim-3 pathway, immunotherapy",0
Stem cell-derived Encapsulated Liver Tissue to treat liver failure without immunosuppression: technology maturation towards clinical translation,"Paganelli, Massimiliano","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Project Grant,201809PJT,Commercialization,497249,0,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes","Biomedical Engineering-Regenerative Medicine and Tissue Engineering; Digestive, Endocrine and Excretory Systems-Gastroenterology and Hepatology; Commercialization-Technology Transfer",4/1/2019,2022-03-31,"stem cells, encapsulation, liver tissue",3
Generation of a gene expression-based breast cancer prognostic device,"Park, Morag",McGill University,Quebec,Proof of Principle Program - Phase II,200904PP2,Proof of Principle,73500,0,1 yr 0 mth ,Cancer Research,"BREAST CANCER; BREAST CANCER THERAPY; CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",7/1/2009,2010-06-30,"gene expression, breast cancer, prognostic",1
Pre-clinical studies of a small-molecule to reverse neurodegenerative disease-causing mutations for its commercialization and application,"Pearson, Christopher E",Hospital for Sick Children (Toronto),Ontario,Project Grant,202309PJT,Commercialization,719101,0,3 yrs 0 mth ,Genetics,Commercialization-Technology Transfer; Genetics-Molecular and Functional Genetics and Epigenetics,4/1/2024,2027-03-31,"small-molecule, neurodegenerative, mutations",0
Chemotherapeutic Agents for Inhibiting Protein Synthesis,"Pelletier, Jerry M",McGill University,Quebec,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; DRUG RESEARCH; CANCER,10/1/2011,2012-09-30,"Chemotherapeutic, Protein Synthesis, Inhibition",1
Blocking RA Metabolism: A safer approach to retinoid therapy in skin disease,"Petkovich, Martin","Queen's University (Kingston, Ontario)",Ontario,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,135557,0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",SKIN AND SUBCUTANEOUS TISSUS; METABOLISM AND NUTRITION; DRUG RESEARCH; BIOCHEMISTRY,4/1/2012,2013-03-31,"RA, metabolism, skin disease",15
Identification of Novel Compounds Inhibiting Brain Cancer Invasion,"Petrecca, Kevin",McGill University,Quebec,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,120775,0,1 yr 0 mth ,Cancer Research,BRAIN TUMORS THERAPY; NEOPLASMS; CANCER; DRUG RESEARCH,4/1/2011,2012-03-31,"Compounds, Brain Cancer, Invasion",2
Identification of a low molecular weight peptide of CD109 as an anti-scarring agent,"Philip, Anie",Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,150000,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,MUSCULO SKELETAL; CANCER THERAPY GENERAL; MOLECULAR BIOLOGY; CELL BIOLOGY,4/1/2010,2011-03-31,"peptide, CD109, anti-scarring",1
An Enzyme Inhibitor for Treating Type-2 Diabetes,"Pinto, Mario","Simon Fraser University (Burnaby, B.C.)",British Columbia,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,150000,0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; METABOLISM AND NUTRITION; METABOLISM/DIABETES; BIOCHEMISTRY,1/1/2009,2009-12-31,"enzyme, inhibitor, diabetes",2
L'evaluation du potentiel therapeutique in vivo d'une nouvelle famille d'aminosteroides comme agents anticancereux selectifs,"Poirier, Donald",Universite Laval,Quebec,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,149703,0,1 yr 0 mth ,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER THERAPY GENERAL; DRUG RESEARCH; CANCER,4/1/2010,2011-03-31,"aminosteroides, anticancereux, in vivo",0
