Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years,Primary_Institute,Research_Categories,Funding_Start,title_keywords,Patents,companies,companies_count,company_position,grant_id,researcher_id
"Petkovich, Martin","Queen's University (Kingston, Ontario)",Ontario,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Blocking RA Metabolism: A safer approach to retinoid therapy in skin disease,135557.0,0.0,1.0,"Nutrition, Metabolism and Diabetes",SKIN AND SUBCUTANEOUS TISSUS; METABOLISM AND NUTRITION; DRUG RESEARCH; BIOCHEMISTRY,4/1/2012,"RA, metabolism, skin disease",15.0,Opko Health inc.; Eirgen Pharma Ltd.,2.0,C-suite; Patent Inventor,15,156
"Petrecca, Kevin",McGill University,Quebec,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Identification of Novel Compounds Inhibiting Brain Cancer Invasion,120775.0,0.0,1.0,Cancer Research,BRAIN TUMORS THERAPY; NEOPLASMS; CANCER; DRUG RESEARCH,4/1/2011,"Compounds, Brain Cancer, Invasion",2.0,,0.0,,205,157
"Philip, Anie",Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Identification of a low molecular weight peptide of CD109 as an anti-scarring agent,150000.0,0.0,1.0,Musculoskeletal Health and Arthritis,MUSCULO SKELETAL; CANCER THERAPY GENERAL; MOLECULAR BIOLOGY; CELL BIOLOGY,4/1/2010,"peptide, CD109, anti-scarring",1.0,,0.0,,206,158
"Pinto, Mario","Simon Fraser University (Burnaby, B.C.)",British Columbia,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,An Enzyme Inhibitor for Treating Type-2 Diabetes,150000.0,0.0,1.0,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; METABOLISM AND NUTRITION; METABOLISM/DIABETES; BIOCHEMISTRY,1/1/2009,"enzyme, inhibitor, diabetes",2.0,,0.0,,207,159
"Poirier, Donald",Universite Laval,Quebec,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,L'evaluation du potentiel therapeutique in vivo d'une nouvelle famille d'aminosteroides comme agents anticancereux selectifs,149703.0,0.0,1.0,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER THERAPY GENERAL; DRUG RESEARCH; CANCER,4/1/2010,"aminosteroides, anticancereux, in vivo",0.0,,0.0,,208,160
"Poirier, Donald",Universite Laval,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,evaluation du potentiel therapeutique in vivo d'un nouvel inhibiteur de la 17beta-HSD3 e bloquer la croissance de tumeurs xenogreffees du cancer de la prostate,157880.0,0.0,1.0,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; PROSTATE AND BLADDER CANCER THERAPY; DRUG RESEARCH; CANCER,10/1/2012,"17beta-HSD3, inhibiteur, prostate",1.0,,0.0,,209,160
"Poirier, Donald",Universite Laval,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,evaluation du potentiel therapeutique in vivo d'un nouvel inhibiteur de la steroede sulfatase combinant des proprietes osteogenique et antiestrogenique pour le traitement des cancers du sein et de la prostate,159756.0,0.0,1.0,Cancer Research,BREAST CANCER THERAPY; OSTEOPOROSIS; CANCER; DRUG RESEARCH,4/1/2014,"steroide sulfatase, osteogenique, cancer",0.0,,0.0,,210,160
"Poirier, Donald",Universite Laval,Quebec,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Optimisation du potentiel therapeutique de derives aminosteroedes contre le cancer de l'ovaire,157700.0,2300.0,1.0,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER THERAPY GENERAL; DRUG RESEARCH; CANCER,4/1/2016,"aminosteroids, ovarian cancer, therapeutic potential",1.0,,0.0,,211,160
"Poirier, Donald",Universite Laval,Quebec,Project Grant,201709PJT,Commercialization,Demonstration de l'efficacite du premier inhibiteur irreversible et selectif de la  17beta-HSD1 pour le traitement des cancers du sein sensibles aux estrogenes,279226.0,0.0,2.0,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,4/1/2018,"17beta-HSD1, inhibitor, breast cancer",2.0,,0.0,,212,160
"Powell, William S",McGill University,Quebec,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Development of novel OXE receptor antagonists for asthma,146000.0,0.0,1.0,Circulatory and Respiratory Health,ASTHMA; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; RESPIRATION,7/1/2009,"OXE receptor, antagonists, asthma",0.0,,0.0,,213,161
"Powell, William S",McGill University,Quebec,Proof of Principle Program - Phase II,201309PP2,Proof of Principle,Development of novel OXE receptor antagonists for asthma,293133.0,0.0,1.0,Circulatory and Respiratory Health,ASTHMA; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; RESPIRATION,7/1/2009,"OXE receptor, antagonists, asthma",2.0,,0.0,,214,161
"Pratt, Christine M",University of Ottawa,Ontario,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,A-CD estrogens as alternatives to Estrogen-based hormone replacement therapy,156060.0,0.0,1.0,Gender and Health,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; ENDOCRINOLOGY; DRUG RESEARCH; HEALTH RESEARCH,10/1/2012,"A-CD estrogens, hormone replacement",1.0,,0.0,,215,162
"Prentki, Marc",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Validation of a glycerolipid/ free fatty acid cycling enzyme as a novel therapeutic target for type-2 diabetes,157925.0,0.0,1.0,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; METABOLISM AND NUTRITION; METABOLISM/DIABETES; DRUG RESEARCH,10/1/2011,"glycerolipid, fatty acid, enzyme",4.0,,0.0,,216,163
"Putnins, Edward E",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Development of Novel Polar MAO B Inhibitors for the Treatment of Epithelial Barrier Diseases,160000.0,0.0,1.0,Musculoskeletal Health and Arthritis,DENTAL DISEASE (INCL. ORAL BIOLOGY); DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DENTAL SCIENCE - Oral Biology; DRUG RESEARCH,10/1/2014,"MAO B, Inhibitors, Epithelial Barrier",1.0,,0.0,,217,164
"Qadura, Mohammad",Unity Health Toronto,Ontario,Project Grant,202109PJT,Commercialization,Artery Alert - Revolutionizing the Diagnosis of Peripheral Arterial Disease,428400.0,0.0,4.0,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Clinical and Translational Cardiovascular Sciences",4/1/2022,"artery, diagnosis, peripheral arterial disease",0.0,,0.0,,218,165
"Rak, Janusz",Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Monitoring progression of malignant tumors by detection of blood-borne oncogenic epidermal growth factor receptor circulating as cargo of tumor-derived microvesicles,150000.0,0.0,1.0,Cancer Research,CANCER THERAPY GENERAL; BRAIN TUMORS THERAPY; CANCER; CELL BIOLOGY,1/1/2009,"malignant tumors, blood-borne, epidermal growth factor receptor",4.0,,0.0,,219,166
"Reiner, Neil E",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,200810PP2,Proof of Principle,INDEL therapeutics for the treatment of infectious disease.,250000.0,0.0,1.0,Infection and Immunity,"INFECTIOUS AND PARASITIC; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; DRUG RESEARCH",1/1/2009,"INDEL, therapeutics, infectious disease",1.0,,0.0,,220,167
"Rennie, Paul S",University of British Columbia,British Columbia,"Proof of Principle - PA: Cancer Early Detection, Imaging/Trans Therapeutics",200904PCA,Proof of Principle,Androgen receptor inhibitors,150000.0,0.0,1.0,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; ENDOCRINOLOGY; CANCER; DRUG RESEARCH,7/1/2009,"Androgen receptor, inhibitors",10.0,,0.0,,221,168
"Reynolds, Steven C","Fraser Health Authority (Surrey, BC)",British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Phase 1 Trial of a novel transvenous phrenic nerve pacer for diaphragm activation in mechanically ventilated critically ill patients.,158464.0,1536.0,1.0,Circulatory and Respiratory Health,RESPIRATION; HEALTH RESEARCH,4/1/2013,"phrenic nerve, pacer, diaphragm",0.0,,0.0,,222,169
"Reynolds, Steven C","Fraser Health Authority (Surrey, BC)",British Columbia,Proof of Principle Program - Phase II,201409PP2,Proof of Principle,"Development of a novel, temporary, transcutaneously placed, transvenous phrenic nerve pacer for diaphragm activation in critically ill patients",268499.0,2000.0,1.0,Circulatory and Respiratory Health,RESPIRATION; HEALTH RESEARCH,4/1/2015,"phrenic nerve, transvenous, diaphragm",2.0,,0.0,,223,169
"Richter, Martin",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Matriptase Inhibitors as a Novel Class of Influenza Antivirals,143827.0,0.0,1.0,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; VIROLOGY; DRUG RESEARCH,4/1/2012,"Matriptase, Inhibitors, Influenza",2.0,,0.0,,224,170
"Riddell, Michael C","York University (Toronto, Ontario)",Ontario,Proof of Principle Program Phase I - Drug Development,201102PDD,Proof of Principle,Pharmaceutical intervention to decrease the threat of hypoglycemia in insulin-treated diabetics,160000.0,0.0,1.0,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; ENDOCRINOLOGY; METABOLISM/DIABETES,10/1/2011,"pharmaceutical, hypoglycemia, insulin",1.0,,0.0,,225,171
"Roberge, Michel",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Evaluation of the anticancer activity of a new autophagy-inhibitory drug,142989.0,0.0,1.0,Cancer Research,BREAST CANCER THERAPY; LUNG CANCER THERAPY; CANCER; BIOCHEMISTRY,4/1/2010,"autophagy, anticancer, inhibitor",0.0,,0.0,,226,172
"Roberge, Michel",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Preclinical Development of a novel M2 Channel Inhibitor for the Treatment and Prevention of Influenza,160000.0,0.0,1.0,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; VIROLOGY,4/1/2014,"M2 Channel, Inhibitor, Influenza",0.0,,0.0,,227,172
"Roberge, Michel",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Preclinical evaluation of a gentamicin analog as a treatment for genetic diseases and cancer due to a premature termination codon.,150059.0,0.0,1.0,Genetics,MULTIPLE DISEASE RELEVANCE; CANCER THERAPY GENERAL; CANCER; GENETICS,4/1/2016,"gentamicin, genetic diseases, cancer",2.0,,0.0,,228,172
"Rogers, Ian M",Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Cell therapy for the treatment of type 1 Diabetes,150000.0,0.0,1.0,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; METABOLISM/DIABETES,4/1/2010,"Cell, therapy, Diabetes",0.0,,0.0,,229,173
"Rogers, Ian M",Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,The Use of Multipotential Stem Cells for the Treatment of Peripheral Vascular Disease,160000.0,0.0,1.0,Circulatory and Respiratory Health,NONE OF THE ABOVE; CORONARY CIRCULATION (INCL. INSUFFICIENCY); NOT CLASSIFIED; CARDIOVASCULAR,4/1/2011,"Stem cells, Vascular disease, Peripheral",1.0,,0.0,,230,173
"Rosenberg, Lawrence",McGill University,Quebec,Proof of Principle Program - Phase II,201209PP2,Proof of Principle,A Novel Regenerative Drug Therapy to Restore Natural Insulin Secretion in Diabetes Mellitus,122670.0,0.0,1.0,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; METABOLISM/DIABETES,4/1/2013,"Regenerative, Insulin, Diabetes",1.0,,0.0,,231,174
"Ross, Ruth A",University of Toronto,Ontario,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Development and Testing of Small Molecule Allosteric Modulators for the Treatment of Pain.,157999.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",MULTIPLE DISEASE RELEVANCE; ARTHRITIS/OSTEOARTHRITIS; DRUG RESEARCH; AGING,4/1/2013,"Small Molecule, Allosteric Modulators, Pain",0.0,,0.0,,232,175
"Ross, Ruth A",University of Toronto,Ontario,Proof of Principle Program - Phase II,201409PP2,Proof of Principle,Development and Commercialisation of Allosteric Modulators for the Treatment of Pain,189920.0,0.0,1.0,Musculoskeletal Health and Arthritis,MULTIPLE DISEASE RELEVANCE; MUSCULO SKELETAL,4/1/2015,"Allosteric, Modulators, Pain",1.0,,0.0,,233,175
"Ross, Ruth A",University of Toronto,Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Development and therapeutic validation of GPR55 modulators for the treatment of osteoclast-mediated disorders,155600.0,0.0,1.0,Musculoskeletal Health and Arthritis,"OSTEOPOROSIS; BONE CANCER; MUSCLE, BONE, OR JOINT; CANCER",4/1/2016,"GPR55, modulators, osteoclast",1.0,,0.0,,234,175
"Sadar, Marianne D",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201102PP2,Proof of Principle,Translational Development Program For Analogues of EPI-001 (PNG01-185) Compounds For the Treatment of Advanced Prostate Cancer,300000.0,0.0,1.0,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; PROSTATE AND BLADDER CANCER THERAPY; CANCER; DRUG RESEARCH,10/1/2011,"EPI-001, Prostate Cancer, Analogues",7.0,Essa Pharma Inc.,1.0,C-suite,6,176
"Sadar, Marianne D",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Preclinical evaluation of sintokamides as agents for treatment of advanced prostate cancer,150000.0,0.0,1.0,Cancer Research,PROSTATE AND BLADDER CANCER; PROSTATE AND BLADDER CANCER THERAPY; CANCER; ENDOCRINOLOGY,4/1/2010,"sintokamides, prostate cancer, preclinical",0.0,,0.0,,235,176
"Salcudean, Septimiu E",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Real-time Ultrasound Quantitative Elastography of the Prostate,143074.0,10850.0,1.0,Cancer Research,PROSTATE AND BLADDER CANCER; IMAGING; CANCER,4/1/2013,"Ultrasound, Elastography, Prostate",5.0,,0.0,,236,177
"Sanche, Leon",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Developpement de composes antineoplasiques radiosensibilisants achemines par nano transporteur liposomal.,159149.0,0.0,1.0,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; BRAIN TUMORS THERAPY; CANCER; DRUG RESEARCH,10/1/2012,"antineoplasiques, radiosensibilisants, liposomal",0.0,,0.0,,237,178
"Santamaria, Pere",University of Calgary,Alberta,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Evaluation of Nanoparticles for the Treatment of Autoimmune Conditions,150000.0,0.0,1.0,Infection and Immunity,ENDOCRINOLOGY; DIABETES MELLITUS; IMMUNOLOGY-TRANSPLANTATION; METABOLISM/DIABETES,1/1/2009,"Nanoparticles, Autoimmune",3.0,,0.0,,238,179
"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Cancer vaccines targeting the ganglioside tumor-marker GD2,157600.0,0.0,1.0,Cancer Research,CANCER THERAPY GENERAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER; IMMUNOLOGY-TRANSPLANTATION,10/1/2012,"cancer, vaccines, GD2",2.0,Realist Pharma Inc.,1.0,C-suite,18,180
"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase II,200910PP2,Proof of Principle,Neuroprotection Rescue Strategies for Retinal Degeneration Diseases,250000.0,0.0,1.0,Aging,DISEASES AFFECTING SPEECH/VISION/HEARING; AGING; VISION,4/1/2010,"Neuroprotection, Retinal, Degeneration",3.0,,0.0,,239,180
"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase II,201509PP2,Proof of Principle,Therapy for motor neuron degeneration diseases targeting the opposing ligand-dependent signals of two TrkC receptor isoforms,300000.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",AMYOTROPHIC LATERAL SCLEROSIS (ALS); DISEASES AFFECTING SPEECH/VISION/HEARING; NERVOUS SYSTEM; DRUG RESEARCH,4/1/2016,"motor neuron, TrkC, receptor",5.0,,0.0,,240,180
"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Project Grant - PA: Cancer Research - Cancer Prevention,202010PXX,Commercialization,Innovation of Proprietary Liquid Biopsy Assays for Diagnosis of Early Stage Ovarian Cancer,100000.0,0.0,1.0,Cancer Research,"Commercialization-Technology Transfer; Cancer-Cancer Progression and Metastasis; Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; glycomics. We quantify gangliosides which are glycolipids with a glycan and a lipid component",10/1/2021,"Liquid biopsy, ovarian cancer, diagnosis",0.0,,0.0,,241,180
"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Project Grant,202104PJT,Commercialization,Innovation of Proprietary Liquid Biopsy Assays for Diagnosis of Early Stage Ovarian Cancer,650251.0,0.0,2.0,Cancer Research,"Commercialization-Technology Transfer; Cancer-Cancer Progression and Metastasis; Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; glycomics. We quantify gangliosides which are glycolipids with a glycan and a lipid component",10/1/2021,"Liquid biopsy, ovarian cancer, diagnosis",5.0,,0.0,,242,180
"Sarunic, Marinko V","Simon Fraser University (Burnaby, B.C.)",British Columbia,Project Grant,201809PJT,Commercialization,Sensorless Adaptive Optics Optical Coherence Tomography for Clinical Ophthalmology,493425.0,0.0,3.0,Aging,Biomedical Engineering-Biomedical Imaging,4/1/2019,"Adaptive optics, Optical coherence tomography, Ophthalmology",3.0,,0.0,,243,181
"Schang, Luis M",University of Alberta,Alberta,Proof of Principle Program Phase I - Drug Development,200904PDD,Proof of Principle,Novel Inhibitors of Viral Infectivity,150000.0,0.0,1.0,Infection and Immunity,VIRAL; LIVER DISEASE; VIROLOGY; GASTROINTESTINAL (LIVER),7/1/2009,"Viral, Inhibitors, Infectivity",0.0,,0.0,,244,182
"Schimmer, Aaron D",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Repositioning tigecycline for the treatment of leukemia,156750.0,0.0,1.0,Cancer Research,LEUKAEMIAS; CANCER THERAPY GENERAL; CANCER; CELL BIOLOGY,4/1/2011,"tigecycline, leukemia, repositioning",1.0,,0.0,,245,183
"Schrader, John W",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Preclinical evaluation of a truly human monoclonal antibody for the therapy of infections with a broad spectrum of influenza viruses,160000.0,0.0,1.0,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; IMMUNOLOGY-TRANSPLANTATION; DRUG RESEARCH,4/1/2011,"monoclonal antibody, influenza viruses, infections",2.0,,0.0,,246,184
"Schweizer, Frank",University of Manitoba,Manitoba,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Preclinical evaluation of antimicrobial ultrashort aminoglycoside- peptide conjugates,150000.0,0.0,1.0,Infection and Immunity,INFECTIOUS AND PARASITIC; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; HEALTH RESEARCH,1/1/2009,"antimicrobial, aminoglycoside, peptide",5.0,Polyamyna Nanotech Inc.,1.0,C-suite,16,185
"Schweizer, Frank",University of Manitoba,Manitoba,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Optimization and preclinical studies on amphiphilic aminoglycoside antimicrobials (AAAs),160000.0,0.0,1.0,Infection and Immunity,INFECTIOUS AND PARASITIC; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; HEALTH RESEARCH; DRUG RESEARCH,4/1/2012,"amphiphilic, aminoglycoside, antimicrobials",4.0,Polyamyna Nanotech Inc.,1.0,C-suite,17,185
"Schweizer, Frank",University of Manitoba,Manitoba,Project Grant - Priority Announcement: Infection and Immunity,201909PJ4,Commercialization,Rescuing beta-lactam antibiotic/beta-lactamase inhibitor combinations from resistance against multidrug-resistant Gram-negative pathogens,100000.0,0.0,1.0,Infection and Immunity,"Immunology and Infection-Antimicrobial Drug Resistance, Drug Discovery and Therapeutics (including vaccines)",3/1/2020,"beta-lactam, beta-lactamase, antibiotic",0.0,,0.0,,247,185
"Schweizer, Frank",University of Manitoba,Manitoba,Project Grant,202003PJT,Commercialization,Rescuing beta-lactam antibiotic/beta-lactamase inhibitor combinations from resistance against multidrug-resistant Gram-negative pathogens,654075.0,0.0,4.0,Infection and Immunity,"Immunology and Infection-Antimicrobial Drug Resistance, Drug Discovery and Therapeutics (including vaccines)",3/1/2020,"beta-lactam, beta-lactamase, antibiotic",3.0,,0.0,,248,185
"Seidah, Nabil G",Institut de recherches cliniques de Montreal,Quebec,Proof of Principle Program - Phase II,201209PP2,Proof of Principle,Validation of PCSK9 single domain antibodies in cholesterol regulation in humanized mice,186128.0,0.0,1.0,"Nutrition, Metabolism and Diabetes",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; METABOLISM AND NUTRITION; CARDIOVASCULAR; METABOLISM/DIABETES,4/1/2013,"PCSK9, antibodies, cholesterol",2.0,,0.0,,249,186
"Shapiro, James",University of Alberta,Alberta,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Preclinical Development of Novel Biomaterials for the Creation of a Deviceless Pre-Vascularized Site for Islet and Cellular Transplantation,157126.0,0.0,1.0,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; ENDOCRINOLOGY; IMMUNOLOGY-TRANSPLANTATION; METABOLISM/DIABETES,4/1/2016,"Biomaterials, Prevascularized site, Transplantation",0.0,,0.0,,250,187
"Sheardown, Heather D",McMaster University,Ontario,Project Grant,202109PJT,Commercialization,A novel eye drop platform to improve ocular therapies,531674.0,0.0,3.0,Aging,"Commercialization-Technology Transfer; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",4/1/2022,"eye drop, ocular, therapies",0.0,,0.0,,251,188
"Sheppard, Donald C",Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Recombinant hydrolases as anti-biofilm therapies for Aspergillus infections,151459.0,0.0,1.0,Infection and Immunity,INFECTIOUS AND PARASITIC; PNEUMONIA; BACTERIOLOGY; IMMUNOLOGY-TRANSPLANTATION,10/1/2015,"recombinant hydrolases, anti-biofilm, Aspergillus",1.0,,0.0,,252,189
"Sherar, Michael D",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Treatment Planning and Guidance Software Platform for Minimally Invasive Ablation Therapies,145925.0,10000.0,1.0,Cancer Research,CANCER THERAPY GENERAL; BIOPHYSICS; CANCER,4/1/2013,"Ablation, Guidance, Software",1.0,,0.0,,253,190
"Shlien, Adam",Hospital for Sick Children (Toronto),Ontario,Project Grant,202303PJT,Commercialization,Development of an RNA-based test for diagnosing and monitoring bone and soft tissue cancers,240976.0,0.0,1.0,Cancer Research,Cancer-Cancer Progression and Metastasis; Commercialization-Technology Transfer; Artificial Intelligence-Machine Learning,10/1/2023,"RNA, diagnosis, cancers",1.0,,0.0,,254,191
"Shoichet, Molly S",University of Toronto,Ontario,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Commercial Development of Bioengineered Therapeutic Strategy for Spinal Cord Injury,159996.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",SPINAL CORD DISEASE; NERVOUS SYSTEM,10/1/2010,"Bioengineered, Therapeutic, Spinal Cord Injury",2.0,,0.0,,255,192
"Sibille, Etienne",Centre for Addiction and Mental Health (Toronto),Ontario,Project Grant,201803PJT,Commercialization,Novel therapeutic targeting for cognitive deficits in depression and aging,550800.0,0.0,3.0,"Neurosciences, Mental Health and Addiction",Mental Health and Behavioural Conditions-Mental Health and Addiction; Aging-Aging Process and Biological Determinants of Aging,10/1/2018,"therapeutic, cognitive deficits, depression",4.0,,0.0,,256,193
"Sidhu, Sachdev S",University of Toronto,Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Highly specific therapeutic-grade anti-FGFR1 antibodies with anti-proliferative effects,160000.0,0.0,1.0,Cancer Research,CANCER THERAPY GENERAL; MOLECULAR BIOLOGY; CANCER,10/1/2015,"anti-FGFR1, antibodies, anti-proliferative",0.0,,0.0,,257,194
"Sinton, David A",University of Toronto,Ontario,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,High Quality Sperm Selection for Assisted Reproductive Technology,159904.0,0.0,1.0,"Human Development, Child and Youth Health",INFERTILITY MALE; INFERTILITY FEMALE; REPRODUCTION/PREGNANCY,4/1/2015,"Sperm, Selection, Reproductive",4.0,,0.0,,258,195
"Sipione, Simonetta",University of Alberta,Alberta,Proof of Principle Program Phase I - Drug Development,201102PDD,Proof of Principle,Development of ganglioside-based therapies for Huntington's disease,159196.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",HUNTINGTON'S DISEASE; MULTIPLE DISEASE RELEVANCE; NERVOUS SYSTEM; CELL BIOLOGY,10/1/2011,"ganglioside, Huntington's disease, therapies",1.0,,0.0,,259,196
"Slim, Rima",McGill University,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,NLRP7-based diagnosis of female reproduction wastage,160000.0,0.0,1.0,Genetics,PREGNANCY/BIRTH; PERINATAL; GENETICS; REPRODUCTION/PREGNANCY,10/1/2012,"NLRP7, diagnosis, female reproduction",0.0,,0.0,,260,197
"Snutch, Terrance P",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Identification of SLC26A11 blockers to prevent neuronal swelling and cell death,160000.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",CNS ORGANIC; MULTIPLE DISEASE RELEVANCE; DRUG RESEARCH; NERVOUS SYSTEM,4/1/2016,"SLC26A11, blockers, neuronal swelling",0.0,,0.0,,261,198
"Sonenberg, Nahum",McGill University,Quebec,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Identification of novel compounds inhibiting viral infections,150000.0,0.0,1.0,Infection and Immunity,VIRAL; MULTIPLE DISEASE RELEVANCE; VIROLOGY; MOLECULAR BIOLOGY,1/1/2009,"compounds, inhibiting, viral infections",0.0,,0.0,,262,199
"St-Pierre, Yves","INRS - (Quebec, QC)",Quebec,Project Grant,201809PJT,Commercialization,GAL-7-specific nanobodies for treatment of triple-negative breast cancer,371024.0,0.0,3.0,Cancer Research,Commercialization-Intellectual Property,4/1/2019,"GAL-7, nanobodies, breast cancer",3.0,,0.0,,263,200
