Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years,Primary_Institute,Research_Categories,Funding_Start,title_keywords,Patents,companies,companies_count,company_position,grant_id,researcher_id
"Braverman, Nancy E",Research Institute of the McGill University Health Centre,Quebec,Project Grant,202209PJT,Commercialization,Enabling commercialization of retinal gene therapy for Zellweger Spectrum Disorder,1503225.0,0.0,5.0,Genetics,"Commercialization-Technology Transfer; Neurosciences-Sensory Systems (including visual, auditory and pain); Genetic disease",4/1/2023,"retinal gene therapy, Zellweger Spectrum Disorder",0.0,,0.0,,54,29
"Brinkman, Ryan",University of British Columbia,British Columbia,Project Grant,201909PJT,Commercialization,Machine Learning for Flow Cytometry Clinical Data and Trial Analysis,317475.0,0.0,1.833333333,Infection and Immunity,Commercialization-Technology Transfer; Methods Development and Modelling-Quantitative Methods Development for Health Research,4/1/2020,"Machine Learning, Flow Cytometry, Clinical Data",0.0,,0.0,,55,30
"Brodt, Pnina",Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase II,201502PP2,Proof of Principle,An IGF-Trap for the treatment of breast cancer: consolidation of the pre-clinical profile and commercialization.,299934.0,0.0,1.0,Cancer Research,BREAST CANCER; BREAST CANCER THERAPY; CANCER; DRUG RESEARCH,10/1/2015,"IGF, breast cancer, trap",1.0,,0.0,,56,31
"Brouillette, Martin",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Device for recanalization of peripheral and coronary arteries,155180.0,0.0,1.0,Circulatory and Respiratory Health,CORONARY CIRCULATION (INCL. INSUFFICIENCY); CARDIOLOGY; CARDIOVASCULAR,10/1/2013,"recanalization, arteries, device",2.0,Soundbite Medical Solutions Inc.,1.0,C-suite,22,32
"Brown, Jeremy A",Dalhousie University (Nova Scotia),Nova Scotia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,A High-Resolution Ultrasonic Endoscope for the Auditory System,108000.0,10600.0,1.0,Aging,DEAFNESS; DISEASES AFFECTING SPEECH/VISION/HEARING; IMAGING; HEARING,10/1/2010,"Ultrasonic, Endoscope, Auditory",1.0,,0.0,,57,33
"Brukner, Ivan",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,A new qPCR method for the assessment of total/relative bacterial load from stool samples: C difficile show case,131513.0,0.0,1.0,Infection and Immunity,INFECTIOUS AND PARASITIC; MULTIDISCIPLINARY; BACTERIOLOGY; MOLECULAR BIOLOGY,10/1/2015,"qPCR, bacterial load, stool samples",0.0,,0.0,,58,34
"Burns, David H",McGill University,Quebec,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Smart Ultrasonic Hydrogel Sensors for Point of Care Analysis,150000.0,0.0,1.0,Circulatory and Respiratory Health,null,1/1/2009,"Ultrasonic, Hydrogel, Sensors",1.0,,0.0,,59,35
"Burt, Helen M",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Intravesical Taxanes,157412.0,0.0,1.0,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; DRUG RESEARCH,4/1/2012,"Intravesical, Taxanes",0.0,,0.0,,60,36
"Burt, Helen M",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201302PP2,Proof of Principle,Intravesical Docetaxel Formulation for the Treatment of Ta/T1 Stage Bladder Cancer,294600.0,0.0,1.0,Cancer Research,"PROSTATE AND BLADDER CANCER THERAPY; CANCER; RENAL FUNCTION, NEPHROLOGY, UROLOGY",10/1/2013,"Docetaxel, Bladder Cancer, Intravesical",2.0,,0.0,,61,36
"C.-Gaudreault, Rene",Universite Laval,Quebec,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Optimization and Validation of Highly Cytocidal Substituted Phenyl Imidazolidin-2-one as Antimicrotubule Agents for Cancer Chemotherapy,160000.0,0.0,1.0,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER THERAPY GENERAL; DRUG RESEARCH; CANCER,10/1/2011,"Cytocidal, Phenyl Imidazolidin-2-one, Antimicrotubule",0.0,,0.0,,62,37
"C.-Gaudreault, Rene",Universite Laval,Quebec,Project Grant,201709PJT,Commercialization,Validation of Highly Potent Substituted Phenyl Alkylureas as Antipsoriatic Agents,497250.0,0.0,3.0,Cancer Research,"Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Action, Toxicology and Metabolism; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",4/1/2018,"Potent, Phenyl Alkylureas, Antipsoriatic",0.0,,0.0,,63,37
"Cashman, Neil R",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201209PP2,Proof of Principle,A defined cyclic peptide epitope specific to Abeta oligomers:   Active and passive vaccination in mouse models of Alzheimer's disease,300000.0,0.0,1.0,Aging,ALZHEIMER'S DISEASE; AGING; NERVOUS SYSTEM,4/1/2013,"cyclic peptide, Abeta oligomers, vaccination",17.0,,0.0,,64,38
"Chan, Tak Hang",McGill University,Quebec,Proof of Principle Program - Phase II,201109PP2,Proof of Principle,Evaluation of novel flavonoids in models of hematological cancer,300000.0,0.0,1.0,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; DRUG RESEARCH; CANCER,4/1/2012,"flavonoids, hematological cancer, models",4.0,,0.0,,65,39
"Charron, Thierry",CIUSSS du Nord-de-l'Ile-de Montreal - Hepital Sacre Coeur,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Innovative device to reduce myocardial infarct size and no-reflow : Proof of concepts in humans,159300.0,0.0,1.0,Circulatory and Respiratory Health,MYOCARDIAL INFARCTION; CARDIOLOGY; CARDIOVASCULAR,4/1/2014,"myocardial infarct, no-reflow, device",2.0,,0.0,,66,40
"Chauhan, Vijay S",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Rotor Mapping in Human Atrial Fibrillation,149015.0,10634.0,1.0,Circulatory and Respiratory Health,ARRHYTHMIAS; CARDIOLOGY; CARDIOVASCULAR; HEALTH RESEARCH,4/1/2015,"Rotor, Mapping, Atrial Fibrillation",1.0,,0.0,,67,41
"Chemtob, Sylvain","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Proof of Principle Program - Phase II,201003PP2,Proof of Principle,IL-1  Allosteramers to treat diabetes and its complications,300000.0,0.0,1.0,"Nutrition, Metabolism and Diabetes",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; METABOLISM/DIABETES; VISION,10/1/2010,"IL-1, Allosteramers, diabetes",1.0,,0.0,,68,42
"Chen, Yen-I",Research Institute of the McGill University Health Centre,Quebec,Project Grant,202309PJT,Commercialization,A novel through-the-scope exchangeable double balloon catheter to guide endoscopic bypass:  a practice-changing technology in the management of malignant gastric outlet obstruction,451350.0,0.0,2.0,"Nutrition, Metabolism and Diabetes",null,3/1/2024,"double balloon, endoscopic, gastric outlet obstruction",0.0,,0.0,,69,43
