Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Funding_Start,title_keywords,patents,companies,companies_count,company_position,grant_id,researcher_id
"Affar, El Bachir",CIUSSS Est-de-l'Ile-de- Montreal-Maisonneuve Rosemont,Quebec,Operating Grant,201103MOP,Biochemistry & Molecular Biology - B,Transcriptional regulation by a novel deubiquitinase multi-protein complex,"$637,463 ",$0 ,5 yrs 0 mth ,Genetics,2011/10/01,"deubiquitinase, transcriptional regulation, protein complex",0,zN/A,0,zN/A,89,20
"Affar, El Bachir",CIUSSS Est-de-l'Ile-de- Montreal-Maisonneuve Rosemont,Quebec,"Catalyst Grant - CEEHRC Epigenetics, Environment & Health",201111CAP,"Catalyst Grant: CEEHRC Epigenetics, Environment and Health",Characterization of novel epigenetic marks,"$100,000 ",$0 ,1 yr 0 mth ,Genetics,3/1/2012,"epigenetic, marks, characterization",0,zN/A,0,zN/A,90,20
"Affar, El Bachir",CIUSSS Est-de-l'Ile-de- Montreal-Maisonneuve Rosemont,Quebec,Project Grant,201803PJT,Biochemistry & Molecular Biology - B,Novel ubiquitin signaling pathways regulating ASXL family of transcription co-factors,"$1,028,926 ",$0 ,5 yrs 0 mth ,Genetics,2018/10/01,"ubiquitin, signaling, transcription co-factors",0,zN/A,0,zN/A,91,20
"Affar, El Bachir",CIUSSS Est-de-l'Ile-de- Montreal-Maisonneuve Rosemont,Quebec,Project Grant,202104PJT,Cell Biology - Molecular/Fundamental,Novel regulatory mechanisms of the mammalian nuclear proteasome through liquid-liquid phase separation,"$952,426 ",$0 ,5 yrs 0 mth ,Genetics,2021/10/01,"nuclear proteasome, phase separation, regulation",0,zN/A,0,zN/A,92,20
"Afilalo, Jonathan",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Operating Grant,201203MOP,Clinical Investigation - D: Cardiovascular Systems,Measurement of Frailty to Identify High-Risk Elderly Patients Referred for Surgical and Transcatheter Aortic Valve Replacement,"$360,219 ",$0 ,4 yrs 0 mth ,Circulatory and Respiratory Health,2012/10/01,"Frailty, Elderly, Aortic Valve",0,zN/A,0,zN/A,93,21
"Afilalo, Jonathan",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Project Grant,201909PJT,Clinical Investigation - D: Cardiovascular Systems,Geriatric Intervention for Frail Heart Failure patients: The GIF-HF Trial,"$428,400 ",$0 ,4 yrs 0 mth ,Circulatory and Respiratory Health,2020/04/01,"Geriatric, Heart Failure, Intervention",0,zN/A,0,zN/A,94,21
"Afilalo, Jonathan",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Op Grant: Emerging COVID-19 Research Gaps & Priorities - Post COVID-19 condition,202104GA4,Operating Grant: Emerging COVID-19 Research Gaps & Priorities - Post COVID-19 condition,Impact of Frailty and Sarcopenia on Post-COVID Recovery,"$470,179 ",$0 ,1 yr 0 mth ,Aging,6/1/2021,"Frailty, Sarcopenia, Post-COVID",0,zN/A,0,zN/A,95,21
"Afilalo, Jonathan",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Project Grant,202209PJT,Clinical Investigation - D: Cardiovascular Systems,Opportunistic Biomarkers of Frailty in Acute Cardiac Care,"$587,137 ",$0 ,3 yrs 0 mth ,Circulatory and Respiratory Health,2023/04/01,"Biomarkers, Frailty, Cardiac",0,zN/A,0,zN/A,96,21
"Agarwal, Sri Mahavir",Centre for Addiction and Mental Health (Toronto),Ontario,Project Grant,202104PJT,Behavioural Sciences - B-2,Metformin for Antipsychotic-induced Weight Gain in Adults with Intellectual Disability Study: a Double-Blind Randomized Control Trial,"$761,175 ",$0 ,4 yrs 6 mths ,"Neurosciences, Mental Health and Addiction",2021/10/01,"Metformin, Antipsychotic, Weight Gain",0,zN/A,0,zN/A,97,22
"Agharazii, Mohsen",Universite Laval,Quebec,Project Grant,201903PJT,Clinical Investigation - D: Cardiovascular Systems,Arterial stiffness gradient as a new index of vascular aging: impact of blood pressure lowering medication,"$378,676 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2019/10/01,"arterial stiffness, vascular aging, blood pressure",0,zN/A,0,zN/A,98,23
