Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External_Funding,External_Funding_Partner,Term_Years_Months
"Perlman, Christopher M; Bieling, Peter J",University of Waterloo (Ontario),Ontario,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,EUREKA! An Electronic Decision Aid for Empowering Individuals with Concurrent Mental Health and Substance Use Conditions,"$197,369",$0,,,2 yrs 0 mth 
"Kairy, Dahlia",Université de Montréal,Quebec,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,Optimizing a home-based virtual reality exercise program for chronic stroke patients: A telerehabilitation approach,"$197,481",$0,,,2 yrs 0 mth 
"Gupta, Samir",Unity Health Toronto,Ontario,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,"A Novel Asthma eHealth Application for Self-Management, Improved Health Literacy, and Shared-Decision Making","$197,559",$0,,,2 yrs 0 mth 
"Sadatsafavi, Mohsen; Sutherland, Janet",University of British Columbia,British Columbia,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,"Development, validation, and dissemination of an individualized prediction tool for acute exacerbations of chronic obstructive pulmonary disease","$198,305",$0,,,2 yrs 0 mth 
"Martel, Anne L","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Operating Grant,201103MOP,Medical Physics & Imaging,Automatic Motion Correction for Dynamic Contrast Enhanced MRI,"$198,878",$0,,,3 yrs 0 mth 
"Ferreira, Vitor H; Cypel, Marcelo; Feld, Jordan J; Humar, Atul; Kumar, Deepali",University Health Network (Toronto),Ontario,Ca. Gr.: Biomedical Res. for HIV/AIDS/STBBI - Next-generation prev. technologies,202410BH4,Catalyst Grant : Biomedical Research for HIV/AIDS and STBBI,SAFE LUNG: Short-course Antiviral and Focused Exposure to UV light in LUNG transplantation to prevent transmission of hepatitis B virus from donor organs.,"$199,065",$0,,,1 yr 0 mth 
"Reid, Robert D",Ottawa Heart Institute Research Corporation (Ontario),Ontario,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,E-health intervention for cardiac rehabilitation: Pilot implementation and feasibility assessment,"$199,091",$0,,,2 yrs 0 mth 
"Gagnon, Marie-Pierre",Université Laval,Quebec,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,"Personnaliser CONCERTO: L'expérience patient optimisée pour des soins intégrés, coordonnés et efficients","$199,329",$0,,,2 yrs 0 mth 
"Price, Morgan Thomas M",University of Victoria (British Columbia),British Columbia,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,Focus:  Engaging patients with chronic pain to use their character strengths to improve quality of life through a tailored mHealth intervention.,"$199,427",$0,,,2 yrs 0 mth 
"Agarwal, Gina (Ragini)",McMaster University,Ontario,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,Developing a Community Paramedicine @Home myCarePlan (myCP) app for frequent users of emergency services: Empowering clients in using appropriate healthcare resources,"$199,494",$0,,,2 yrs 0 mth 
"Li, Yingfu; Wolday, Dawit",McMaster University,Ontario,Ca. Gr.: Biomedical Res. for HIV/AIDS/STBBI-Next-gen. testing/urveillance techn.,202410BH5,Catalyst Grant : Biomedical Research for HIV/AIDS and STBBI,Development of a general point-of-care diagnostic platform for sexually transmitted infections using high-affinity aptamers,"$199,800",$0,,,1 yr 0 mth 
"Seto, Emily",University of Toronto,Ontario,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,Development of a telemonitoring app for management of patients with multiple chronic conditions within an integrated care model,"$199,800",$0,,,2 yrs 0 mth 
"McClarty, Leigh M; Becker, Marissa; Bhattacharjee, Parinita; Shaw, Souradet Y",University of Manitoba,Manitoba,Ca. Gr.: Biomedical Res. for HIV/AIDS/STBBI-Next-gen. testing/urveillance techn.,202410BH5,Catalyst Grant : Biomedical Research for HIV/AIDS and STBBI,"Expanded Polling Booth Surveys as innovative surveillance tools to detect and monitor HIV and STBBI among key populations in Nairobi County, Kenya","$199,803",$0,,,1 yr 0 mth 
"Amed, Shazhan",University of British Columbia,British Columbia,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,The Live 5-2-1-0 eHealth App - Supporting health professionals and educators to raise a healthier generation of kids,"$199,870",$0,,,2 yrs 0 mth 
"Légaré, France",Université Laval,Quebec,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,Analytical mobile application to support shared decision making for pregnant women,"$199,888",$0,,,2 yrs 0 mth 
