Project_Title,NIH_Spending_Categorization,Public_Health_Relevance,Administering_IC,Project_Number,Type,Activity,IC,Support_Year,Suffix,Project_Start_Date,Project_End_Date,Study_Section,Subproject_Number,Name,Other_PI_or_Project_Leaders,Congressional_District,Primary_Institute,Instition_Paid,Province,Organization_Type,ARRA_Indicator,Funding_Start_Date,Budget_End_Date,Post_Award_Action_Type,CFDA_Code,Funding_Mechanism,Fiscal_Year,Total_Cost,Total_Cost_Sub_Projects,Funding_IC,Direct_Cost_IC,Indirect_Cost_IC,NIH_COVID_19_Response,Total_Cost_IC,title_keywords,patents,companies,companies_count
Regulation of Na absorption by NHE3 in the intestine,Diabetes; Digestive Diseases," Diarrhea is a common cause of death in developing countries and the second most common cause of infant deaths worldwide. Secretory diarrhea occurs when there is increased secretion, decreased absorption, or both so that there is a net loss of electrolytes and fluid. Na+/H+ exchanger type 3 (NHE3) present in the apical membrane of the small intestinal and colonic epithelia plays a major role in Na+ and fluid absorption. NHE3 is often targeted in many diarrheal diseases and the mechanisms of the inhibition of NHE3 have widely been studied. However, it is important to realize that a better understanding of biological factors and mechanisms activating NHE3 should aid the development of improved therapeutic modalities to counteract diarrheal diseases. The main objective of this application is to continue our investigation to understand the molecular mechanisms of NHE3 activation.   
   
      

",NIDDK,2R01DK061418-10,2,R01,DK,10,,2003-06-01,2017-08-31,Special Emphasis Panel[ZRG1 DKUS-C (03)],,"YUN, CHANGHYON CHRIS",Not Applicable,5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2012-09-01,2017-08-31,,847.0,Non-SBIR/STTR,2012,2075581.0,,NIDDK,217500.0,121800.0,,339300.0,"Na absorption, NHE3, intestine",0,0,0
Small Molecule Therapeutics for Sickle Cell Anemia,Biotechnology; Hematology; Orphan Drug; Rare Diseases; Sickle Cell Disease,"Project Narrative
Sickle Cell Disease (SCD) is a common genetic disorder that affects approximately 100,000 people of African
heritage in the US, and more than 4 million worldwide. This project will use a novel method to identify
compounds that prevent red blood cell sickling. Our overall goal is to identify new anti-sickling agents suitable
for advancement as experimental treatments for SCD.",NHLBI,1R61HL163743-01A1,1,R61,HL,1,A1,2023-02-15,2026-01-31,Special Emphasis Panel[ZHL1 CSR-F (O1)],,"ARCHER, DAVID R",Not Applicable,5,PEDIATRICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2023-02-15,2025-01-31,,839.0,Non-SBIR/STTR,2023,1036752.0,,NHLBI,349999.0,197200.0,,547199.0,"Small Molecule, Sickle Cell, Anemia",1,"Children's Healthcare of Atlanta, Inc.",1
The molecular mechanisms of intestinal homeostasis.,Biotechnology; Complementary and Alternative Medicine; Digestive Diseases,"
Project narrative
The proposed research is relevant to public health because the discovery that probiotic bacteria-induced
cellular generation of ROS act as transducers of bacterial signals into host gene regulatory events that have
positive influences on health and disease will be the foundation for the development of novel therapeutic
treatments for intestinal disorders. Furthermore, these investigations will establish a mechanistic explanation
for disease conditions associated with dysbiosis between the microbiota and the host. These investigations are
in accordance with the overall mission of the NIH because they directly relate to the prevention or treatment of
intestinal diseases.",NIDDK,1R01DK098391-01A1,1,R01,DK,1,A1,2014-01-20,2018-12-31,Gastrointestinal Mucosal Pathobiology Study Section[GMPB],,"JONES, RHEINALLT MELFYN",Not Applicable,5,PATHOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2014-01-20,2018-12-31,,847.0,Non-SBIR/STTR,2014,1352328.0,,NIDDK,217500.0,116928.0,,334428.0,"molecular, intestinal, homeostasis",0,0,0
Wild-type nerve grafting promotes reinnervation of SOD1 muscle,ALS; Brain Disorders; Neurodegenerative; Neurosciences; Rare Diseases,"In preliminary studies, we found that Schwann cells that normally provide support for the motor terminal disappear after denervation of muscles in the superoxide dismutase 1 (SOD1) mouse model of motor neuron disease (MND). Preliminary studies also show that grafts of wildtype nerve markedly improve reinnervation of MND muscles and that the reinnervation persists at long intervals. The goals of the proposed studies are to determine the scope of these long term effects, to learn whether wildtype nerve grafts can improve muscle performance during the natural disease course, to learn which graft components are responsible for effects, to learn whether SOD1 Schwann cells undergo cell death after denervation and to determine the mode of cell death.",NINDS,1R21NS079948-01A1,1,R21,NS,1,A1,2013-02-01,2016-01-31,"Neurodifferentiation, Plasticity, Regeneration and Rhythmicity Study Section[NDPR]",,"PINTER, MARTIN J",Not Applicable,5,PHYSIOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2013-02-01,2016-01-31,,853.0,Non-SBIR/STTR,2013,427050.0,,NINDS,150000.0,84000.0,,234000.0,"nerve grafting, reinnervation, SOD1",0,0,0
Developing statistical analysis and prediction tools for continuous glucose monitoring (CGM) use in hospitalized patients with diabetes,Bioengineering; Clinical Research; Diabetes; Health Services; Patient Safety; Prevention,"Project Narrative
 We propose to develop rigorous and ?exible statistical tools for analyzing and decoding the rich glucose
data from inpatient use of continuous glucose monitoring (CGM). The applications of the proposed statistical
methods will generate useful insight for making evidence-based customized treatment decisions, leading to
improved care for hospitalized patients with diabetes.",NIDDK,1R01DK136023-01A1,1,R01,DK,1,A1,2024-02-10,2028-01-31,Analytics and Statistics for Population Research Panel A Study Section[ASPA],,"PENG, LIMIN ",Not Applicable,5,BIOSTATISTICS & OTHER MATH SCI,EMORY UNIVERSITY,GA,SCHOOLS OF PUBLIC HEALTH,N,2024-02-10,2025-01-31,,847.0,Non-SBIR/STTR,2024,370716.0,,NIDDK,242438.0,128278.0,,370716.0,"statistical analysis, prediction tools, continuous glucose monitoring",0,0,0
Early Pesticide Exposure and Neurodevelopmental Outcomes in a Thai Birth Cohort,Clinical Research; Emerging Infectious Diseases; Infectious Diseases; Neurosciences; Pediatric; Perinatal Period - Conditions Originating in Perinatal Period; Prevention; Vector-Borne Diseases,"
Project Narrative
Pesticides are important public health tools for controlling insect-borne diseases and ensuring
adequate supplies of healthful foods. However, recent findings from three U.S. studies show
adverse associations between low-level pesticide exposures in early life and neurological and
neurocognitive development. The proposed Chiang Mai study would provide the most complete
characterization to date of potential fetal dose across critical windows of neurodevelopment and
help increase scientific understanding of how pesticides influence long-term brain health.",NIEHS,5R21ES015465-02,5,R21,ES,2,,2009-05-13,2012-04-30,Special Emphasis Panel[ZRG1-ICP2-B(50)R],,"RYAN, P. BARRY",Not Applicable,5,PUBLIC HEALTH & PREV MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF PUBLIC HEALTH,N,2010-05-01,2012-04-30,,113.0,Non-SBIR/STTR,2010,260620.0,,NIEHS,99712.0,25598.0,,125310.0,"Pesticide, Neurodevelopment, Cohort",0,0,0
Heteroresistance Interdisciplinary Research Unit (Admin Core),Antimicrobial Resistance; Biodefense; Emerging Infectious Diseases; Infectious Diseases,"PROJECT NARRATIVE
In accordance with RFA-AI-20-001, the project narrative should not be completed for the Administrative Core.",NIAID,1U19AI158080-01,1,U19,AI,1,,2021-03-05,2026-02-28,Special Emphasis Panel[ZAI1 MC-M (J1)],9824.0,"WEISS, DAVID S",Not Applicable,5,Unavailable,EMORY UNIVERSITY,GA,Domestic Higher Education,N,2021-03-01,2025-02-28,,,Non-SBIR/STTR,2021,,199871.0,,125000.0,74871.0,,,"Heteroresistance, Interdisciplinary, Research",0,0,0
Implications of Metabolic Regulation of BCL-2 Dependence for Myeloma Therapy,Cancer; Hematology; Rare Diseases,"PROJECT NARRATIVE
This project is relevant to public health as it will enable identification of metabolic checkpoints that can be
targeted to sensitize cancers to existing therapy and circumvent resistance. The mechanistic basis for this
novel method of metabolically driven synthetic lethality will be elucidated through comprehensive in vitro pre-
clinical experimentation. The proposed research is relevant to NIH's mission to foster innovative research to
significantly improve health and reduce disease.",NCI,1R01CA208328-01A1,1,R01,CA,1,A1,2017-04-11,2023-03-31,Basic Mechanisms  of Cancer Therapeutics Study Section[BMCT],,"SHANMUGAM, MALATHY (MALA) ",Not Applicable,5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2017-04-11,2023-03-31,,395.0,Non-SBIR/STTR,2017,1930322.0,,NCI,294084.0,113122.0,,407206.0,"Metabolic regulation, BCL-2, Myeloma",4,0,0
Integrated mechanisms for orbitofrontal cortical control of memory and choice,Basic Behavioral and Social Science; Behavioral and Social Science; Genetics; Mental Health; Neurosciences,"NARRATIVE
In day-to-day life, we often flexibly select actions based on what we anticipate the outcomes will be. Stressors
and adversities lead to failures in flexible goal seeking, causing organisms to defer to familiar, routinized
behaviors that can contribute to compulsions, smoking, over-eating, and other health concerns. Our goal is to
understand the learning and memory processes controlling action flexibility, and how they are disrupted by
prolonged social isolation.",NIMH,2R37MH117103-06A1,2,R37,MH,6,A1,2018-08-01,2028-10-31,"Learning, Memory and Decision Neuroscience Study Section[LMDN]",,"GOURLEY, SHANNON LEIGH",Not Applicable,5,PEDIATRICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2023-11-15,2024-10-31,,242.0,Non-SBIR/STTR,2024,675686.0,,NIMH,375638.0,300048.0,,675686.0,"orbitofrontal, control, memory",0,0,0
Role of B Cells in Murine Gammaherpesvirus-68 Latency,Cancer; HIV/AIDS; Lymphoma,"
PROJECT NARRATIVE:
 e-herpesviruses are able to establish life-long infections in their natural host(s),
and are closely associated with the development of lymphoproliferative disease and
lymphomas, as well as other cancers. The long term goal of this research is to
understand how e-herpesviruses manipulate normal B or T cell development to persist
within the lymphoid compartment of the infected host, as insights in shared mechanisms
utilized by this family of viruses may lead to the development of strategies for interfering
with chronic infection. In particular, such therapies would be useful in the management
of immunosuppressed individuals (e.g., organ transplant and AIDS patients) who are
particularly susceptible to developing e-herpesvirus-associated tumors.",NCI,2R01CA095318-06A1,2,R01,CA,6,A1,2003-06-16,2015-06-30,AIDS-associated Opportunistic Infections and Cancer Study Section[AOIC],,"SPECK, SAMUEL H",Not Applicable,5,MICROBIOLOGY/IMMUN/VIROLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2010-08-12,2015-06-30,,393.0,Non-SBIR/STTR,2010,1444976.0,,NCI,97785.0,53782.0,,151567.0,"B cells, Gammaherpesvirus, latency",0,0,0
Towards the development of an effective treatment for SCN1A-derived epilepsy,Behavioral and Social Science; Brain Disorders; Complementary and Alternative Medicine; Epilepsy; Genetics; Neurodegenerative; Neurosciences,"PROJECT NARRATIVE
Mutations in the SCN1A gene are the main cause of Dravet syndrome, a catastrophic childhood epilepsy
disorder. Current anti-epilepsy drugs often fail to provide adequate protection against the severe seizures and
neuropsychiatric abnormalities that occur in patients with SCN1A mutations. In this exploratory R21 proposal
we will test the hypothesis that Huperzine A, a naturally occurring compound, will be efficacious in the
treatment of Dravet syndrome. e",NINDS,1R21NS098776-01,1,R21,NS,1,,2016-06-01,2019-05-31,Therapeutic Approaches to Genetic Diseases Study Section[TAG],,"ESCAYG, ANDREW P",Not Applicable,5,GENETICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2016-06-01,2019-05-31,,853.0,Non-SBIR/STTR,2016,426110.0,,NINDS,150000.0,82624.0,,232624.0,"SCN1A, epilepsy, treatment",0,0,0
Use of Bioinformatics and Genetics to Identify a New Class of Drugs for Neurological Disease,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Biotechnology; Brain Disorders; Dementia; Genetics; Neurodegenerative; Neurosciences,"NMDARs play a critical role in cognition and memory formation, which is compromised in developmental
disorders, intellectual disability, and neurological conditions including Alzheimeres disease. Finding ways to
improve synaptic plasticity and memory formation could improve quality of life and family burden for these
patients. We will exploit insight into the structure and function of the NMDA receptor to design, synthesize
and test new positive allosteric modulators that selectively act at GluN2B-containing NMDA receptors.",NIA,1R21AG072142-01,1,R21,AG,1,,2021-05-15,2024-04-30,Drug Discovery for the Nervous System Study Section[DDNS],,"MYERS, SCOTT JAMES",Not Applicable,5,PHARMACOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2021-05-15,2024-04-30,,866.0,Non-SBIR/STTR,2021,425269.0,,NIA,271897.0,153372.0,,425269.0,"Bioinformatics, Genetics, Neurological Disease",0,0,0
Vaccine and Infection Induced Immunity in the Young and Aged,No NIH Category available,"Our comprehensive proposed studies using our large COVID-19 cohort will assess innate, and humoral and
cellular immunity over an 8-year period. This provides an extraordinary and unprecedented look at the durability
and evolution of human T and B cell memory after vaccination and infection. This will provide insight into the
underlying mechanisms of long-term immune memory and also inform how we develop optimal vaccination
strategies against emerging viral infections.",NIAID,2U19AI057266-21,2,U19,AI,21,,2003-09-01,2029-07-31,Special Emphasis Panel[ZAI1 AM-I (J1)],,"AHMED, RAFI ",Not Applicable,5,MICROBIOLOGY/IMMUN/VIROLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2024-08-28,2025-07-31,,855.0,Non-SBIR/STTR,2024,1864381.0,,NIAID,1421523.0,442858.0,,1864381.0,"Vaccine, Infection, Immunity",1,0,0
An Electronic Personal Health Record for Mental Health Consumers,No NIH Category available,"
Project Narrative:
There is an urgent need to develop approaches for improving the quality of medical and mental health care for
mental health consumers. The study proposes to address this goal by developing, testing, and disseminating
a personal health record for persons with serious mental disorders. The mental health personal health record
will be developed in conjunction with consumer and provider leaders, who will help ensure that it will be widely
distributed to, and used by, mental health consumers in the United States.",AHRQ,5R18HS017829-03,5,R18,HS,3,,2008-09-30,2012-09-29,ZHS1-HSR-A(01),,"DRUSS, BENJAMIN G",Not Applicable,5,PUBLIC HEALTH & PREV MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF PUBLIC HEALTH,N,2010-09-30,2012-09-29,,226.0,Other Research-Related,2010,372414.0,,AHRQ,240267.0,132147.0,,372414.0,"Electronic, Personal Health Record, Mental Health",0,0,0
CRCNS: Cerebellar cortico-nuclear interactions,Neurosciences,n/a,NINDS,1R01NS067201-01,1,R01,NS,1,,2009-09-01,2015-08-31,Special Emphasis Panel[ZRG1 IFCN-B (50)],,"JAEGER, DIETER ",Not Applicable,5,BIOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF ARTS AND SCIENCES,N,2009-09-01,2015-08-31,,853.0,Non-SBIR/STTR,2009,1117721.0,,NINDS,224260.0,42076.0,,266336.0,"Cerebellar, cortico-nuclear, interactions",0,0,0
Characterization of the Lamprey Adaptive Immune System,Anthrax; Biodefense; Emerging Infectious Diseases; Infectious Diseases,n/a,NIAID,5R01AI072435-05,5,R01,AI,5,,2007-01-15,2012-01-31,Special Emphasis Panel[ZRG1-IMM-C(03)S],,"COOPER, MAX DALE",Not Applicable,5,PATHOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2010-01-01,2012-01-31,,855.0,Non-SBIR/STTR,2010,1141394.0,,NIAID,338943.0,180810.0,,519753.0,"Lamprey, Immune system, Characterization",6,0,0
Effects of Cortisol Suppression on Fear-Potentiated Startle in Traumatized Indivi,Behavioral and Social Science; Brain Disorders; Clinical Research; Mental Health; Neurosciences; Violence Research," Posttraumatic stress disorder (PTSD) is a highly debilitating and complex disorder frequently comorbid with many medical and psychiatric illnesses. Understanding the neurobiological mechanisms underlying this disorder will provide improved tools for targeting symptoms that are specific to PTSD. The ultimate goal of this proposal is to combine basic psychopathology research and basic neuroscience research to inform the development of novel and effective approaches for treating PTSD, particularly in high-risk populations such as low-income, African-Americans.  
    

",NIMH,1R21MH092576-01A1,1,R21,MH,1,A1,2011-07-12,2013-06-30,"Biobehavioral Mechanisms of Emotion, Stress and Health Study Section[MESH]",,"JOVANOVIC, TANJA ",Not Applicable,5,PSYCHIATRY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2011-07-12,2012-06-30,,242.0,Non-SBIR/STTR,2011,232500.0,,NIMH,150000.0,82500.0,,232500.0,"Cortisol, Fear, Startle",0,0,0
Leveraging iPSC technology to understand neuro-immune responses to SARS-CoV-2 variants,Biodefense and Related Countermeasures; Biotechnology; Brain Disorders; Coronaviruses; Coronaviruses Therapeutics and Interventions; Emerging Infectious Diseases; Genetics; Infectious Diseases; Neurosciences; Post-Acute Sequelae of SARS-CoV-2 infection (PASC) including Long COVID; Stem Cell Research; Stem Cell Research - Induced Pluripotent Stem Cell; Stem Cell Research - Induced Pluripotent Stem Cell - Human,"PROJECT NARRATIVE
Post-acute sequelae of COVID-19 (PASC), also known as elong COVIDe, poses a significant burden on global
health systems. In the current project, using hiPSC-based 2-D microglia and 3-D organoid models, we aim to
identify brain-specific responses to SARS-CoV-2 that likely contribute to neurological sequelae caused by PASC.
Our study will provide novel insight into how different SARS-CoV-2 strains affect microglia function including
microglia-neuronal crosstalk, and facilitate the identification of druggable targets for treatment of PASC.",NINDS,1R21NS136877-01,1,R21,NS,1,,2024-04-15,2026-03-31,Special Emphasis Panel[ZRG1 CN-T (57)],,"WEN, ZHEXING ","LECHER, JULIA C.",5,PSYCHIATRY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2024-04-15,2025-03-31,,853.0,Non-SBIR/STTR,2024,234750.0,,NINDS,150000.0,84750.0,,234750.0,"iPSC, neuro-immune, SARS-CoV-2",0,0,0
Molecular Basis of rCGG-Mediated Neurodegeneration,Brain Disorders; Fragile X Syndrome; Genetics; Mental Retardation (Intellectual and Developmental Disabilities (IDD)); Neurodegenerative; Neurosciences,"
Project Narrative:
Fragile X-associated tremor/ataxia syndrome (FXTAS), a late age of onset
neurodegenerative disorder, is mainly associated with older males of fragile X
premutation carriers. The long-term goal of this project is to understand the molecular
pathogenesis of FXTAS. Here we will use both Drosophila and mouse models to further
test the hypothesis that FXTAS results from abnormal RNA metabolism that stems from
inappropriate association of RBPs with the RNA produced by FMR1 premutation alleles.",NINDS,2R01NS051630-05,2,R01,NS,5,,2006-01-01,2020-01-31,Chronic Dysfunction and Integrative Neurodegeneration Study Section[CDIN],,"JIN, PENG ","NELSON, DAVID LOREN",5,GENETICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2010-02-01,2020-01-31,,853.0,Non-SBIR/STTR,2010,6863481.0,,NINDS,607863.0,145750.0,,753613.0,"molecular, neurodegeneration, rCGG",1,0,0
Novel Vaccine Strategies Against Ebola Virus,Biodefense; Biotechnology; Emerging Infectious Diseases; Immunization; Infectious Diseases; Prevention; Vaccine Related,n/a,NIAID,5R01AI069148-03,5,R01,AI,3,,2008-05-01,2012-04-30,Vaccines Against Microbial Diseases Study Section[VMD],,"COMPANS, RICHARD W",Not Applicable,5,MICROBIOLOGY/IMMUN/VIROLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2010-05-01,2012-04-30,,855.0,Non-SBIR/STTR,2010,452367.0,,NIAID,341602.0,110765.0,,452367.0,"Vaccine, Ebola, Virus",5,"Zetra Biologicals, LLC",1
Atlanta Center for the Childhood Liver Disease Research Network (ChiLDReN),Biotechnology; Chronic Liver Disease and Cirrhosis; Clinical Research; Clinical Trials and Supportive Activities; Congenital Structural Anomalies; Digestive Diseases; Genetics; Human Genome; Liver Disease; Pediatric; Pediatric Research Initiative; Perinatal Period - Conditions Originating in Perinatal Period; Rare Diseases,"Project Narrative
With ongoing involvement of this active Center, we will continue to contribute to the achievement of all the
goals of ChiLDReN, arguably the most robust and feasible means to make a difference for children with
cholestatic liver diseases ever developed. This CC's participation expects to provide continued high
enrollment, act upon novel studies on genetic determinants of the causes and progression of pediatric liver
diseases, and develop investigations of a new anti-cholestatic and anti-fibrotic therapeutics.",NIDDK,2U01DK062470-16,2,U01,DK,16,,2005-03-07,2024-05-31,Special Emphasis Panel[ZDK1 GRB-7 (M4)],,"KARPEN, SAUL J.",Not Applicable,5,PEDIATRICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2019-09-20,2024-05-31,,847.0,Non-SBIR/STTR,2019,5973349.0,,NIDDK,661168.0,130363.0,,791531.0,"Liver, Childhood, Disease",0,0,0
Contribution of neutrophils to early airway disease in cystic fibrosis children,Clinical Research; Cystic Fibrosis; Lung; Pediatric; Pediatric Research Initiative; Rare Diseases,"PUBLIC HEALTH RELEVANCE: Airway disease, featuring intense inflammation, is the main cause of morbidity and mortality in cystic fibrosis (CF). Mechanisms of CF airway inflammation remain unclear, hampering development of better treatments. This time-sensitive ancillary study leverages a unique longitudinal cohort of CF infants, assessing the early phase of airway disease. Through the use of innovative cell- and fluid-based tools for in vivo profiling and in vito testing of BALF samples, this translational effort will yield unprecedented insights into mechanisms of PMN dysfunction in CF, and assess new paths for early intervention. (End of Abstract)   
   
      

",NHLBI,1R01HL126603-01,1,R01,HL,1,,2015-09-14,2019-06-30,Special Emphasis Panel[ZHL1 CSR-I (O1)],,"TIROUVANZIAM, RABINDRA MARIE-JEAN",Not Applicable,5,PEDIATRICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2015-09-14,2019-06-30,,838.0,Non-SBIR/STTR,2015,1659261.0,,NHLBI,264900.0,85589.0,,350489.0,"neutrophils, airway disease, cystic fibrosis",2,"Children's Healthcare Of Atlanta, Inc.; Georgia Tech Research Corporation; Children's Healthcare of Atlanta, Inc.",3
Development of anti-Yellow Fever agents in vitro and in mice,Biodefense; Biotechnology; Emerging Infectious Diseases; Infectious Diseases; Orphan Drug; Rare Diseases; Vector-Borne Diseases,"Project Narrative
Yellow fever is a deadly mosquito-borne viral infection endemic to tropical regions, with risk of spreading by
travelers, and unfortunately there is currently no available safe and effective treatment for this disease. The goal
of our studies is to develop a safe and effective drug candidate for yellow fever virus from our recently identified
lead compounds with antiviral potential.",NIAID,1R21AI146503-01A1,1,R21,AI,1,A1,2020-09-08,2022-08-31,Special Emphasis Panel[ZRG1 IDM-Y (82)],,"ZANDI, KEIVAN ",Not Applicable,5,PEDIATRICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2020-09-08,2022-08-31,,855.0,Non-SBIR/STTR,2020,429000.0,,NIAID,150000.0,84000.0,,234000.0,"Yellow Fever, agents, in vitro",2,0,0
Engaging African American and Latino MSM for HIV Testing and Prevention Services through Technology,No NIH Category available,"Narrative
Black and Hispanic MSM are the most heavily impacted risk groups in the US HIV epidemic, but past studies
have illustrated challenges with recruiting these men to uptake routine HIV testing. We propose a comparative
effectiveness study to evaluate the relative performance of two strategies e each based on an innovative,
established internet-based platform e to promote HIV testing among Black and Hispanic MSM.",NCHHSTP,1U01PS005181-01,1,U01,PS,1,,2017-09-01,2021-08-31,Special Emphasis Panel[ZPS1 GCA (27)],,"SULLIVAN, PATRICK SEAN",Not Applicable,5,PUBLIC HEALTH & PREV MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF PUBLIC HEALTH,N,2017-09-01,2021-08-31,,941.0,Non-SBIR/STTR,2017,3649015.0,,NCHHSTP,696027.0,152988.0,,849015.0,"HIV, Testing, Prevention",1,"WUGEN, Inc.",1
Exploiting chemoimmunotherapy strategies with genetically-engineered gd T cells,Biotechnology; Cancer; Gene Therapy; Genetics; Immunization; Neuroblastoma; Neurosciences; Orphan Drug; Pediatric; Pediatric Cancer; Pediatric Research Initiative; Rare Diseases; Vaccine Related,"Project Narrative
The pediatric solid tumor neuroblastoma remains one of the most lethal cancers of childhood. Therefore, novel
therapies, such as cellular immunotherapies are being actively pursued to improve survival. Clinical evaluation
of several cell-based therapies demonstrated low toxicity, but also low efficacy. The goal of this proposal is to
test the effectiveness of gamma delta T cell-based products, including bioengineered cells encoding
neuroblastoma specific chimeric antigen receptors and sequences that confer T cell chemotherapy resistance,
to allow for the combined use of chemotherapy and immunotherapies to improve patient survival.",NCI,1R21CA223300-01A1,1,R21,CA,1,A1,2018-06-01,2021-05-31,Special Emphasis Panel[ZCA1 SRB-P (M2)],,"GOLDSMITH, KELLY C","SPENCER, H TRENT",5,PEDIATRICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2018-06-01,2021-05-31,,395.0,Non-SBIR/STTR,2018,367050.0,,NCI,130500.0,70137.0,,200637.0,"chemoimmunotherapy, genetically-engineered, gd T cells",0,0,0
Hermanas de Corazen: A Community Health Worker Initiative for improving Heart Health in Migrant Latina Farmworker Women,Aging; Behavioral and Social Science; Cardiovascular; Clinical Research; Clinical Trials and Supportive Activities; Comparative Effectiveness Research; Dissemination and Implementation Research; Health Disparities Research; Health Disparities and Racial or Ethnic Minority Health Research; Health Services; Heart Disease; Maternal Health; Maternal Morbidity and Mortality; Mental Health; Pediatric; Perinatal Period - Conditions Originating in Perinatal Period; Prevention; Primary Health Care; Racial and Ethnic Minority Health Research; Rural Health; Social Determinants of Health; Women's Health Research,"PROJECT NARRATIVE
Rural, Latina farmworkers experience significant disparities in both maternal and overall cardiovascular
disease (CVD) morbidity and mortality, with greater CVD risk factors than their urban, white, and male
counterparts e disparities driven in part by social determinants of health (SDOH). With the rapid growth of
Latinas in the U.S. farming workforce, it is imperative to implement and evaluate strategies to reduce CVD risk,
premature CVD including in the perinatal period, and overall CVD morbidity and mortality. We will conduct a
hybrid type 1 effectiveness-implementation trial to evaluate the effectiveness and implementation of an
adapted peer support, community health worker/promotora-led intervention for rural, migrant, reproductive-
aged Latina farmworker women.",NINR,1R01NR021664-01,1,R01,NR,1,,2024-09-19,2029-05-31,Special Emphasis Panel[ZNR1 REV-M (44)],,"FERRANTI, ERIN POE","KELLY, URSULA ANN",5,NONE,EMORY UNIVERSITY,GA,SCHOOLS OF NURSING,N,2024-09-19,2025-05-31,,361.0,Non-SBIR/STTR,2024,779148.0,,NINR,497858.0,281290.0,,779148.0,"Community health, Heart health, Migrant women",0,0,0
Leadership Group for the Infectious Diseases Clinical Research Consortium (IDCRCLG),Biodefense; Biotechnology; Clinical Research; Clinical Trials and Supportive Activities; Emerging Infectious Diseases; Immunization; Infectious Diseases; Prevention; Vaccine Related,"Infectious diseases such as influenza, pneumonia, infectious diarrhea, sexually transmitted infections and
emerging infectious diseases (e.g. Ebola, Zika) remain a major threat to public health. This new, influential
leadership group (IDCRCLG) represents infectious diseases expertise at eight leading academic institutions and
beyond to focus on clinical research to address these threats. The IDCRCLG will, through innovative approaches,
support the planning, implementation and dissemination of clinical research to address the priorities of NIH/NIAID
in evaluating vaccines, biologics, therapeutics, diagnostics and devices for the treatment and prevention of these
infectious diseases; and to respond rapidly during an epidemic threat.",NIAID,1UM1AI148684-01,1,UM1,AI,1,,2019-12-05,2026-11-30,Special Emphasis Panel[ZAI1 AWA-M (S1)],,"STEPHENS, DAVID S","NEUZIL, KATHLEEN MALETIC",5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2019-12-05,2025-05-31,,855.0,Non-SBIR/STTR,2020,52405980.0,,NIAID,2372307.0,472485.0,,2844792.0,"Infectious Diseases, Clinical Research, Consortium",0,0,0
