Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title, CIHR_Contribution , CIHR_Equipment , External_Funding ,External_Funding_Partner,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,title_keywords
"Dzavik, Vladimir",University Health Network (Toronto),Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,Semaglutide to reduce Myocardial injury in PATIents with COVID-19 (SEMPATICO): An exploratory randomized controlled clinical trial,"$664,145 ", $-   , $-   ,,1 yr 0 mth ,Circulatory and Respiratory Health,CARDIOLOGY; MULTIPLE DISEASE RELEVANCE; CARDIOVASCULAR,6/1/2020,2021-05-31,0,"Semaglutide, Myocardial injury, COVID-19"
"Cete, Daniel",Universite Laval,Quebec,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Sensing and modulating neuronal activity from the spinal epidural space with optical fibers,"$357,982 ", $-   , $-   ,,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",SPINAL CORD DISEASE; MUSCULO SKELETAL; NERVOUS SYSTEM,4/1/2014,2017-03-31,0,"neuronal activity, optical fibers, epidural space"
"Beaulieu, Jean-Franeois",Universite de Sherbrooke,Quebec,Project Grant,202003PJT,Cancer Progression & Therapeutics 2,Set-up of a mass spectrometry-based stool test for colorectal cancer screening,"$719,101 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,Cancer-Clinical Oncology,10/1/2020,2024-09-30,0,"mass spectrometry, stool test, colorectal cancer"
"Vitkin, I. Alex",University Health Network (Toronto),Ontario,Project Grant,202010PJT,Medical Physics & Imaging,Shedding light on SBRT: functional optical coherence tomography and MR imaging for in vivo monitoring of high-dose few-fractions radiotherapy of pancreatic cancer,"$956,250 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Biomedical Engineering-Biomedical Imaging; Biophysics and bioimaging,4/1/2021,2026-03-31,0,"optical coherence tomography, MR imaging, radiotherapy"
"Whyne, Cari M",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,Shifting the Paradigm in Home Physiotherapy: Implementation and Implications of Adherence Monitoring with Artificial Intelligence,"$322,322 ","$25,000 ", $-   ,,3 yrs 0 mth ,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; ETHICS; MUSCLE, BONE, OR JOINT",4/1/2019,2022-03-31,0,"Physiotherapy, Adherence Monitoring, Artificial Intelligence"
"Leung, Shuk On A",Research Institute of the McGill University Health Centre,Quebec,Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Short-term patient-derived ovarian cancer organoids for frontline drug sensitivity testing,"$150,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; CANCER; DRUG RESEARCH,2/1/2024,2025-01-31,0,"ovarian cancer, organoids, drug sensitivity"
"Bromme, Dieter",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Side effect-free cathepsin K targeting drugs for skeletal diseases,"$359,850 ", $-   , $-   ,,3 yrs 0 mth ,Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; BONE CANCER THERAPY; MUSCLE, BONE, OR JOINT; DRUG RESEARCH",4/1/2018,2021-03-31,0,"cathepsin K, skeletal diseases, targeting"
"Waisman, David M",Dalhousie University (Nova Scotia),Nova Scotia,Project Grant,201809PJT,Cancer Progression & Therapeutics 2,Significance of S100A10 (p11) in breast cancer tumor progression,"$516,375 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis,4/1/2019,2022-03-31,0,"S100A10, breast cancer, tumor progression"
"Troyer, Ryan",Western University (Ontario),Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,Simple assay to assess antibody-dependent enhancement of SARS-CoV-2, $-   , $-   ,"$151,050 ",Public Health Agency of Canada,1 yr 0 mth ,Infection and Immunity,VIRAL; VIROLOGY; IMMUNOLOGY-TRANSPLANTATION,9/1/2020,2021-08-31,0,"assay, antibody, SARS-CoV-2"
"Gates, Byron D","Simon Fraser University (Burnaby, B.C.)",British Columbia,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Simultaneous chemotherapy and radiation treatment in solid tumours: A new platform to promote synergy and therapeutic efficacy with radiation triggered drug release,"$283,503 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; MULTIDISCIPLINARY; CANCER; HEALTH RESEARCH,4/1/2014,2017-03-31,0,"chemotherapy, radiation, drug release"
"Juncker, David",McGill University,Quebec,Project Grant,202109PJT,Biomedical Engineering,Single-cell imaging affinity proteomics of microfiltered circulating tumor cells: Uncovering biomarkers in colorectal cancer liver metastasis,"$895,050 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Biomedical Engineering-Biomedical Imaging,4/1/2022,2027-03-31,0,"single-cell imaging, proteomics, circulating tumor cells"
"Holdsworth, David W",Western University (Ontario),Ontario,Operating Grant,201009MOP,Medical Physics & Imaging,Single-plane dynamic radiography for quantification of bone and joint motion,"$752,848 ", $-   , $-   ,,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; ARTHRITIS/OSTEOARTHRITIS; IMAGING; MUSCLE, BONE, OR JOINT",4/1/2011,2016-03-31,1,"radiography, bone, joint"
"Uludag, Hasan",University of Alberta,Alberta,Operating Grant,201503MOP,Biomedical Engineering,siRNA Therapy for Leukemia: Synthetic Biomaterials to Deliver siRNA and Curb Uncontrolled Growth of Leukemic Cells,"$597,400 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,LEUKAEMIAS; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER; DRUG RESEARCH,7/1/2015,2021-06-30,1,"siRNA, Biomaterials, Leukemia"
"Chung, Hyun-Joong",University of Alberta,Alberta,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Skin Adhesive Smart Patch to Monitor Hydration Status in Real-Time,"$298,552 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,MULTIDISCIPLINARY; CANCER THERAPY GENERAL; HEALTH RESEARCH; CANCER,4/1/2015,2018-03-31,1,"Skin, Adhesive, Hydration"
"Veillette, Andre",Institut de recherches cliniques de Montreal,Quebec,Project Grant,202203PJT,Cancer Biology & Therapeutics,SLAMF7 in innate immune cells and anti-cancer immunotherapy,"$956,250 ", $-   , $-   ,,5 yrs 0 mth ,Infection and Immunity,"Cancer-Cancer Drug Development and Therapeutics; Immunology and Infection-Transplantation, Immune Tolerance and Tumor Immunology",10/1/2022,2027-09-30,0,"SLAMF7, immune cells, immunotherapy"
"Mwale, Fackson",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Project Grant,202209PJT,Biomedical Engineering,Small molecule inhibitor of IL-1b signaling in degenerative disc disease,"$734,400 ", $-   , $-   ,,5 yrs 0 mth ,Aging,Biomedical Engineering-Regenerative Medicine and Tissue Engineering,4/1/2023,2028-03-31,0,"small molecule, IL-1b, degenerative disc"
"Liu, Fei-Fei",University Health Network (Toronto),Ontario,Operating Grant,200909MOP,Cancer Biology & Therapeutics,Small Molecule Inhibitors Against a Novel Radio- and Chemo-sensitizing Target for Human Cancers,"$422,554 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; CANCER,4/1/2010,2013-03-31,3,"Small molecule, Inhibitors, Cancers"
"Mui, Alice L",University of British Columbia,British Columbia,Operating Grant,201003MOP,Cancer Progression & Therapeutics 2,Small molecule SHIP agonists for inhibiting the phosphoinositide 3-kinase pathway,"$390,802 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,LEUKAEMIAS; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER; DRUG RESEARCH,10/1/2010,2013-09-30,0,"small molecule, SHIP, phosphoinositide 3-kinase"
"Lockwood, William W",University of British Columbia,British Columbia,Project Grant - Priority Announcement: Cancer Research,202209PJS,Cancer Biology & Therapeutics,SNF2 Histone Linker PHD RING Helicase as a novel tumor suppressor gene and risk factor in lung adenocarcinoma development,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics; Cancer-Cancer Progression and Metastasis; Cancer-Mechanisms of Carcinogenesis,3/1/2023,2024-02-29,0,"SNF2, histone, adenocarcinoma"
"Pilote, Louise",Research Institute of the McGill University Health Centre,Quebec,Op. Grant: NWHRI: Innovation Fund - Translational Research,202403NW3,National Women's Health Research Initiative: Innovation Fund,Social Prescribing to Improve Adherence and Outcomes in Women with Heart Failure,"$600,000 ", $-   , $-   ,,2 yrs 10 mths ,Gender and Health,"STROKE, HEART FAILURE; EPIDEMIOLOGY; CARDIOVASCULAR; SOCIETAL & CULTURAL DIMENSIONS OF HEALTH",6/1/2024,2027-03-31,0,"Social prescribing, heart failure, adherence"
"Steidl, Christian",University of British Columbia,British Columbia,Project Grant,202010PJT,Cancer Progression & Therapeutics,Somatic mutations in the JAK-STAT and IRF signaling pathways in Non-Hodgkin lymphoma,"$1,120,725 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Progression and Metastasis; Molecular, Cellular and Systems Biology-Cell Signaling; Genetics-Genomics, Transcriptomics and Proteomics",4/1/2021,2026-03-31,0,"JAK-STAT, IRF, lymphoma"
"Steidl, Christian",University of British Columbia,British Columbia,Operating Grant,201403MOP,Cancer Biology & Therapeutics,Somatic mutations in the JAK-STAT signaling pathway in primary mediastinal large B cell lymphoma,"$855,882 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,BLOOD; NEOPLASMS; CANCER,7/1/2014,2016-06-30,0,"JAK-STAT, mutations, lymphoma"
"Sidhu, Sachdev S",University of Toronto,Ontario,Operating Grant,201009MOP,Cancer Progression & Therapeutics,Specific inhibitors of deubiquitinating enzymes,"$485,957 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,MOLECULAR BIOLOGY; CANCER,4/1/2011,2014-03-31,0,"deubiquitinating enzymes, inhibitors"
"Sidhu, Sachdev S",University of Toronto,Ontario,Operating Grant,201403MOP,Cancer Progression & Therapeutics 2,Specific inhibitors of ubiquitin ligases and deubiquitinases,"$919,406 ", $-   , $-   ,,5 yrs 0 mth ,Genetics,MOLECULAR BIOLOGY; CANCER,7/1/2014,2019-06-30,4,"ubiquitin, ligases, deubiquitinases"
"Sinton, David A",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,"Sperm Olympics: Selecting 1 in 100,000 for Intracytoplasmic Sperm Injection","$272,390 ", $-   , $-   ,,3 yrs 0 mth ,"Human Development, Child and Youth Health","INFERTILITY MALE; PREGNANCY/BIRTH; REPRODUCTION/PREGNANCY; RENAL FUNCTION, NEPHROLOGY, UROLOGY",4/1/2017,2020-03-31,1,"Sperm, Intracytoplasmic, Injection"
"Wald, Ron",Unity Health Toronto,Ontario,Operating Grant: Industry-partnered Collaborative Research,201409IPR,Industry Partnered Collaborative Research,STandard versus Accelerated initiation of Renal Replacement Therapy in Acute Kidney Injury (STARRT-AKI),"$220,995 ", $-   , $-   ,,4 yrs 0 mth ,"Nutrition, Metabolism and Diabetes","MULTIDISCIPLINARY; RENAL FUNCTION, NEPHROLOGY, UROLOGY",4/1/2015,2019-03-31,0,"Renal Replacement Therapy, Acute Kidney Injury, STARRT-AKI"
"Macaulay, Calum E",University of British Columbia,British Columbia,Operating Grant - PA: Cancer Research (bridge funding),200809IC1,Biomedical Engineering,Static and Dynamic 3D Computer Model of Pre-Invasive Neoplastic Epithelial Tissues,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,NEOPLASMS; BIOSTATISTICS; CANCER; BIOPHYSICS,1/1/2009,2009-12-31,0,"3D modeling, Neoplastic tissues, Epithelial"
"Brinkman, Ryan",University of British Columbia,British Columbia,Operating Grant: Priority Announcement (IHSPR),200809IHP,Cancer Progression & Therapeutics,Statistical analysis of clinical lymphoma data for automated quality assurance of diagnosis and biomarker identification,"$68,228 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; HEALTH SERVICES RESEARCH; CANCER,1/1/2009,2009-12-31,0,"statistical analysis, lymphoma, biomarker"
"Whyne, Cari M","Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Project Grant - Priority Announcement - Cancer Survivorship,202403CSV,Cancer Biology & Therapeutics,Stereotactic Radiotherapy for Spinal Metastases: Quantifying the Impact on Musculoskeletal Health,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,"Cancer-Cancer Progression and Metastasis; Musculoskeletal Health-Bone, Skin and Cartilage Sciences; Artificial Intelligence-Machine Learning",10/1/2024,2025-09-30,0,"Stereotactic Radiotherapy, Spinal Metastases, Musculoskeletal Health"
"Jirik, Frank R",University of Calgary,Alberta,Operating Grant,201503MOP,Cancer Progression & Therapeutics,Stimulator of interferon genes (STING)-induced tumour-associated macrophage re-education as a novel strategy for the treatment of lung cancer.,"$660,400 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,LUNG CANCER THERAPY; LUNG CANCER; CANCER; IMMUNOLOGY-TRANSPLANTATION,7/1/2015,2019-06-30,0,"STING, macrophage, lung cancer"
"Berthod, Franeois",Universite Laval,Quebec,Operating Grant - PA: INMHA (bridge funding),201503INO,Biomedical Engineering,Strategies de reparation des transsections des nerfs peripheriques par genie tissulaire,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction","INJURY, REGENERATION; NONE OF THE ABOVE; CELL BIOLOGY; NERVOUS SYSTEM",7/1/2016,2021-06-30,0,"nerfs, tissulaire, reparation"
"Jamieson, Amy",University of British Columbia,British Columbia,Project Grant,202403PJT,Cancer Progression & Therapeutics,STRIVE Study: STRatIfication of Vulvar squamous cell carcinoma by HPV and p53 status to guide Excision,"$1,166,628 ", $-   , $-   ,,7 yrs 0 mth ,Cancer Research,"Cancer-Clinical Oncology; Molecular, Cellular and Systems Biology-Molecular Biology",10/1/2024,2031-09-30,0,"Vulvar squamous cell carcinoma, HPV, p53"
"Hendzel, Michael J",University of Alberta,Alberta,Project Grant,201809PJT,Cancer Biology & Therapeutics,Structure-function relationships at DNA double-strand break repair centers,"$837,675 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,4/1/2019,2024-03-31,0,"DNA, double-strand break, repair"
"Nepveu, Alain",McGill University,Quebec,Operating Grant,201403MOP,Cancer Biology & Therapeutics,Structure/Function Analysis of Cut Repeat Domains in Base Excision Repair,"$604,954 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,NEOPLASMS; CANCER THERAPY GENERAL; MOLECULAR BIOLOGY; CELL BIOLOGY,10/1/2014,2019-09-30,0,"Base Excision Repair, Cut Repeat Domains, Structure-Function"
"El Morr, Christo","York University (Toronto, Ontario)",Ontario,Operation:eHealth Innov Partnership Program(eHIPP)-Youth &Adolescent Mental Hlth,201506EH1,eHealth Innovation Partnership Program (eHIPP): Youth and Adolescents Mental Health,Students Mental Health: Virtual Support on Campus,"$410,732 ", $-   , $-   ,,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",HEALTH PROMOTION; MENTAL AND BEHAVIOURAL DISEASES; MENTAL HEALTH; HEALTH RESEARCH,10/1/2015,2018-09-30,0,"Mental Health, Virtual Support, Campus"
"Zhang, Jinyi",Sinai Health System (Toronto),Ontario,Operating Grant,200903MOP,Cancer Biology & Therapeutics,Studies of the role of an Ets family protein in prostate cancer,"$694,200 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER; CANCER; MOLECULAR BIOLOGY,10/1/2009,2014-09-30,0,"Ets, prostate cancer"
"Tyrrell, D. Lorne J",University of Alberta,Alberta,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,200903IRO,Industry Partnered Collaborative Research,Studies on modulation of the innate immune response to HCV in chimeric mice,"$175,000 ", $-   , $-   ,,2 yrs 0 mth ,Infection and Immunity,VIRAL; LIVER DISEASE; VIROLOGY; DRUG RESEARCH,10/1/2009,2011-09-30,1,"innate immune response, HCV, chimeric mice"
"Chakravarty, Megha M",CIUSSS de l'Ouest-de-l'Ile-de-Montreal-Douglas Hospital,Quebec,Project Grant,201903PJT,Medical Physics & Imaging,Studying prenatal exposure to maternal immune activation as risk factor for neurodevelopmental disorders: from the fetus to adulthood,"$803,250 ", $-   , $-   ,,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",Mental Health and Behavioural Conditions-Psychology and Psychiatry; Biomedical Engineering-Biomedical Imaging; Methods Development and Modelling-Computational Biology,10/1/2019,2024-09-30,0,"prenatal exposure, maternal immune activation, neurodevelopmental disorders"
"Boisvert, Francois-Michel",Universite de Sherbrooke,Quebec,Operating Grant,201203MOP,Cancer Biology & Therapeutics,Subcellular Redistribution of Proteins Following DNA Damage: A Role for the MCM Complex in DNA Repair.,"$394,992 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,"CANCER THERAPY GENERAL; ENVIRONMENTAL INFLUENCES ON HEALTH; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; CELL BIOLOGY",10/1/2012,2015-09-30,0,"Proteins, DNA repair, MCM complex"
"Boisvert, Francois-Michel",Universite de Sherbrooke,Quebec,Operating Grant - PA: Cancer Research (bridge funding),201109IC1,Cancer Biology & Therapeutics,Subcellular Redistribution of Proteins Following DNA Damage: A Role for the MCM-ASF1 Complex in DNA Repair.,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,"CANCER THERAPY GENERAL; ENVIRONMENTAL INFLUENCES ON HEALTH; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; CELL BIOLOGY",3/1/2012,2013-02-28,0,"Proteins,DNA Repair,MCM-ASF1"
"Oxland, Thomas R",University of British Columbia,British Columbia,Project Grant,202109PJT,Biomedical Engineering,Subject-Specific Biomechanical Modelling in Adult Spinal Deformity Patients: A Surgical Planning and Failure Prediction Toolkit,"$795,600 ", $-   , $-   ,,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Musculoskeletal Health-Skeletal Muscle Biology and Physiology; Aging-Geriatric Medicine and Health Sciences",4/1/2022,2027-03-31,0,"Biomechanical, Spinal Deformity, Surgical Planning"
"Lin, Sheng-Xiang",Universite Laval,Quebec,Operating Grant,200903MOP,Cancer Progression & Therapeutics,"Sulfatase and aromatase pathways for estradiol synthesis in human breast cancer cells, tissues and animal models: identifying a combinatory therapy","$773,023 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,BREAST CANCER THERAPY; CANCER,10/1/2009,2014-09-30,1,"Sulfatase, aromatase, estradiol"
"Yip, Christopher M",University of Toronto,Ontario,Operating Grant,201203MOP,Medical Physics & Imaging,"Super-Resolution Imaging of Receptor Dynamics and Structure: Self-Association of CEACAM and Its Implications for Cancer,Infection, and Inflammation","$592,876 ", $-   , $-   ,,5 yrs 0 mth ,Infection and Immunity,MULTIPLE DISEASE RELEVANCE; MULTIDISCIPLINARY; BIOPHYSICS; CELL BIOLOGY,10/1/2012,2017-09-30,0,"Super-Resolution, Receptor, CEACAM"
"Nabi, Ivan R",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,Super-resolution microscopy network analysis: Drug target validation for cystic fibrosis,"$390,330 ","$18,000 ", $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,RESPIRATION; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CELL BIOLOGY; DRUG RESEARCH,4/1/2019,2022-03-31,0,"super-resolution, microscopy, cystic fibrosis"
"Pawliszyn, Janusz B",University of Waterloo (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Supervised in vivo lung perfusion strategy for treatment of cancer metastases to the lungs. Real time monitoring of chemotherapy by on-site analytical platform,"$431,583 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,LUNG CANCER THERAPY; MULTIDISCIPLINARY; CANCER; RESPIRATION,4/1/2016,2019-03-31,0,"lung perfusion, cancer metastases, chemotherapy"
"Nguyen, Minh Dang",University of Calgary,Alberta,Operating Grant,201103MOP,Cancer Biology & Therapeutics,Surviving the break-up in DNA damage response with a novel partner: TPX2,"$272,532 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; LUNG CANCER; CANCER; MOLECULAR BIOLOGY,10/1/2011,2014-09-30,0,"DNA damage, TPX2, response"
"Zheng, Gang",University Health Network (Toronto),Ontario,Project Grant,202303PJT,Cancer Progression & Therapeutics,Synergistic Radiosensitization of Hypoxic Pancreatic Adenocarcinoma using Gd-Texaphyrin Oxygen-Loaded Nanodroplets,"$994,500 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",7/1/2024,2029-06-30,0,"Radiosensitization, Hypoxic, Nanodroplets"
"Zhang, Boyang",McMaster University,Ontario,Project Grant,201903PJT,Biomedical Engineering,SynoPlate - Human physiology on demand,"$684,675 ", $-   , $-   ,,4 yrs 0 mth ,Circulatory and Respiratory Health,Biomedical Engineering-Regenerative Medicine and Tissue Engineering,10/1/2019,2023-09-30,0,"SynoPlate, physiology, on demand"
"Towler, Mark R",Toronto Metropolitan University,Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Synthesis of Bioactive Augments for use in Revision Knee Joint Replacement,"$250,861 ", $-   , $-   ,,3 yrs 0 mth ,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; OSTEOPOROSIS; MUSCLE, BONE, OR JOINT",4/1/2016,2019-03-31,1,"Bioactive, Knee Joint, Replacement"
"Philpott, Dana J",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,Synthetic biology approaches to design living medicines to improve intestinal and metabolic health.,"$450,330 ", $-   , $-   ,,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",GASTRO-INTESTINAL DISEASE; METABOLISM AND NUTRITION; GASTROINTESTINAL (LIVER); HEALTH RESEARCH,4/1/2020,2023-03-31,1,"synthetic biology, living medicines, metabolic health"
"Uludag, Hasan",University of Alberta,Alberta,Project Grant,202010PJT,Biomedical Engineering,Synthetic Biomaterials to Package and Deliver siRNA Nanoparticles in order to Curb Uncontrolled Growth of Leukemic Cells,"$757,350 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Cancer-Cancer Drug Development and Therapeutics; Genetics-Molecular and Functional Genetics and Epigenetics",4/1/2021,2026-03-31,0,"biomaterials, siRNA, nanoparticles"
"Simmons, Craig A",University of Toronto,Ontario,Operating Grant,201303MOP,Biomedical Engineering,Systematic screening of engineered microenvironments for improved heart valve tissue regeneration,"$411,566 ", $-   , $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,CARDIOLOGY; CARDIOVASCULAR; BIOPHYSICS,10/1/2013,2016-09-30,0,"microenvironments, heart valve, tissue regeneration"
"Wisnovsky, Simon",University of British Columbia,British Columbia,Project Grant,202403PJT,Cancer Biology & Therapeutics,T-cell glyco-immune checkpoints as next-generation targets for cancer immunotherapy,"$918,000 ", $-   , $-   ,,5 yrs 0 mth ,Infection and Immunity,"Immunology and Infection-Transplantation, Immune Tolerance and Tumor Immunology; Cancer-Cancer Drug Development and Therapeutics",10/1/2024,2029-09-30,0,"T-cell, glyco-immune, checkpoints"
"Han, Kathy",University Health Network (Toronto),Ontario,Project Grant,202010PJT,Cancer Biology & Therapeutics 2,Tailored adjuvant therapy in POLE-mutated and p53-wildtype early stage endometrial cancer (TAPER),"$1,082,474 ", $-   , $-   ,,6 yrs 0 mth ,Cancer Research,Cancer-Clinical Oncology; Health Services and Systems-Personalized Medicine,4/1/2021,2027-03-31,0,"adjuvant therapy, POLE-mutated, endometrial cancer"
"Sharif, Tanveer",University of Manitoba,Manitoba,Project Grant,202109PJT,Cancer Biology & Therapeutics 2,Taking down the 'undruggable' oncogene: therapeutic implications for novel mechanism-based targeting of MYC,"$956,250 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Pediatric Cancer; Cancer-Cancer Drug Development and Therapeutics,4/1/2022,2027-03-31,0,"MYC, oncogene, targeting"
"Nichols, Anthony C",Western University (Ontario),Ontario,Project Grant,202209PJT,Cancer Progression & Therapeutics,Targeted and immuno-therapy to overcome innate and acquired resistance in aggressive MAPK-addicted cancers.,"$990,675 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics; Cancer-Cancer Progression and Metastasis,4/1/2023,2028-03-31,0,"immuno-therapy, MAPK, resistance"
"Gariepy, Jean",University Health Network (Toronto),Ontario,Operating Grant - PA: Cancer Research (bridge funding),200903IC1,Cancer Biology & Therapeutics,Targeted imaging and therapy of breast cancers using Tn antigen-specific DNA aptamers,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,BREAST CANCER; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER; DRUG RESEARCH,10/1/2009,2010-09-30,1,"imaging, DNA aptamers, breast cancers"
"Beug, Shawn T",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Project Grant,201909PJT,Cancer Progression & Therapeutics 2,Targeted immunotherapy for the treatment of brain cancer,"$772,650 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,4/1/2020,2025-03-31,1,"immunotherapy, brain cancer"
"Allen, Christine J",University of Toronto,Ontario,Operating Grant,201403MOP,Cancer Progression & Therapeutics,Targeted Polymeric Nanotechnology for Multi-Modality Treatment of HER2 Positive Breast Cancer,"$492,845 ", $-   ,"$100,000 ",Avon Foundation for Women - Canada,4 yrs 0 mth ,Cancer Research,BREAST CANCER THERAPY; CANCER THERAPY GENERAL; CANCER; DRUG RESEARCH,7/1/2014,2018-06-30,0,"Polymeric, Nanotechnology, HER2"
"Allen, Christine J",University of Toronto,Ontario,Operating Grant - Priority Announcement: Breast Cancer,201309COP,Cancer Progression & Therapeutics,Targeted Polymeric Nanotechnology for Multi-Modality Treatment of HER2 Positive Breast Cancer, $-   , $-   ,"$100,000 ",Avon Foundation for Women - Canada,1 yr 0 mth ,Cancer Research,BREAST CANCER THERAPY; CANCER THERAPY GENERAL; CANCER; DRUG RESEARCH,7/1/2014,2018-06-30,0,"Polymeric, Nanotechnology, HER2"
"Jiang, Xiaoyan",University of British Columbia,British Columbia,Project Grant,201909PJT,Cancer Progression & Therapeutics 2,Targeting a novel miR-185/PAK6 axis to overcome drug-resistance in human leukemia,"$902,700 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,4/1/2020,2025-03-31,0,"miR-185, PAK6, leukemia"
