Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title, CIHR_Contribution , CIHR_Equipment , External_Funding ,External_Funding_Partner,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,title_keywords
"Macgowan, Christopher K",Hospital for Sick Children (Toronto),Ontario,Operating Grant,200903MOP,Medical Physics & Imaging,MRI Assessment of Pulmonary Vascular Remodelling and Vasoconstriction in Pulmonary Hypertension,"$233,833 ", $-   , $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,MULTIDISCIPLINARY; MULTIPLE DISEASE RELEVANCE; IMAGING; CARDIOVASCULAR,10/1/2009,2012-09-30,0,"MRI, Pulmonary Vascular, Hypertension"
"Hoge, Richard D","CIUSSS du Centre-Sud-de-l'ele-de-Montreal (Montreal, Quebec)",Quebec,Operating Grant,201203MOP,Medical Physics & Imaging,MRI characterization of neurovascular function in carotid artery disease,"$672,197 ", $-   , $-   ,,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",ATHEROSCLEROSIS; MENTAL AND BEHAVIOURAL DISEASES; IMAGING; NERVOUS SYSTEM,10/1/2012,2017-09-30,0,"MRI, neurovascular, carotid artery"
"Wright, Graham A","Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Operating Grant,201309MOP,Medical Physics & Imaging,MRI for Arrhythmia Management in Ischemic Heart Disease,"$820,920 ", $-   , $-   ,,5 yrs 0 mth ,Circulatory and Respiratory Health,CARDIOLOGY; MYOCARDIAL INFARCTION; IMAGING; CARDIOVASCULAR,4/1/2014,2019-03-31,0,"MRI, Arrhythmia, Heart Disease"
"Wright, Graham A","Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Project Grant,202104PJT,Medical Physics & Imaging,MRI for Arrhythmia Management in Ischemic Heart Disease,"$925,650 ", $-   , $-   ,,5 yrs 0 mth ,Circulatory and Respiratory Health,CARDIOLOGY; MYOCARDIAL INFARCTION; IMAGING; CARDIOVASCULAR,4/1/2014,2019-03-31,0,"MRI, Arrhythmia, Heart Disease"
"Sacher, Adrian G",University Health Network (Toronto),Ontario,Project Grant,201909PJT,Cancer Biology & Therapeutics,Mucosal Associated Invariant T-cells (MAIT cells) as Key Mediators of Anti-Tumor Immune Responses and the Microbiome Effect in Non-Small Cell Lung Cancer (NSCLC),"$283,051 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Immunology and Infection-Transplantation, Immune Tolerance and Tumor Immunology; Genetics-Genomics, Transcriptomics and Proteomics",4/1/2020,2023-03-31,0,"MAIT cells, immune response, lung cancer"
"So, Aaron",London Health Sciences Centre Res. Inc. (Ont.),Ontario,Project Grant,201909PJT,Medical Physics & Imaging,Multi-centre diagnostic performance of dynamic CT perfusion for functional assessment of multi-vessel coronary artery disease with dense coronary calcification,"$581,246 ", $-   , $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Clinical and Translational Cardiovascular Sciences",4/1/2020,2023-03-31,1,"CT perfusion, coronary artery disease, calcification"
"Abolmaesumi, Purang",University of British Columbia,British Columbia,Project Grant,201803PJT,Medical Physics & Imaging,Multi-centre Temporal Ultrasound Image Analysis for Prostate Cancer Diagnosis,"$1,158,976 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Biomedical Engineering-Biomedical Imaging,10/1/2018,2023-09-30,2,"Ultrasound, Image Analysis, Prostate Cancer"
"Salcudean, Septimiu E",University of British Columbia,British Columbia,Project Grant,202303PJT,Medical Physics & Imaging,"Multi-modal, multi-parametric liver imaging for ultrasound-based stratification of patients with non-alcoholic fatty liver disease","$625,770 ", $-   , $-   ,,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes","Biomedical Engineering-Biomedical Imaging; Artificial Intelligence-Machine Learning; Digestive, Endocrine and Excretory Systems-Gastroenterology and Hepatology",10/1/2023,2028-09-30,0,"liver imaging, ultrasound, fatty liver"
"Kozlowski, Piotr",University of British Columbia,British Columbia,Operating Grant,201103MOP,Medical Physics & Imaging,Multi-parametric MRI for prostate cancer diagnosis and prognosis,"$627,332 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER,10/1/2011,2016-09-30,0,"MRI, prostate cancer, diagnosis"
"Gangloff, Anne",Universite Laval,Quebec,Project Grant,201903PJT,Cancer Progression & Therapeutics 2,Multi-pathway cholesterol depletion on top of FOLFIRINOX in newly diagnosed metastatic pancreatic adenocarcinoma: a feasibility and proof-of-concept study,"$153,000 ", $-   , $-   ,,2 yrs 0 mth ,Cancer Research,"Digestive, Endocrine and Excretory Systems-Gastroenterology and Hepatology",10/1/2019,2021-09-30,0,"cholesterol depletion, FOLFIRINOX, pancreatic adenocarcinoma"
"Macaulay, Calum E",University of British Columbia,British Columbia,Operating Grant,201503MOP,Medical Physics & Imaging,Multi-Scale Tissue System's Biology approach to Identify Lethal Prostate Cancer,"$511,228 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER; NEOPLASMS; IMAGING; CANCER,7/1/2015,2019-06-30,0,"Tissue, Prostate, Cancer"
"Juncker, David",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Multidimensional separation isolation and characterization of circulating tumour cells,"$343,124 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,BREAST CANCER; CANCER,4/1/2013,2016-03-31,1,"multidimensional separation, circulating tumour cells, isolation"
"Foster, F. Stuart","Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Operating Grant,201209MOP,Medical Physics & Imaging,Multifrequency Ultrasound: Technology and Applications,"$414,316 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; IMAGING; CANCER,4/1/2013,2016-03-31,0,"Ultrasound, Multifrequency"
