Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Arrieta Mendez, Marie C",University of Calgary,Project Grant,202109PJT,Respiratory System,The early-life mycobiome as a determinant of allergic airway inflammation,"$807,075",$0,5 yrs 0 mth 
"Ayas, Najib",University of British Columbia,Project Grant,202104PJT,Respiratory System,Obstructive Sleep Apnea and Long-term Health Consequences,"$1,445,850",$0,5 yrs 0 mth 
"Baglole, Carolyn",Research Institute of the McGill University Health Centre,Operating Grant,201203MOP,Respiratory System,Molecular regulation of cigarette smoke-induced pulmonary disease by the aryl hydrocarbon receptor,"$647,090",$0,5 yrs 0 mth 
"Baglole, Carolyn; Azuelos, Ilan",Research Institute of the McGill University Health Centre,Project Grant,201909PJT,Respiratory System,Prognostic and Therapeutic Utility of Human Antigen R (HuR) in Fibrosis,"$833,850",$0,5 yrs 0 mth 
"Baglole, Carolyn",Research Institute of the McGill University Health Centre,Project Grant,202309PJT,Respiratory System,Decoding how the aryl hydrocarbon receptor (AhR) controls cigarette smoke-induced lung inflammation and development of chronic obstructive pulmonary disease (COPD),"$940,950",$0,5 yrs 0 mth 
"Bear, Christine E",Hospital for Sick Children (Toronto),Operating Grant,200903MOP,Respiratory System,Understanding the mechanism of action of small molecule therapies in Cystic Fibrosis,"$327,209",$0,3 yrs 0 mth 
"Bear, Christine E",Hospital for Sick Children (Toronto),Operating Grant,201209MOP,Respiratory System,Evaluating the Mechanism of Action of Small Molecule Modulators of CFTR,"$572,255",$0,5 yrs 0 mth 
"Becker, Allan B; Chan-Yeung, Moira",University of Manitoba,Operating Grant,200809MOP,Respiratory System,Primary prevention of asthma:  The impact of the multifaceted intervention program in early life on outcomes in teenagers,"$525,702",$0,3 yrs 0 mth 
"Becker, Allan B; Azad, Meghan",University of Manitoba,Project Grant,201909PJT,Respiratory System,CHILDhood Asthma and Puberty: Understanding the Sex Shift in Asthma to Female Predominance,"$1,220,940",$0,4 yrs 0 mth 
"Behr, Marcel A",Research Institute of the McGill University Health Centre,Operating Grant,201403MOP,Respiratory System,"NOD2, microbial recognition and pulmonary tuberculosis","$713,700",$0,5 yrs 0 mth 
"Bonnet, Sébastien",Université Laval,Project Grant,201709PJT,Respiratory System,Replication stress and pulmonary hypertension: Role for checkpoint kinase 1,"$711,450",$0,5 yrs 0 mth 
"Bonnet, Sébastien",Université Laval,Project Grant,201909PJT,Respiratory System,"The anti-oxidative DNA damage protein MTH1, the novel pulmonary hypertension Achilles heel.","$749,700",$0,5 yrs 0 mth 
"Bosse, Ynuk",Université Laval,Project Grant,201709PJT,Respiratory System,Airway smooth muscle tone on asthmatic airway hyperresponsiveness,"$459,000",$0,5 yrs 0 mth 
"Bossé, Yohan",Université Laval,Operating Grant,201203MOP,Respiratory System,Genetics of gene expression in the lung to elucidate the molecular causes of asthma and smoking-related lung diseases,"$502,747",$0,4 yrs 0 mth 
"Boucherat, Olivier",Université Laval,Project Grant,202109PJT,Respiratory System,ATP Citrate Lyase: an attractive target at the nexus of metabolic and epigenetic alterations in pulmonary arterial hypertension,"$742,050",$0,5 yrs 0 mth 
"Boucherat, Olivier",Université Laval,Project Grant,202403PJT,Respiratory System,Targeting Integrin Signaling to Alleviate Remodeling in Pulmonary Arteries and the Right Ventricle in Pulmonary Hypertension,"$856,800",$0,5 yrs 0 mth 
"Bourbeau, Jean; Gagnon, Sébastien",Research Institute of the McGill University Health Centre,Project Grant,202003PJT,Respiratory System,"Sublingual Fentanyl for acute relief of breathlessness in patients with advanced COPD : A randomized double-blind, placebo-controlled, crossover design trial.","$187,425",$0,2 yrs 0 mth 
"Bourdeau, Annie","Sunnybrook Research Institute (Toronto, Ontario)",Operating Grant,201209MOP,Respiratory System,Manipulation of asthmatic response by protein tyrosine phosphatases,"$274,065",$0,3 yrs 0 mth 
"Bradley, Douglas T",University Health Network (Toronto),Operating Grant,201109MOP,Respiratory System,Role of Fluid Retention and Displacement in the Pathogenesis and Treatment of Sleep Apnea,"$701,782",$0,5 yrs 0 mth 
"Brochard, Laurent J; Post, Martin",Unity Health Toronto,Project Grant,202403PJT,Respiratory System,"Protective Mechanical Ventilation during Acute Lung Injury Targeting Lungs, Circulation, Diaphragm and Brain - Preclinical experiments.","$1,055,700",$0,5 yrs 0 mth 
"Brochiero, Emmanuelle",Centre hospitalier de l'Université de Montréal (CHUM),Operating Grant,201009MOP,Respiratory System,Alveolar epithelial integrity after acute lung injury: control of repair mechanisms by K+ channels,"$573,055",$0,5 yrs 0 mth 
"Brochiero, Emmanuelle",Centre hospitalier de l'Université de Montréal (CHUM),Project Grant,201903PJT,Respiratory System,K+ channels as key targets to favor alveolar epithelial integrity and function during the resolution of acute respiratory distress syndrome,"$830,026",$0,5 yrs 0 mth 
"Brochiero, Emmanuelle",Centre hospitalier de l'Université de Montréal (CHUM),Project Grant,202104PJT,Respiratory System,Development of innovative therapeutic strategies in cystic fibrosis for improvement of CFTR-targeted treatments and restoration of airway epithelial integrity in infected lungs from patients harboring various mutations,"$837,676",$0,5 yrs 0 mth 
"Brooks, Dina; Goldstein, Roger S",University of Toronto,Operating Grant,201303MOP,Respiratory System,Randomized controlled trial of a community-based exercise program for preventing functional decline among individuals with chronic obstructive pulmonary disease,"$214,467",$0,3 yrs 0 mth 
"Cameron, Lisa E",University of Alberta,Operating Grant,201009MOP,Respiratory System,Regulation of CRTh2 and its role in allergic disease,"$637,052",$0,5 yrs 0 mth 
"Cantin, André M",Université de Sherbrooke,Operating Grant,201403MOP,Respiratory System,Idiopathic pulmonary fibrosis: Pathogenesis and therapy,"$680,074",$0,5 yrs 0 mth 
"Carlsten, Christopher",University of British Columbia,Project Grant,201709PJT,Respiratory System,Does traffic-related air pollution reduce the effectiveness of corticosteroids in asthma treatment?,"$673,200",$0,5 yrs 0 mth 
"Carlsten, Christopher; Mookherjee, Neeloffer",University of British Columbia,Project Grant,202203PJT,Respiratory System,"Traffic-Related Air Pollution, Inhaled Corticosteroids and Host Defence Response in COPD","$896,580",$0,5 yrs 0 mth 
"Chakir, Jamila",Université Laval,Operating Grant,201103MOP,Respiratory System,Epithelial cell-fibroblast interplay a key pathway to understand airway remodelling in asthma,"$592,821",$0,5 yrs 0 mth 
"Chakir, Jamila",Université Laval,Project Grant,201809PJT,Respiratory System,Role of exosomes in cellular communication in asthma,"$833,850",$0,5 yrs 0 mth 
"Chow, Chung-Wai",University Health Network (Toronto),Operating Grant,201303MOP,Respiratory System,Traffic-Related Air Pollutants and the Transplanted Lung,"$1,190,841",$0,5 yrs 0 mth 
"Chow, Chung-Wai",University Health Network (Toronto),Project Grant,202010PJT,Respiratory System,Assessment of IPF Severity with Conventional and Intrabreath Oscillometry,"$627,300",$0,5 yrs 0 mth 
"Clugston, Robin D",University of Alberta,Project Grant,201909PJT,Respiratory System,Altered vitamin A homeostasis and retinoic acid signaling in the development of congenital diaphragmatic hernia,"$569,925",$0,5 yrs 0 mth 
"Cutz, Ernest",Hospital for Sick Children (Toronto),Operating Grant,200909MOP,Respiratory System,Oxygen (O2) and carbon dioxide (CO2) sensors in airway  chemoreceptors: Molecular characterization and physiological  functions,"$726,348",$0,5 yrs 0 mth 
"Cypel, Marcelo; Feld, Jordan J; Humar, Atul",University Health Network (Toronto),Project Grant,201903PJT,Respiratory System,Transplantation of Hepatitis C infected donors to negative recipients: Combining donor and recipient strategies to prevent transmission.,"$481,950",$0,3 yrs 0 mth 
"Cypel, Marcelo; Humar, Atul; Kumar, Deepali",University Health Network (Toronto),Project Grant,202010PJT,Respiratory System,Ex Vivo Treatment of Latent Human Cytomegalovirus in Donor Lungs Using F49A-Fusion Protein: Pre-Clinical Studies and a Safety Pilot Clinical Trial.,"$638,776",$0,4 yrs 0 mth 
"Cypel, Marcelo; Wang, Aizhou",University Health Network (Toronto),Project Grant,202403PJT,Respiratory System,Genetic Engineering of Lungs to Create Universal Blood Type Donor Organs,"$1,101,600",$0,5 yrs 0 mth 
"Cypel, Marcelo; Gross, Jed A; Humar, Atul",University Health Network (Toronto),Project Grant,202409PJT,Respiratory System,Lung transplant to evaluate advanced novel organ modification therapies using a human decedent model,"$933,299",$0,3 yrs 0 mth 
"Dakshinamurti, Shyamala",University of Manitoba,Project Grant,202010PJT,Respiratory System,Effect of Hypoxia and Nitric Oxide Therapy on Adenylyl Cyclase Activity in Persistent Pulmonary Hypertension of the Newborn,"$784,125",$0,5 yrs 0 mth 
"Denburg, Judah A",McMaster University,Operating Grant,201009MOP,Respiratory System,Innate Immune Pathways Involving Hemopoietic Progenitors in the Development of Allergy and Asthma,"$619,610",$0,5 yrs 0 mth 
"Divangahi, Maziar",Research Institute of the McGill University Health Centre,Operating Grant,201303MOP,Respiratory System,Therapeutic implications of macrophage apoptosis in TB,"$702,335",$0,5 yrs 0 mth 
"Dos Santos, Claudia C",Unity Health Toronto,Operating Grant,201003MOP,Respiratory System,Title: Molecular Mechanisms of Lung Protection from Ventilator Induced Lung Injury (VILI),"$382,897",$0,3 yrs 0 mth 
"Dos Santos, Claudia C",Unity Health Toronto,Operating Grant,201309MOP,Respiratory System,Molecular Mechanism(s) of Protection from Acute Lung Injury,"$735,913",$0,5 yrs 0 mth 
"Dos Santos, Claudia C; Walker, Gilbert C",Unity Health Toronto,Project Grant,202309PJT,Respiratory System,Engineered Lipid Nanoparticle miRNA-therapy Options for ARDS,"$367,200",$0,3 yrs 0 mth 
"Ducharme, Francine M","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Operating Grant,200909MOP,Respiratory System,Determinants Of Oral corticosteroid Responsiveness in Wheezing Asthmatic Youth (DOORWAY),"$1,899,256",$0,3 yrs 0 mth 
"Fixman, Elizabeth D",Research Institute of the McGill University Health Centre,Operating Grant,201003MOP,Respiratory System,Th17/IL-17 specific mechanisms regulating inflammation and remodeling in allergic airways disease,"$603,590",$0,5 yrs 0 mth 
"Fixman, Elizabeth D",Research Institute of the McGill University Health Centre,Project Grant,201809PJT,Respiratory System,STAT6-dependent control of innate immunity as a target for therapeutic intervention in asthma,"$887,400",$0,5 yrs 0 mth 
"Forsythe, Paul",University of Alberta,Project Grant,202409PJT,Respiratory System,Understanding Pulmonary Neuroendocrine Cells as Allergen Sensors and Immune Modulators,"$918,000",$0,5 yrs 0 mth 
"Funk, Gregory D",University of Alberta,Operating Grant,201009MOP,Respiratory System,Glia and the purinergic modulation of inspiratory rhythm generating networks,"$778,040",$0,5 yrs 0 mth 
"Funk, Gregory D",University of Alberta,Operating Grant,201303MOP,Respiratory System,"Molecular-physiological characterization of Dbx1, putative XII inspiratory premotoneurons","$662,730",$0,5 yrs 0 mth 
"Funk, Gregory D",University of Alberta,Project Grant,201803PJT,Respiratory System,Unravelling the contribution to the hypoxic ventilatory response of purinergic and glial signalling in the preBötzinger Complex,"$852,976",$0,5 yrs 0 mth 
"Giembycz, Mark A",University of Calgary,Operating Grant,200809MOP,Respiratory System,A Unifying Mechanism for the Anti-inflammatory Effect of Phosphodiesterase 4 Inhibitors in Chronic Obstructive Pulmonary Disease,"$669,215",$0,5 yrs 0 mth 
"Gill, Sean E; Melling, Jamie; Veldhuizen, Rudolf A",London Health Sciences Centre Res. Inc. (Ont.),Project Grant,202209PJT,Respiratory System,"Aging, exercise, and sex: impact on the pathophysiology of ventilation-induced lung injury","$772,650",$0,5 yrs 0 mth 
"Goldenberg, Neil M",Hospital for Sick Children (Toronto),Project Grant,202109PJT,Respiratory System,Targeting Danger Signals In Systemic Sclerosis-Associated Pulmonary Arterial Hypertension,"$830,025",$0,5 yrs 0 mth 
"Goligher, Ewan C",University Health Network (Toronto),Project Grant,202104PJT,Respiratory System,"Can ""Awake Extracorporeal Life Support"" Prevent Ventilator-Induced Diaphragm Atrophy and Injury in Patients with Acute on Chronic Respiratory Failure?","$306,000",$0,3 yrs 0 mth 
"Gonska, Tanja",Hospital for Sick Children (Toronto),Project Grant,202010PJT,Respiratory System,Evaluating CFTR-function and response to new CFTR modulator drugs in non-cystic fibrosis patients with CFTR-related lung disease,"$779,535",$0,5 yrs 0 mth 
"Grandvaux, Nathalie",Centre hospitalier de l'Université de Montréal (CHUM),Operating Grant,201403MOP,Respiratory System,Redox regulation of the innate antiviral response in airway epithelial cells: regulation and function of DUOX2.,"$593,556",$0,5 yrs 0 mth 
"Greer, John J",University of Alberta,Operating Grant,201009MOP,Respiratory System,Pathogenesis and Etiology of Congenital Diaphragmatic Hernia,"$625,621",$0,5 yrs 0 mth 
"Grygorczyk, Ryszard",Centre hospitalier de l'Université de Montréal (CHUM),Operating Grant,200903MOP,Respiratory System,Mechanosensitive ATP release in the lungs,"$570,000",$0,5 yrs 0 mth 
"Grygorczyk, Ryszard",Centre hospitalier de l'Université de Montréal (CHUM),Project Grant,201903PJT,Respiratory System,Role of ATP-P2X7 axis in pathogenesis of ventilator induced lung injury,"$393,210",$0,3 yrs 0 mth 
"Hackett, Tillie-Louise",University of British Columbia,Operating Grant,201303MOP,Respiratory System,Molecular determinants of small airway obstruction in COPD,"$507,245",$0,5 yrs 0 mth 
"Hackett, Tillie-Louise",University of British Columbia,Project Grant,201709PJT,Respiratory System,The Role of Small Airways Disease Heterogeneity in Asthma,"$675,340",$0,5 yrs 0 mth 
"Hackett, Tillie-Louise",University of British Columbia,Project Grant,202104PJT,Respiratory System,The contribution of sex differences to small airways disease in chronic obstructive pulmonary disease,"$730,576",$0,5 yrs 0 mth 
"Hackett, Tillie-Louise; Ryerson, Christopher J",University of British Columbia,Project Grant,202403PJT,Respiratory System,Integration of multi-resolution imaging to improve the diagnosis and treatment of fibrotic interstitial lung diseases,"$910,350",$0,5 yrs 0 mth 
"Halayko, Andrew J",University of Manitoba,Operating Grant,201003MOP,Respiratory System,"The S100A8/A9-RAGE Axis in Airway Inflammation, Hyperresponsiveness, and Remodeling","$747,468",$0,5 yrs 0 mth 
"Hamid, Qutayba A",McGill University,Operating Grant,200809MOP,Respiratory System,Role of Th-17 in the pathogenesis of severe asthma,"$700,397",$0,5 yrs 0 mth 
"Hasan, Shabih U; Lodha, Abhay K",University of Calgary,Project Grant,201909PJT,Respiratory System,"Pulmonary Insufficiency, Non-Invasive Respiratory Support via Continuous Positive Airway Pressure (CPAP) and Heated Humidified High Flow Nasal Cannula (HHFNC), and Development of Oromotor Skills in Preterm Infants: An Innovative Approach towards Improving Infant Outcomes.","$480,528",$0,3 yrs 0 mth 
"Herridge, Margaret S; Cameron, Jill I",University Health Network (Toronto),Operating Grant,200903MOP,Respiratory System,The RECOVER Program: Phase I Towards RECOVER - Outcomes and Needs Assessment in Survivors of Prolonged Mechanical Ventilation and Their Caregivers,"$704,367",$0,4 yrs 0 mth 
"Hinz, Boris",University of Toronto,Operating Grant,201403MOP,Respiratory System,Direct interactions between macrophages and myofibroblasts contribute to lung fibrosis,"$713,700",$0,5 yrs 0 mth 
"Hirota, Jeremy A",McMaster University,Project Grant,201709PJT,Respiratory System,Airway Epithelial Cell ATP Binding Cassette (ABC) Transporter C4 in Lung Health and Disease,"$592,875",$0,5 yrs 0 mth 
"Hirota, Jeremy A; MacKillop, James",McMaster University,Project Grant,202209PJT,Respiratory System,The impact of cannabis smoke on respiratory tract viral infections,"$883,575",$0,5 yrs 0 mth 
"Horner, Richard L",University of Toronto,Operating Grant,201109MOP,Respiratory System,Control of Breathing during Sleep: Brainstem Mechanisms of Respiratory Control,"$871,205",$0,5 yrs 0 mth 
"Horner, Richard L",University of Toronto,Project Grant,202109PJT,Respiratory System,Control of Breathing During Sleep: Brainstem Mechanisms of Respiratory Control,"$1,063,350",$0,5 yrs 0 mth 
"Hu, Jim",Hospital for Sick Children (Toronto),Operating Grant,200903MOP,Respiratory System,Role of the E74-like transcription factor 3 (ELF3) in airway immune responses to antigen,"$689,580",$0,5 yrs 0 mth 
"Hu, Jim",Hospital for Sick Children (Toronto),Project Grant,201803PJT,Respiratory System,Targeting airway cells for gene-editing to correct genetic diseases,"$940,950",$0,5 yrs 0 mth 
"Hu, Jim",Hospital for Sick Children (Toronto),Project Grant,202109PJT,Respiratory System,Bi-locus gene replacement for enhancing permanent correction of genetic airway diseases,"$937,125",$0,5 yrs 0 mth 
"Ianowski, Juan P",University of Saskatchewan,Operating Grant,201503MOP,Respiratory System,Abnormal fluid and mucus secretion in response to inhaled bacteria contributes to cystic fibrosis airways disease pathogenesis.,"$335,655",$0,3 yrs 0 mth 
"Ianowski, Juan P; AbuArish, Asmahan; Campanucci, Veronica A; Montgomery, Julia B; Tam, Julian; Tyan, Chung-Chun",University of Saskatchewan,Project Grant,202109PJT,Respiratory System,Cellular bases of cystic fibrosis lung disease: epithelial ionocytes transport bicarbonate and control airway surface liquid pH; while club and goblet cells control hydration and volume,"$810,900",$0,5 yrs 0 mth 
"Jankov, Robert P","Sunnybrook Research Institute (Toronto, Ontario)",Operating Grant,200809MOP,Respiratory System,Hypercapnia as Therapy for Neonatal Pulmonary Hypertension,"$579,880",$0,5 yrs 0 mth 
"Janssen, Luke J",McMaster University,Operating Grant,200810MOP,Respiratory System,Isoprostane-mediated regulation of airway and vascular smooth muscles,"$100,000",$0,1 yr 0 mth 
"Janssen, Luke J",McMaster University,Operating Grant,201403MOP,Respiratory System,Calcium-signalling and gene expression in human fibroblasts,"$694,795",$0,5 yrs 0 mth 
"Jordana, Manel",McMaster University,Operating Grant,201209MOP,Respiratory System,Microbial influence on respiratory allergen responsiveness from birth to adulthood,"$683,785",$0,5 yrs 0 mth 
"Joseph, Vincent",Université Laval,Operating Grant,200909MOP,Respiratory System,A critical role of progesterone for development of respiratory control system.,"$369,861",$0,3 yrs 0 mth 
"Kaplan, Feige",Research Institute of the McGill University Health Centre,Operating Grant,201009MOP,Respiratory System,The impact of developmental deficiency of Lgl1 on longterm respiratory risk,"$776,484",$0,5 yrs 0 mth 
"Karoubi, Golnaz; Haykal, Siba",University Health Network (Toronto),Project Grant,202203PJT,Respiratory System,Generation of Non-Immunogenic Human Tracheal Grafts for Transplantation,"$757,350",$0,5 yrs 0 mth 
"Kavanagh, Brian Patrick W",Hospital for Sick Children (Toronto),Operating Grant,201003MOP,Respiratory System,Preclinical assessment of therapeutic hypercapnia,"$612,364",$0,5 yrs 0 mth 
"Kavanagh, Brian Patrick W",Hospital for Sick Children (Toronto),Operating Grant,201309MOP,Respiratory System,"Ventilator-Induced Lung Injury: Linking gene activation, physiology and outcome","$718,001",$0,5 yrs 0 mth 
"Kavanagh, Brian Patrick W",Hospital for Sick Children (Toronto),Project Grant,201709PJT,Respiratory System,Minimizing Lung Injury during Mechanical Ventilation,"$705,330",$0,5 yrs 0 mth 
"Kelly, Margaret M",University of Calgary,Operating Grant,201505MOP,Respiratory System,Smooth muscle-myofibroblast transition in asthma,"$100,000",$0,1 yr 0 mth 
"Keshavjee, Shaf",University Health Network (Toronto),Operating Grant,200809MOP,Respiratory System,Molecular Therapeutic Strategies for Ex-vivo Repair of Lungs for Transplantation,"$774,344",$0,5 yrs 0 mth 
"Keshavjee, Shaf",University Health Network (Toronto),Operating Grant,201309MOP,Respiratory System,Advanced therapeutic strategies for ex vivo repair of lungs for transplantation,"$914,350",$0,5 yrs 0 mth 
"Keshavjee, Shaf",University Health Network (Toronto),Project Grant,202003PJT,Respiratory System,Development and Translation of Novel Donor Lung Gene Regulation Strategies for Lung Transplantation,"$956,250",$0,5 yrs 0 mth 
"Kinkead, Richard",Université Laval,Operating Grant,201109MOP,Respiratory System,Linking gestational stress and respiratory control disorder in the developing newborn,"$340,952",$0,3 yrs 0 mth 
"Kinkead, Richard",Université Laval,Project Grant,202003PJT,Respiratory System,Stress and loss of ovarian function: novel insights into the origins and treatment of respiratory control disorders in females,"$654,076",$0,5 yrs 0 mth 
"Knight, Darryl A",University of British Columbia,Operating Grant,201109MOP,Respiratory System,Resetting epithelial differentiation as a novel therapeutic approach to treating asthma,"$670,870",$0,5 yrs 0 mth 
"Knight, Darryl A",University of British Columbia,Operating Grant,200903MOP,Respiratory System,Dysregulated STAT-3 activation underlies lung fibroblast heterogeneity: Implications for idiopathic pulmonary fibrosis,"$664,857",$0,5 yrs 0 mth 
"Kolb, Martin R",McMaster University,Operating Grant,201403MOP,Respiratory System,The role of abnormal matrix in the progression of Pulmonary Fibrosis,"$700,909",$0,5 yrs 0 mth 
"Kolb, Martin R",McMaster University,Project Grant,201809PJT,Respiratory System,Targeting endothelial cell dysfunction and vascular remodelling to stop progression of advanced pulmonary fibrosis,"$749,700",$0,5 yrs 0 mth 
"Kolb, Martin R",McMaster University,Project Grant,202409PJT,Respiratory System,Endothelial cell senescence drives progression of pulmonary fibrosis,"$963,900",$0,5 yrs 0 mth 
"Kristof, Arnold S",Research Institute of the McGill University Health Centre,Project Grant,201709PJT,Respiratory System,Targeted Therapies for Lymphangioleiomyomatosis,"$504,900",$0,4 yrs 0 mth 
"Kuebler, Wolfgang M",Unity Health Toronto,Operating Grant,201110MOP,Respiratory System,Role of CFTR and sphingolipids in hypoxic pulmonary vasoconstriction,"$100,000",$0,1 yr 0 mth 
"Kuebler, Wolfgang M",Unity Health Toronto,Operating Grant,201103MOP,Respiratory System,Alveolar fluid secretion - a novel mechanism of pulmonary edema,"$551,249",$0,5 yrs 0 mth 
"Kuebler, Wolfgang M",Unity Health Toronto,Operating Grant,201203MOP,Respiratory System,Role of CFTR and sphingolipids in hypoxic pulmonary vasoconstriction,"$677,176",$0,5 yrs 0 mth 
"Kuebler, Wolfgang M",Unity Health Toronto,Operating Grant,200809MOP,Respiratory System,New concept of hypoxic pulmonary vasoconstriction: Conducted response via connexin 40,"$333,308",$0,3 yrs 0 mth 
"Laffey, John G",Unity Health Toronto,Operating Grant,201309MOP,Respiratory System,Cell based therapies for Acute Respiratory Distress Syndrome: Using mechanistic insights to optimize therapeutic potential,"$655,641",$0,5 yrs 0 mth 
"Lam, Wan L",University of British Columbia,Operating Grant,201009MOP,Respiratory System,Epigenetic disruptions in chronic obstructive pulmonary disease pathogenesis,"$556,800",$0,4 yrs 0 mth 
"Laprise, Catherine",Université du Québec à Chicoutimi,Project Grant,202010PJT,Respiratory System,A multigenerational study of the atopic march for deciphering the epigenetic heritability of allergic respiratory diseases and contribution to the elaboration of a predictive tool,"$669,375",$0,5 yrs 0 mth 
"Lauzon, Anne-Marie",Research Institute of the McGill University Health Centre,Operating Grant,200909MOP,Respiratory System,Smooth Muscle Mechanics in Airway Hyperresponsiveness and Asthma,"$662,985",$0,5 yrs 0 mth 
"Lauzon, Anne-Marie",Research Institute of the McGill University Health Centre,Project Grant,201709PJT,Respiratory System,Asthmatic phenotyping by microfluidic assessment of shortening velocity and contractile force of airway smooth muscle cells obtained from biopsies,"$673,200",$0,5 yrs 0 mth 
"Lauzon, Anne-Marie",Research Institute of the McGill University Health Centre,Project Grant,202203PJT,Respiratory System,"CD4+T Cells, Alarmins and Human Airway Smooth Muscle Function in Asthma","$807,076",$0,5 yrs 0 mth 
"Lavoie, Jean-Claude","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Operating Grant,201103MOP,Respiratory System,Impact de l'ascorbylperoxyde sur le développement pulmonaire du nouveau-né,"$397,630",$0,3 yrs 0 mth 
"Lavoie, Jean-Pierre",Université de Montréal,Operating Grant,200909MOP,Respiratory System,Study of the pathogenesis and reversibility of airway damage and repair (remodeling) during chronic mucosal immune response to environmental allergens in a large animal model of asthma.,"$636,800",$0,5 yrs 0 mth 
"Lavoie, Jean-Pierre",Université de Montréal,Operating Grant,200810MOP,Respiratory System,Study of the pathogenesis and reversibility of airway damage and repair (remodeling) during chronic mucosal immune response to environmental allergens in a large animal model of asthma.,"$100,000",$0,1 yr 0 mth 
"Lee, Warren L",Unity Health Toronto,Operating Grant,201303MOP,Respiratory System,"Influenza and acute lung injury: priming, platelets and permeability","$487,132",$0,5 yrs 0 mth 
"Leigh, Richard; Proud, David",University of Calgary,Project Grant,201803PJT,Respiratory System,Rhinovirus induced modulation of epithelial phenotype in asthma,"$956,250",$0,5 yrs 0 mth 
"Leung, Janice",University of British Columbia,Project Grant,202309PJT,Respiratory System,Accelerated Lung Aging in People Living with Human Immunodeficiency Virus,"$1,292,850",$0,5 yrs 0 mth 
"Liu, Mingyao",University Health Network (Toronto),Operating Grant,201303MOP,Respiratory System,Signal cross talk in lung injury and repair,"$750,256",$0,5 yrs 0 mth 
"Liu, Mingyao",University Health Network (Toronto),Operating Grant,201109MOP,Respiratory System,Acute lung injury: from cellular mechanisms to molecular therapies,"$748,120",$0,5 yrs 0 mth 
"Lukacs, Gergely L",McGill University,Operating Grant,200903MOP,Respiratory System,The molecular basis of trafficking defect of cystic fibrosis mutations in respiratory epithelia,"$736,974",$0,5 yrs 0 mth 
"Lukacs, Gergely L",McGill University,Operating Grant,201503MOP,Respiratory System,Molecular basis and correction of CFTR defects in respiratory epithelial cells,"$717,360",$0,5 yrs 0 mth 
"Lukacs, Gergely L",McGill University,Operating Grant,201405MOP,Respiratory System,Molecular basis and modulation of CFTR trafficking defect in respiratory epithelial cells,"$100,000",$0,1 yr 0 mth 
"Lukacs, Gergely L",McGill University,Project Grant,202003PJT,Respiratory System,Molecular basis of and preclinical approaches to overcome therapy-resistant cystic fibrosis mutations,"$910,350",$0,5 yrs 0 mth 
"Lukacs, Gergely L",McGill University,Project Grant,202104PJT,Respiratory System,Mechanism and pharmacological modulation of intrinsic and acquired pro-inflammatory state of the airway epithelia in cystic fibrosis,"$841,500",$0,5 yrs 0 mth 
"Lu, Wei-Yang",Western University (Ontario),Operating Grant,201309MOP,Respiratory System,Regulation of Pulmonary Inflammation by Alveolar GABAergic Signaling,"$732,000",$0,5 yrs 0 mth 
"Maksym, Geoffrey N",Dalhousie University (Nova Scotia),Operating Grant,201009MOP,Respiratory System,Mechanical and epithelial cell regulation of airway smooth muscle contractile function,"$551,833",$0,5 yrs 0 mth 
"Maltais, François",Université Laval,Operating Grant,201103MOP,Respiratory System,Skeletal muscle endurance and wasting in COPD,"$597,880",$0,5 yrs 0 mth 
"Man, S.F. Paul",University of British Columbia,Operating Grant,201503MOP,Respiratory System,Epigenetic and Transcriptomic Disturbances in HIV-Associated COPD,"$613,716",$0,5 yrs 0 mth 
"Marsolais, David",Université Laval,Operating Grant,201203MOP,Respiratory System,Probing for sphingosine-1-phosphate signalling in asthma,"$564,775",$0,5 yrs 0 mth 
"Martin, James G",Research Institute of the McGill University Health Centre,Operating Grant,201209MOP,Respiratory System,Novel roles for cysteinyl leukotrienes in oxidant induced airway injury from chlorine,"$624,809",$0,5 yrs 0 mth 
"Martin, James G",McGill University,Operating Grant,200809MOP,Respiratory System,The role of the epidermal growth factor receptor and its ligands in allergen-driven airway remodelling,"$770,088",$0,5 yrs 0 mth 
"Martin, James G",Research Institute of the McGill University Health Centre,Project Grant,201709PJT,Respiratory System,The role of eicosanoids in airway responses to oxidative injury from chlorine,"$707,625",$0,5 yrs 0 mth 
"Martin, James G",Research Institute of the McGill University Health Centre,Project Grant,202303PJT,Respiratory System,Understanding the Mechanistic Basis of Irritant-Induced Airway Dysfunction,"$562,275",$0,4 yrs 0 mth 
"Martin, James G",Research Institute of the McGill University Health Centre,Project Grant,202209PJT,Respiratory System,Determinants of susceptibility to influenza infection in pregnant mice,"$768,825",$0,5 yrs 0 mth 
"Mazer, Bruce D",Research Institute of the McGill University Health Centre,Operating Grant,201503MOP,Respiratory System,Regulatory B-cells inhibit Allergic Airways Disease: Role of Semaphorin 4C,"$700,754",$0,5 yrs 0 mth 
"Mazer, Bruce D",Research Institute of the McGill University Health Centre,Project Grant,202403PJT,Respiratory System,B-Lymphocyte derived extracellular vesicles as key regulators of allergic airway inflammation,"$898,876",$0,5 yrs 0 mth 
