Name,All_Companies,Founding_Year,All_Companies_Count,Companies_After_CIHR_Funding,Companies_After_CIHR_Funding_Count,Seed,Seed_$,Series_A,Series_A_$,Series_B,Series_B_$,Series_C,Series_C_$,Series_D,Series_D_$,Series_E,Series_E_$,IPO,Acquirement,Exit_$,Cumulative_Investment_Gained,Funding_Efficiency,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years,Cumulative_Grant_Amount,Cumulative_Term_Years,Primary_Institute,Research_Categories,Funding_Start,Funding_Start_Count,Funding_End,title_keywords,Patents,Cumulative Patents
"Burns, David H",,,0,,,,,,,,,,,,,,,,,,,,McGill University,Quebec,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Smart Ultrasonic Hydrogel Sensors for Point of Care Analysis,150000,0,1,150000,1,Circulatory and Respiratory Health,null,2009-01-01,1,2009-12-31,"Ultrasonic, Hydrogel, Sensors",1,1
"Burt, Helen M",Sitka Biopharma,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Intravesical Taxanes,157412,0,1,452012,2,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; DRUG RESEARCH,2012-04-01,1,2013-03-31,"Intravesical, Taxanes",2,2
"Burt, Helen M",,,,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201302PP2,Proof of Principle,Intravesical Docetaxel Formulation for the Treatment of Ta/T1 Stage Bladder Cancer,294600,0,1,,,Cancer Research,"PROSTATE AND BLADDER CANCER THERAPY; CANCER; RENAL FUNCTION, NEPHROLOGY, UROLOGY",2013-10-01,1,2014-09-30,"Docetaxel, Bladder Cancer, Intravesical",2,
"C.-Gaudreault, Rene",,,0,,,,,,,,,,,,,,,,,,,,Universite Laval,Quebec,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Optimization and Validation of Highly Cytocidal Substituted Phenyl Imidazolidin-2-one as Antimicrotubule Agents for Cancer Chemotherapy,160000,0,1,460000,4,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER THERAPY GENERAL; DRUG RESEARCH; CANCER,2011-10-01,1,2012-09-30,"Cytocidal, Phenyl Imidazolidin-2-one, Antimicrotubule",0,0
"C.-Gaudreault, Rene",,,,,,,,,,,,,,,,,,,,,,,Universite Laval,Quebec,Project Grant,201709PJT,Commercialization,Validation of Highly Potent Substituted Phenyl Alkylureas as Antipsoriatic Agents,497250,0,3,,,Cancer Research,"Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Action, Toxicology and Metabolism; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",2018-04-01,1,2021-03-31,"Potent, Phenyl Alkylureas, Antipsoriatic",0,
"Cashman, Neil R","ProMIS Neurosciences, Inc.",,1,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201209PP2,Proof of Principle,A defined cyclic peptide epitope specific to Abeta oligomers:   Active and passive vaccination in mouse models of Alzheimer's disease,300000,0,1,300000,1,Aging,ALZHEIMER'S DISEASE; AGING; NERVOUS SYSTEM,2013-04-01,1,2014-03-31,"cyclic peptide, Abeta oligomers, vaccination",17,17
"Chan, Tak Hang",,,0,,,,,,,,,,,,,,,,,,,,McGill University,Quebec,Proof of Principle Program - Phase II,201109PP2,Proof of Principle,Evaluation of novel flavonoids in models of hematological cancer,300000,0,1,300000,1,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; DRUG RESEARCH; CANCER,2012-04-01,1,2013-03-31,"flavonoids, hematological cancer, models",4,4
"Charron, Thierry",T-Rx MedCath,,0,,,,,,,,,,,,,,,,,,,,CIUSSS du Nord-de-l'Ile-de Montreal - Hepital Sacre Coeur,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Innovative device to reduce myocardial infarct size and no-reflow : Proof of concepts in humans,159300,0,1,159300,1,Circulatory and Respiratory Health,MYOCARDIAL INFARCTION; CARDIOLOGY; CARDIOVASCULAR,2014-04-01,1,2015-03-31,"myocardial infarct, no-reflow, device",2,2
"Chauhan, Vijay S",,,0,,,,,,,,,,,,,,,,,,,,University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Rotor Mapping in Human Atrial Fibrillation,149015,10634,1,159649,1,Circulatory and Respiratory Health,ARRHYTHMIAS; CARDIOLOGY; CARDIOVASCULAR; HEALTH RESEARCH,2015-04-01,1,2016-03-31,"Rotor, Mapping, Atrial Fibrillation",1,1
"Chemtob, Sylvain",Allostera Pharma,,2,,,,,,,,,,,,,,,,,,,,"Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Proof of Principle Program - Phase II,201003PP2,Proof of Principle,IL-1  Allosteramers to treat diabetes and its complications,300000,0,1,300000,1,"Nutrition, Metabolism and Diabetes",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; METABOLISM/DIABETES; VISION,2010-10-01,1,2011-09-30,"IL-1, Allosteramers, diabetes",1,1
