Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Cumulative_Grant_Amount,Term_Years,Cumulative_Term_Years,Primary_Institute,Research_Categories,Funding_Start,Funding_Start_Count,Funding_End
"Sadar, Marianne D",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Preclinical evaluation of sintokamides as agents for treatment of advanced prostate cancer,150000,0,450000,1,2,Cancer Research,PROSTATE AND BLADDER CANCER; PROSTATE AND BLADDER CANCER THERAPY; CANCER; ENDOCRINOLOGY,2010-04-01,1,2011-03-31
"Sadar, Marianne D",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201102PP2,Proof of Principle,Translational Development Program For Analogues of EPI-001 (PNG01-185) Compounds For the Treatment of Advanced Prostate Cancer,300000,0,,1,,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; PROSTATE AND BLADDER CANCER THERAPY; CANCER; DRUG RESEARCH,2011-10-01,1,2012-09-30
"Salcudean, Septimiu E",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Real-time Ultrasound Quantitative Elastography of the Prostate,143074,10850,153924,1,1,Cancer Research,PROSTATE AND BLADDER CANCER; IMAGING; CANCER,2013-04-01,1,2014-03-31
"Sanche, Leon",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Developpement de composes antineoplasiques radiosensibilisants achemines par nano transporteur liposomal.,159149,0,159149,1,1,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; BRAIN TUMORS THERAPY; CANCER; DRUG RESEARCH,2012-10-01,1,2013-09-30
"Santamaria, Pere",University of Calgary,Alberta,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Evaluation of Nanoparticles for the Treatment of Autoimmune Conditions,150000,0,150000,1,1,Infection and Immunity,ENDOCRINOLOGY; DIABETES MELLITUS; IMMUNOLOGY-TRANSPLANTATION; METABOLISM/DIABETES,2009-01-01,1,2009-12-31
"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase II,200910PP2,Proof of Principle,Neuroprotection Rescue Strategies for Retinal Degeneration Diseases,250000,0,957600,1,6,Aging,DISEASES AFFECTING SPEECH/VISION/HEARING; AGING; VISION,2010-04-01,1,2011-03-31
"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Cancer vaccines targeting the ganglioside tumor-marker GD2,157600,0,,1,,Cancer Research,CANCER THERAPY GENERAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER; IMMUNOLOGY-TRANSPLANTATION,2012-10-01,1,2013-09-30
"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase II,201509PP2,Proof of Principle,Therapy for motor neuron degeneration diseases targeting the opposing ligand-dependent signals of two TrkC receptor isoforms,300000,0,,1,,"Neurosciences, Mental Health and Addiction",AMYOTROPHIC LATERAL SCLEROSIS (ALS); DISEASES AFFECTING SPEECH/VISION/HEARING; NERVOUS SYSTEM; DRUG RESEARCH,2016-04-01,1,2017-03-31
"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Project Grant - PA: Cancer Research - Cancer Prevention,202010PXX,Commercialization,Innovation of Proprietary Liquid Biopsy Assays for Diagnosis of Early Stage Ovarian Cancer,100000,0,,1,,Cancer Research,"Commercialization-Technology Transfer; Cancer-Cancer Progression and Metastasis; Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; glycomics. We quantify gangliosides which are glycolipids with a glycan and a lipid component",2021-10-01,1,2023-09-30
"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Project Grant,202104PJT,Commercialization,Innovation of Proprietary Liquid Biopsy Assays for Diagnosis of Early Stage Ovarian Cancer,650251,0,,2,,Cancer Research,"Commercialization-Technology Transfer; Cancer-Cancer Progression and Metastasis; Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; glycomics. We quantify gangliosides which are glycolipids with a glycan and a lipid component",2021-10-01,1,2023-09-30
"Sarunic, Marinko V","Simon Fraser University (Burnaby, B.C.)",British Columbia,Project Grant,201809PJT,Commercialization,Sensorless Adaptive Optics Optical Coherence Tomography for Clinical Ophthalmology,493425,0,493425,3,3,Aging,Biomedical Engineering-Biomedical Imaging,2019-04-01,1,2018-03-31
"Schang, Luis M",University of Alberta,Alberta,Proof of Principle Program Phase I - Drug Development,200904PDD,Proof of Principle,Novel Inhibitors of Viral Infectivity,150000,0,150000,1,1,Infection and Immunity,VIRAL; LIVER DISEASE; VIROLOGY; GASTROINTESTINAL (LIVER),2009-07-01,1,2010-06-30
"Schimmer, Aaron D",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Repositioning tigecycline for the treatment of leukemia,156750,0,156750,1,1,Cancer Research,LEUKAEMIAS; CANCER THERAPY GENERAL; CANCER; CELL BIOLOGY,2011-04-01,1,2012-03-31
"Schrader, John W",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Preclinical evaluation of a truly human monoclonal antibody for the therapy of infections with a broad spectrum of influenza viruses,160000,0,160000,1,1,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; IMMUNOLOGY-TRANSPLANTATION; DRUG RESEARCH,2011-04-01,1,2012-03-31
"Schweizer, Frank",University of Manitoba,Manitoba,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Preclinical evaluation of antimicrobial ultrashort aminoglycoside- peptide conjugates,150000,0,596128,1,7,Infection and Immunity,INFECTIOUS AND PARASITIC; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; HEALTH RESEARCH,2009-01-01,1,2009-12-31
"Schweizer, Frank",University of Manitoba,Manitoba,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Optimization and preclinical studies on amphiphilic aminoglycoside antimicrobials (AAAs),160000,0,,1,,Infection and Immunity,INFECTIOUS AND PARASITIC; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; HEALTH RESEARCH; DRUG RESEARCH,2012-04-01,1,2013-03-31
"Schweizer, Frank",University of Manitoba,Manitoba,Project Grant - Priority Announcement: Infection and Immunity,201909PJ4,Commercialization,Rescuing beta-lactam antibiotic/beta-lactamase inhibitor combinations from resistance against multidrug-resistant Gram-negative pathogens,100000,0,,1,,Infection and Immunity,"Immunology and Infection-Antimicrobial Drug Resistance, Drug Discovery and Therapeutics (including vaccines)",2020-03-01,1,2021-02-28
"Schweizer, Frank",University of Manitoba,Manitoba,Project Grant,202003PJT,Commercialization,Rescuing beta-lactam antibiotic/beta-lactamase inhibitor combinations from resistance against multidrug-resistant Gram-negative pathogens,654075,0,,4,,Infection and Immunity,"Immunology and Infection-Antimicrobial Drug Resistance, Drug Discovery and Therapeutics (including vaccines)",2020-03-01,1,2021-02-28
"Seidah, Nabil G",Institut de recherches cliniques de Montreal,Quebec,Proof of Principle Program - Phase II,201209PP2,Proof of Principle,Validation of PCSK9 single domain antibodies in cholesterol regulation in humanized mice,186128,0,186128,1,1,"Nutrition, Metabolism and Diabetes",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; METABOLISM AND NUTRITION; CARDIOVASCULAR; METABOLISM/DIABETES,2013-04-01,1,2014-03-31
"Shapiro, James",University of Alberta,Alberta,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Preclinical Development of Novel Biomaterials for the Creation of a Deviceless Pre-Vascularized Site for Islet and Cellular Transplantation,157126,0,157126,1,1,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; ENDOCRINOLOGY; IMMUNOLOGY-TRANSPLANTATION; METABOLISM/DIABETES,2016-04-01,1,2017-03-31
"Sheardown, Heather D",McMaster University,Ontario,Project Grant,202109PJT,Commercialization,A novel eye drop platform to improve ocular therapies,531674,0,531674,3,3,Aging,"Commercialization-Technology Transfer; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",2022-04-01,1,2025-03-31
"Sheppard, Donald C",Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Recombinant hydrolases as anti-biofilm therapies for Aspergillus infections,151459,0,151459,1,1,Infection and Immunity,INFECTIOUS AND PARASITIC; PNEUMONIA; BACTERIOLOGY; IMMUNOLOGY-TRANSPLANTATION,2015-10-01,1,2016-09-30
"Sherar, Michael D",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Treatment Planning and Guidance Software Platform for Minimally Invasive Ablation Therapies,145925,10000,155925,1,1,Cancer Research,CANCER THERAPY GENERAL; BIOPHYSICS; CANCER,2013-04-01,1,2014-03-31
"Shlien, Adam",Hospital for Sick Children (Toronto),Ontario,Project Grant,202303PJT,Commercialization,Development of an RNA-based test for diagnosing and monitoring bone and soft tissue cancers,240976,0,240976,1,1,Cancer Research,Cancer-Cancer Progression and Metastasis; Commercialization-Technology Transfer; Artificial Intelligence-Machine Learning,2023-10-01,1,2024-09-30
"Shoichet, Molly S",University of Toronto,Ontario,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Commercial Development of Bioengineered Therapeutic Strategy for Spinal Cord Injury,159996,0,159996,1,1,"Neurosciences, Mental Health and Addiction",SPINAL CORD DISEASE; NERVOUS SYSTEM,2010-10-01,1,2011-09-30
"Sibille, Etienne",Centre for Addiction and Mental Health (Toronto),Ontario,Project Grant,201803PJT,Commercialization,Novel therapeutic targeting for cognitive deficits in depression and aging,550800,0,550800,3,3,"Neurosciences, Mental Health and Addiction",Mental Health and Behavioural Conditions-Mental Health and Addiction; Aging-Aging Process and Biological Determinants of Aging,2018-10-01,1,2021-09-30
"Sidhu, Sachdev S",University of Toronto,Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Highly specific therapeutic-grade anti-FGFR1 antibodies with anti-proliferative effects,160000,0,160000,1,1,Cancer Research,CANCER THERAPY GENERAL; MOLECULAR BIOLOGY; CANCER,2015-10-01,1,2016-09-30
"Sinton, David A",University of Toronto,Ontario,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,High Quality Sperm Selection for Assisted Reproductive Technology,159904,0,159904,1,1,"Human Development, Child and Youth Health",INFERTILITY MALE; INFERTILITY FEMALE; REPRODUCTION/PREGNANCY,2015-04-01,1,2016-03-31
"Sipione, Simonetta",University of Alberta,Alberta,Proof of Principle Program Phase I - Drug Development,201102PDD,Proof of Principle,Development of ganglioside-based therapies for Huntington's disease,159196,0,159196,1,1,"Neurosciences, Mental Health and Addiction",HUNTINGTON'S DISEASE; MULTIPLE DISEASE RELEVANCE; NERVOUS SYSTEM; CELL BIOLOGY,2011-10-01,1,2012-09-30
"Slim, Rima",McGill University,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,NLRP7-based diagnosis of female reproduction wastage,160000,0,160000,1,1,Genetics,PREGNANCY/BIRTH; PERINATAL; GENETICS; REPRODUCTION/PREGNANCY,2012-10-01,1,2013-09-30
"Snutch, Terrance P",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Identification of SLC26A11 blockers to prevent neuronal swelling and cell death,160000,0,160000,1,1,"Neurosciences, Mental Health and Addiction",CNS ORGANIC; MULTIPLE DISEASE RELEVANCE; DRUG RESEARCH; NERVOUS SYSTEM,2016-04-01,1,2017-03-31
"Sonenberg, Nahum",McGill University,Quebec,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Identification of novel compounds inhibiting viral infections,150000,0,150000,1,1,Infection and Immunity,VIRAL; MULTIPLE DISEASE RELEVANCE; VIROLOGY; MOLECULAR BIOLOGY,2009-01-01,1,2009-12-31
"St-Pierre, Yves","INRS - (Quebec, QC)",Quebec,Project Grant,201809PJT,Commercialization,GAL-7-specific nanobodies for treatment of triple-negative breast cancer,371024,0,371024,3,3,Cancer Research,Commercialization-Intellectual Property,2019-04-01,1,2022-03-31
"Stagljar, Igor",University of Toronto,Ontario,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,"Development of the Mammalian Membrane Two-Hybrid (MaMTH) technology, a novel protein interaction and drug discovery tool",160000,0,160000,1,1,Cancer Research,CANCER THERAPY GENERAL; MULTIPLE DISEASE RELEVANCE; MOLECULAR BIOLOGY; BIOCHEMISTRY,2013-04-01,1,2014-03-31
"Steinberg, Gregory R",McMaster University,Ontario,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Development of a new therapy targeting adipose tissue metabolism for the treatment of obesity,160000,0,160000,1,1,"Nutrition, Metabolism and Diabetes",OBESITY; ENDOCRINOLOGY; METABOLISM/DIABETES,2014-10-01,1,2015-09-30
"Stojdl, David F",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Chimeric Oncolytic Virus for Brain Cancer Treatment,160000,0,160000,1,1,Cancer Research,BRAIN TUMORS THERAPY; CANCER THERAPY GENERAL,2013-10-01,1,2014-09-30
"Sutherland, Garnette R",University of Calgary,Alberta,Project Grant,201709PJT,Commercialization,The SmartForceps System: An intelligent and innovative tool technology for recording surgical performance and skill,520200,0,1300500,3,6,Health Services and Policy Research,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Health Services and Systems-Healthcare Safety & Quality Improvement",2018-04-01,1,2021-03-31
"Sutherland, Garnette R",University of Calgary,Alberta,Project Grant,202303PJT,Commercialization,An Intelligent Workstation for Robot-Assisted Microsurgery & Tele-Operations,780300,0,,3,,Health Services and Policy Research,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",2023-10-01,1,2026-09-30
"Tabrizian, Maryam",McGill University,Quebec,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,A Novel Injectable Chitosan Sponge Containing BMP-7 as a Therapeutic Intervention for Accelerated Bone Formation in a Critical Size Defect Rat Model,160000,0,160000,1,1,Musculoskeletal Health and Arthritis,"BONE CANCER; INJURY, REGENERATION; MUSCLE, BONE, OR JOINT; DRUG RESEARCH",2014-10-01,1,2015-09-30
"Tamimi, Faleh",McGill University,Quebec,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Biocompatible inorganic nanogel system for medical applications,150160,0,150160,1,1,Musculoskeletal Health and Arthritis,"DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; INJURY, REGENERATION; DENTAL SCIENCE - Oral Biology; DRUG RESEARCH",2013-04-01,1,2014-03-31
"Tavallaei, Mohammad A",Toronto Metropolitan University,Ontario,Project Grant,202403PJT,Commercialization,Design Revisions and Validations of a Catheter Steering and Navigation System For Peripheral Endovascular Revascularization,501076,0,501076,3,3,Circulatory and Respiratory Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",2024-10-01,1,2027-09-30
"Tessier, Philippe A",Universite Laval,Quebec,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Development of anti-S100 proteins for the treatment of arthritis,142600,0,142600,1,1,Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; CHRONIC INFLAMMATORY BOWEL DISEASE; IMMUNOLOGY-TRANSPLANTATION; MUSCLE, BONE, OR JOINT",2009-07-01,1,2010-06-30
"Towler, Mark R",Toronto Metropolitan University,Ontario,Project Grant,201803PJT,Commercialization,"Development of a Proprietary, Glass-Based Adhesive for Sternal Fixation and Stabilisation.",602438,0,602438,3,3,Musculoskeletal Health and Arthritis,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Musculoskeletal Health-Bone, Skin and Cartilage Sciences",2018-10-01,1,2021-09-30
"Tremblay, Jacques P",Universite Laval,Quebec,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Development of a treatment for Friedreich ataxia based on the administration of TALE proteins targeting the frataxin promoter.,160000,0,478781,1,3,Genetics,CONGENITAL ANOMALIES; MOLECULAR BIOLOGY,2013-04-01,1,2014-03-31
"Tremblay, Jacques P",Universite Laval,Quebec,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Alzheimer treatment based on the editing of the Amyloid Precursor Protein gene,159931,0,,1,,Aging,ALZHEIMER'S DISEASE; AGING; MOLECULAR BIOLOGY; GENETICS,2015-10-01,1,2016-09-30
"Tremblay, Michel L",McGill University,Quebec,Proof of Principle Program Phase I - Drug Development,201003PDD,Proof of Principle,Discovery and uses of a new class of small molecule inhibitors of tyrosine phosphatases.,158850,0,,1,,Cancer Research,MULTIPLE DISEASE RELEVANCE; BREAST CANCER THERAPY; BIOCHEMISTRY; DRUG RESEARCH,2010-10-01,1,2011-09-30
"Trifiro, Mark A",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Targeting novel BioNanofluids for prostate cancer therapy,148240,11000,159240,1,1,Cancer Research,PROSTATE AND BLADDER CANCER; PROSTATE AND BLADDER CANCER THERAPY,2015-04-01,1,2016-03-31
"Tsantrizos, Youla S",McGill University,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Benchmark proprietary pyridine- and thienopyrimidine-based bisphosphonates against the standard of care drug Zometae in the treatment of multiple myeloma,160000,0,160000,1,1,Cancer Research,CANCER THERAPY GENERAL; BONE CANCER THERAPY; DRUG RESEARCH; CANCER,2014-04-01,1,2015-03-31
"Tsao, Ming-Sound",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Development of a monoclonal antibody for integrin alpha-11 to treat lung cancer,160000,0,160000,1,1,Cancer Research,LUNG CANCER; LUNG CANCER THERAPY; CANCER; DRUG RESEARCH,2015-04-01,1,2016-03-31
"Turvey, Stuart E",University of British Columbia,British Columbia,Proof of Principle Program Phase I - Drug Development,200904PDD,Proof of Principle,Development of a TLR5 antagonist as a novel anti-inflammatory therapy for cystic fibrosis,150000,0,150000,1,1,Infection and Immunity,IMMUNOLOGY-TRANSPLANTATION; BIOCHEMISTRY,2009-07-01,1,2010-06-30
"Uludag, Hasan",University of Alberta,Alberta,Project Grant,202210PJT,Commercialization,New Treatment of Blood Cancers with Improved Delivery of Nucleic Acids,100000,0,100000,1,1,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Cancer-Cancer Drug Development and Therapeutics; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",2023-04-01,1,2024-03-31
"Underhill, Michael",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Novel Applications of Potassium Channel Blockers in Arthritis,146400,0,146400,1,1,Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; AGING",2011-04-01,1,2012-03-31
"Unrau, Peter J","Simon Fraser University (Burnaby, B.C.)",British Columbia,Project Grant,202210PJT,Commercialization,Commercialization of RNA Mango fluorogenic aptamers: RNA Pulldown and Imaging Tools for Therapeutic and Diagnostic pipelines,100000,0,100000,1,1,Infection and Immunity,"Commercialization-Intellectual Property; Commercialization-Technology Transfer; Immunology and Infection-Antimicrobial Drug Resistance, Drug Discovery and Therapeutics (including vaccines)",2023-04-01,1,2024-03-31
"Vanner, Stephen J","Queen's University (Kingston, Ontario)",Ontario,Project Grant,202303PJT,Commercialization,Developing a potent non-addictive analgesic as an alternative to conventional opioids,665550,0,665550,3,3,"Neurosciences, Mental Health and Addiction","Commercialization-Industry Research & Development; Neurosciences-Sensory Systems (including visual, auditory and pain)",2023-10-01,1,2026-09-30
"Verma, Subodh S",Unity Health Toronto,Ontario,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Evaluation of BRCA1 as a Novel Therapeutic Strategy for Endothelial Dysfunction and Atherosclerosis,149998,0,149998,1,1,Circulatory and Respiratory Health,ATHEROSCLEROSIS; CARDIOVASCULAR,2009-07-01,1,2010-06-30
"Waldman, Stephen D","Queen's University (Kingston, Ontario)",Ontario,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Tissue engineered cartilage suitable for the repair of clinically-relevant sized defects,148139,0,148139,1,1,Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; ARTHRITIS/OSTEOARTHRITIS; MUSCLE, BONE, OR JOINT; BIOPHYSICS",2010-04-01,1,2011-03-31
"Walker, Gilbert C",University of Toronto,Ontario,Project Grant,202403PJT,Commercialization,Development of preclinical data for a phase one clinical trial of a micro-RNA-based formulation to treat early sepsis,508725,0,508725,2,2,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Respiratory System Pathologies and Clinical Interventions; Commercialization-Technology Transfer; Cardiovascular, Respiratory and Circulatory Systems-Clinical and Translational Cardiovascular Sciences",2024-10-01,1,2026-09-30
"Walti, Herve",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Total liquid ventilation improves respiratory and neurological outcomes in newborn lambs with severe respiratory failure,159252,0,159252,1,1,Circulatory and Respiratory Health,RESPIRATION; PERINATAL; NOT CLASSIFIED,2012-10-01,1,2013-09-30
"Wang, Yuzhuo",University of British Columbia,British Columbia,Project Grant,202109PJT,Commercialization,Optimization and Validation of MCT4-targeting Small Molecule Inhibitors for Treatment of Advanced Cancers,1147500,0,1147500,5,5,Cancer Research,Commercialization-Intellectual Property; Cancer-Cancer Drug Development and Therapeutics,2022-04-01,1,2027-03-31
"Wasan, Kishor M",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,200810PP2,Proof of Principle,Development of a Novel Oral Amphotericin B Formulation for the Treatment of Systemic Fungal Infections,200000,0,200000,1,1,Infection and Immunity,null,2010-01-01,1,2009-12-31
"Weaver, Donald F",IWK Health Centre (Halifax),Nova Scotia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Contact Optical Microscopy,148684,0,458684,1,6,"Neurosciences, Mental Health and Addiction",MULTIPLE DISEASE RELEVANCE; MULTIDISCIPLINARY; IMAGING; INTERNATIONAL HEALTH,2010-04-01,1,2011-03-31
"Weaver, Donald F",IWK Health Centre (Halifax),Nova Scotia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Pharmacokinetic Optimization of a New Drug for Alzheimer's Disease,150000,0,,1,,"Neurosciences, Mental Health and Addiction",ALZHEIMER'S DISEASE; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; NERVOUS SYSTEM,2010-04-01,1,2011-03-31
"Weaver, Donald F",University Health Network (Toronto),Ontario,Project Grant,201709PJT,Commercialization,"Design and Development of Brain Permeant Indoleamine-2,3-Dioxygenase Inhibitors",765000,0,,4,,"Neurosciences, Mental Health and Addiction","Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery; Neurosciences-Neurological disorders",2018-04-01,1,2022-03-31
"Webb, John R",University of Victoria (British Columbia),British Columbia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Pre-clinical development of Pentarix: a therapeutic vaccine for HPV-associated cancers,160000,0,160000,1,1,Cancer Research,CANCER THERAPY GENERAL; VIRAL; CANCER; IMMUNOLOGY-TRANSPLANTATION,2010-10-01,1,2011-09-30
"Weinfeld, Michael",University of Alberta,Alberta,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Small molecule inhibitor of polynucleotide kinase/phosphatase and uses thereof in cancer treatment.,150000,0,150000,1,1,Cancer Research,CANCER THERAPY GENERAL; CANCER,2010-04-01,1,2011-03-31
"Weksberg, Rosanna",Hospital for Sick Children (Toronto),Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Implementation and Commercialization of a Novel DNA Methylation-Based Diagnostic Tool,160000,0,160000,1,1,"Human Development, Child and Youth Health","DETERMINANTS OF HEALTH; MENTAL AND BEHAVIOURAL DISEASES; GENETICS; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",2015-10-01,1,2016-09-30
"Whyne, Cari M","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,"""Bone Tape"": Optimization of a novel method for reconstructing the craniomaxillofacial skeleton",160000,0,160000,1,1,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT",2016-04-01,1,2017-03-31
"Willerth, Stephanie M",University of Victoria (British Columbia),British Columbia,Project Grant,202104PJT,Commercialization,3D bioprinting next generation brain organoids for identifying drug targets for Alzheimer's disease,489600,0,489600,4,4,"Neurosciences, Mental Health and Addiction","Biomedical Engineering-Regenerative Medicine and Tissue Engineering; Molecular, Cellular and Systems Biology-Cell Differentiation",2021-10-01,1,2025-09-30
"Williams, Jason",Nova Scotia Health Authority (Halifax),Nova Scotia,Proof of Principle Program - Phase II,201309PP2,Proof of Principle,The Production of Decellularized Human Skin to Treat Chronic Diabetic Ulcers,145760,0,145760,1,1,Musculoskeletal Health and Arthritis,DIABETES MELLITUS; SKIN AND SUBCUTANEOUS TISSUS; HEALTH RESEARCH; METABOLISM/DIABETES,2014-04-01,1,2015-03-31
"Wither, Joan E",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Development of a test for the early diagnosis and monitoring of lupus nephritis,160000,0,160000,1,1,Musculoskeletal Health and Arthritis,"LUPUS; GENITO/URINARY SYSTEM; MUSCLE, BONE, OR JOINT; RENAL FUNCTION, NEPHROLOGY, UROLOGY",2016-04-01,1,2017-03-31
"Withers, Stephen G",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Novel mechanism-based inhibitors of influenza neuraminidase as potential anti-viral agents,150000,0,606981,1,3,Infection and Immunity,INFECTIOUS AND PARASITIC; VIRAL; VIROLOGY; POPULATION HEALTH,2010-04-01,1,2011-03-31
"Withers, Stephen G",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201202PP2,Proof of Principle,Novel Influenza Neuraminidase Inhibitors - Development of Orally Bioavailable Agents,297000,0,,1,,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; VIROLOGY; POPULATION HEALTH,2012-10-01,1,2013-09-30
"Withers, Stephen G",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Extending circulation time of protein therapeutics by capping glycan structures with 7F-Sialic acids,159981,0,,1,,Genetics,MULTIDISCIPLINARY; BIOCHEMISTRY,2015-04-01,1,2016-03-31
"Wu, Jian Hui",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program Phase I - Drug Development,201003PDD,Proof of Principle,Novel bifunctional antiandrogens that suppress oncogenic activation of the androgen receptor in castration-resistant prostate cancer,159750,0,319750,1,2,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; PROSTATE AND BLADDER CANCER THERAPY; CANCER; ENDOCRINOLOGY,2010-10-01,1,2011-09-30
