Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Cumulative_Grant_Amount,Term_Years,Cumulative_Term_Years,Primary_Institute,Research_Categories,Funding_Start,Funding_Start_Count,Funding_End
"Diamandis, Eleftherios P",Sinai Health System (Toronto),Ontario,Project Grant,202203PJT,Commercialization,"KaliDerm Therapeutics: A research/commercialization plan to validate, better define and add value to our proprietary dual KLK5/7 inhibitor as a novel topical therapeutic for Netherton Syndrome.",336600,0,336600,2,2,Infection and Immunity,"Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",2022-10-01,1,2024-09-30
"Dmitrienko, Gary I",University of Waterloo (Ontario),Ontario,Proof of Principle Program Phase I - Drug Development,200904PDD,Proof of Principle,Novel beta lactamase inhibitors to combat antibiotic resistance,150000,0,283277,1,2,Infection and Immunity,INFECTIOUS AND PARASITIC; DRUG RESEARCH; BACTERIOLOGY,2009-07-01,1,2010-06-30
"Dmitrienko, Gary I",University of Waterloo (Ontario),Ontario,Proof of Principle Program - Phase II,201009PP2,Proof of Principle,New drugs for antibiotic resistant bacterial infections,133277,0,,1,,Infection and Immunity,INFECTIOUS AND PARASITIC; DRUG RESEARCH; BIOCHEMISTRY,2011-04-01,1,2012-03-31
"Doschak, Michael R",University of Alberta,Alberta,Proof of Principle Program Phase I - Drug Development,201003PDD,Proof of Principle,Bisphosphonate-conjugated Calcitonin,117929,0,277929,1,2,Musculoskeletal Health and Arthritis,"DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; MUSCULO SKELETAL; DRUG RESEARCH; MUSCLE, BONE, OR JOINT",2010-10-01,1,2011-09-30
"Doschak, Michael R",University of Alberta,Alberta,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Bone-Seeking Iron Oxide Nanoparticles for Imaging Bone Metabolism,160000,0,,1,,Musculoskeletal Health and Arthritis,"DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; MUSCULO SKELETAL; DRUG RESEARCH; MUSCLE, BONE, OR JOINT",2016-04-01,1,2017-03-31
"Drangova, Maria",Western University (Ontario),Ontario,Project Grant,202010PJT,Commercialization,Contact-force controller to eliminate the effects of motion during cardiac radiofrequency ablation,367200,0,367200,2,2,Circulatory and Respiratory Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",2021-04-01,1,2023-03-31
"Du, Caigan",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Preclinical Development of a Novel Organ Transplant Solution,160000,0,160000,1,1,"Nutrition, Metabolism and Diabetes","GENITO/URINARY SYSTEM; MULTIPLE DISEASE RELEVANCE; RENAL FUNCTION, NEPHROLOGY, UROLOGY; DRUG RESEARCH",2015-04-01,1,2016-03-31
"Dumont, Guy A",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Certifiably safe closed-loop control of anesthesia,158740,0,158740,1,1,Circulatory and Respiratory Health,HEALTH RESEARCH,2015-10-01,1,2016-09-30
"Dutta, Tilak",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Pressure ulcer prevention: a novel prompting system for patient repositioning,137401,0,137401,1,1,Aging,SKIN AND SUBCUTANEOUS TISSUS; MULTIPLE DISEASE RELEVANCE; AGING; GERIATRICS,2016-04-01,1,2017-03-31
"Dyck, Jason R",University of Alberta,Alberta,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Preclinical Development and Optimization of Small Molecules for the Treatment of Atrial Fibrillation,160000,0,160000,1,1,Circulatory and Respiratory Health,ARRHYTHMIAS; CARDIOLOGY; CARDIOVASCULAR; DRUG RESEARCH,2015-04-01,1,2016-03-31
